id,text,anger,disgust,fear,joy,sadness,surprise
swa_test_track_c_00001,"It's probably a white man called ""mollis i sullender""",,,,,,
swa_test_track_c_00002,@username #QwetuJumapili Thank you for what you have done Lord #username,,,,,,
swa_test_track_c_00003,@<username> Thank you very much brother,,,,,,
swa_test_track_c_00004,What's the problem with this guy now?,,,,,,
swa_test_track_c_00005,Borthwick Jackson is a footballer.,,,,,,
swa_test_track_c_00006,"@BradyBrady: I'm not sure if I'm going to be able to do this, but I'm not sure if I'm going to be able to do it, so I'm going to have to wait and see. #BradyBrady",,,,,,
swa_test_track_c_00007,This project is eating my head off. One of you is Mombasa (our leader). Another I hear was arrested in Uganda.,,,,,,
swa_test_track_c_00008,I've paid for parking twice after the kamjo they gave me and I can't afford it.,,,,,,
swa_test_track_c_00009,This is the one we see or there's another one.,,,,,,
swa_test_track_c_00010,Don't put your faith in the human being #AmkanaWestFm #AmkanaWestFm #AmkanaWestFm #AmkanaWestFm @<username>< @username>,,,,,,
swa_test_track_c_00011,"I, I'm going to have this cold, I'm going to have a fever and then I'm going to be taken to #KNH, I'm going to have brain surgery, Yarabi don't hide",,,,,,
swa_test_track_c_00012,The hunger I feel is like a human child bringing me clothes.,,,,,,
swa_test_track_c_00013,"@Susanna: ""Blessed are you, O God, the Rock of my salvation.",,,,,,
swa_test_track_c_00014,@Sikate I'm also a mugly but there's an angle you're laughing at me and I'm not drinking badly😂😂😂,,,,,,
swa_test_track_c_00015,"I'm not sure if this is a good idea or not, but the Mombasa girls are so cute and cute, and the girls are so cute, and the girls are so cute, and the girls are so cute.",,,,,,
swa_test_track_c_00016,@<username> @<username> Again and again,,,,,,
swa_test_track_c_00017,Because you are not aware of the 'perpetual' nature of the world.,,,,,,
swa_test_track_c_00018,"They refused the mask yes, but you have to tell the seller that they refused. <unk>😂",,,,,,
swa_test_track_c_00019,I'm thinking of doing USW MBA but there's a thread I've seen I've been desyked af ,,,,,,
swa_test_track_c_00020,What's that?,,,,,,
swa_test_track_c_00021,"I'm not sure if I'm going to be able to get a Pigeon Passport or a Water Passport, but I'm going to have to get a Pigeon Passport and a Water Passport to get a Water Passport.",,,,,,
swa_test_track_c_00022,"I remember when I was a kid, I used to go to the ""Nirobi Diaries"" and I didn't get paid.",,,,,,
swa_test_track_c_00023,"@username @<username> My Mum has one too exact same, I tell her not to wear it again",,,,,,
swa_test_track_c_00024,One is told to go with your subjects locals and friends up there is the peace is 😂,,,,,,
swa_test_track_c_00025,@<username> And the rider is mluhya eats everything you are hungry,,,,,,
swa_test_track_c_00026,"@Sophie: I'm not sure what you mean by ""almost a month after I gave the same documents. now I'm in the dark I don't know what you want",,,,,,
swa_test_track_c_00027,"""We're going to get a little bit of a kick out of this,"" said the man who was arrested in the Langata prison, a Muslim man who was also stabbed.",,,,,,
swa_test_track_c_00028,VAR ruins the fun of football Bana,,,,,,
swa_test_track_c_00029,It makes perfect sense that I've never entered any Radio Giveaway contest! Haha Naona mlicheswa very bad,,,,,,
swa_test_track_c_00030,"If you were a police officer, you would not follow the orders of your superiors.",,,,,,
swa_test_track_c_00031,And someone told me on Facebook that if I find a girlfriend I will be beaten up hahaha.,,,,,,
swa_test_track_c_00032,"@sorrynotsorry, I'm not sure if this is a good idea or a bad idea, but I'm not going to go into the details of the ""what if"" part of the story, and I'm not going to go into the details of the ""what if"" part.",,,,,,
swa_test_track_c_00033,@<username> Wallahi Njeri is the same,,,,,,
swa_test_track_c_00034,I've been told I'm a creep,,,,,,
swa_test_track_c_00035,Those pics I used hahahahaha just leave them!!,,,,,,
swa_test_track_c_00036,"I'm not sure if I'm the only one who's been to the ""Lockdown"" or the ""Quarantine"" but I'm sure I've been to the ""Lockdown"" before.",,,,,,
swa_test_track_c_00037,"@sorrynotsorry: I'm sure you've heard of some of the people who have been to the same place before, but I'm not sure if you know of any other.",,,,,,
swa_test_track_c_00038,What is the relationship between the two? #URL,,,,,,
swa_test_track_c_00039,Previously on Abby Vs whoever is trying to get her kicked ourra here... I don't know what thread to write  I'm from Kwa pool nikona psych nine ,,,,,,
swa_test_track_c_00040,What are the people of Mombasa?,,,,,,
swa_test_track_c_00041,@<username> Alafu Also Make one Tiktok with the song of @<username> Please,,,,,,
swa_test_track_c_00042,Here on Twitter it's just me who suffers or there are others <unk>,,,,,,
swa_test_track_c_00043,"If you want to, there's a way, even a mouse can escape.",,,,,,
swa_test_track_c_00044,"I'm not sure what the difference is, but I'm not sure how much money is being spent on ##########################################################################################################################################################",,,,,,
swa_test_track_c_00045,"I'm sorry, but if you're a parent and you're going to be home at 12 o'clock, you're not going to be able to sleep. #sorrynotsorry",,,,,,
swa_test_track_c_00046,"If you eat my water, he'll come back to me.",,,,,,
swa_test_track_c_00047,I've never seen a married man beaten so loudly that you feel sorry for him and even if he hasn't done anything wrong but the noise he's being beaten is Ka child children..I once saw that I just cried,,,,,,
swa_test_track_c_00048,@<username> hahaha poa you better I changed mine before most people knew me,,,,,,
swa_test_track_c_00049,This is the month you'll be putting flowers and bottles of wines outside your door then you'll act surprised that someone anonymous has put those presents there went ##URL##,,,,,,
swa_test_track_c_00050,"I've reached the front of the class and the lecturer hasn't arrived yet. The student center is closed. Also, if I'm not serious, I can't judge now.",,,,,,
swa_test_track_c_00051,From today I am an engineer <unk>,,,,,,
swa_test_track_c_00052,You're still going to get hit!,,,,,,
swa_test_track_c_00053,@<username> @<username> Hubore very much,,,,,,
swa_test_track_c_00054,What do you want to be given to sleep?,,,,,,
swa_test_track_c_00055,@<username> You can't beat dem by prostitution,,,,,,
swa_test_track_c_00056,The man forgets he's a catfish when he posts men's stuff we catch him😂😂😂😂,,,,,,
swa_test_track_c_00057,Good morning my Twitter family  We thank God for this day ,,,,,,
swa_test_track_c_00058,"Yesterday my macuzo printed a bong in another icon some fire strain of weed, they are still off until this hour ️",,,,,,
swa_test_track_c_00059,@UserName: I'm telling people Kiambu road hasn't rained even a drop people don't believe,,,,,,
swa_test_track_c_00060,@<username> Send it to me by DM bbg,,,,,,
swa_test_track_c_00061,I'm looking for four people who don't have lunch to come and have a five-person dinner together.,,,,,,
swa_test_track_c_00062,I've been suffering all day and I'm still searching for suffering.,,,,,,
swa_test_track_c_00063,You threaten banana bread and you don't want to pay you don't respect the work of others,,,,,,
swa_test_track_c_00064,"Send bail money, come and give me a hole in the roof",,,,,,
swa_test_track_c_00065,"If you don't know, allegations without evidence are useless.",,,,,,
swa_test_track_c_00066,These people are very childish.,,,,,,
swa_test_track_c_00067,Where is the place where people don't fight...where?,,,,,,
swa_test_track_c_00068,"There's a time when you go to school barefoot, no break fast sometimes no lunch. This growth is conditioning. You can condition your body to eat once every 48 hours btwy",,,,,,
swa_test_track_c_00069,You all sing that there are no lovers who have a relationship what do you do surely😂😂😂😂,,,,,,
swa_test_track_c_00070,@username lol I don't even know I'm not thanking you I'll give you a greeting but,,,,,,
swa_test_track_c_00071,My neighbor's alpha-nitrogen is not his size sir hahaha hyaaaaa what a life this is,,,,,,
swa_test_track_c_00072,"@<username> I wasnt there when he committed murder, and most of the stuff they say he did...all I know is that he didnt run the country well...the rest I wasnt so I cant navigate things I dont know",,,,,,
swa_test_track_c_00073,God's work is flawless,,,,,,
swa_test_track_c_00074,The directors of private schools now that they are not in session be very careful and those accounts up they ate all the money but if they come back there will be nothing you demand from the parents.,,,,,,
