id,text,anger,disgust,fear,joy,sadness,surprise
ukr_test_track_c_00001,I'm afraid to go shopping in Ashan tomorrow.,,,,,,
ukr_test_track_c_00002,"I was hit by a car by two kids, and I fell backwards, and I hit my ass on the bumper.",,,,,,
ukr_test_track_c_00003,"I'm just curious, what are you proposing to raise wages for?",,,,,,
ukr_test_track_c_00004,"You guys are so cool, one scarier than the other.",,,,,,
ukr_test_track_c_00005,"Oh, I wanted to go, but fate is playing a prank on me.",,,,,,
ukr_test_track_c_00006,Today we have to worry about everyone.,,,,,,
ukr_test_track_c_00007,I'm from that dark embroidery of Ternopil,,,,,,
ukr_test_track_c_00008,I took the journalism exam in the summer of '69.,,,,,,
ukr_test_track_c_00009,"I try to distract myself by reading the tape, but it doesn't help much.",,,,,,
ukr_test_track_c_00010,"But with the coming of spring, it's just a hassle.",,,,,,
ukr_test_track_c_00011,I've always wanted to know what actors feel behind the scenes.,,,,,,
ukr_test_track_c_00012,"I'm afraid of war the most, too.",,,,,,
ukr_test_track_c_00013,The girls said I was thin and flat because they wanted to go on a diet but were afraid to lose weight.,,,,,,
ukr_test_track_c_00014,I'm going to die of happiness.,,,,,,
ukr_test_track_c_00015,To say that #Washington has captured my heart is nothing to say,,,,,,
ukr_test_track_c_00016,"""What's the matter with you, you're not happy anymore? Where's the passion and the love? You're serious already, isn't he, isn't he a betrayal? Silence. Breathing. And no talking.",,,,,,
ukr_test_track_c_00017,There's not much in the village either) and Happy New Year to you!,,,,,,
ukr_test_track_c_00018,"(Saturday night backstage, which is not a big deal.)",,,,,,
ukr_test_track_c_00019,To see a man in a tuxedo in the evening - to pleasant events soon.,,,,,,
ukr_test_track_c_00020,I'm not afraid of being 20 but of being 15 years old.,,,,,,
ukr_test_track_c_00021,"Two hours later, she was screaming.",,,,,,
ukr_test_track_c_00022,"Well, I rolled over and slept like a human being (at first I was drunk, like not a human being, and then I was)",,,,,,
ukr_test_track_c_00023,The European Community (EU) - RT: The depth of concern,,,,,,
ukr_test_track_c_00024,"If you've ever ""sniffed"" your eyebrows, you'll know how sad I am right now.",,,,,,
ukr_test_track_c_00025,"I woke up, but I can't get out of bed.",,,,,,
ukr_test_track_c_00026,"I really want to throw out my entire wardrobe, leaving six things to wear.",,,,,,
ukr_test_track_c_00027,I'm sure I'll never understand this world,,,,,,
ukr_test_track_c_00028,I can hear the water dripping in the kitchen... it's annoying.,,,,,,
ukr_test_track_c_00029,"Russian is the language of terror, lies, manipulation, blood and war.",,,,,,
ukr_test_track_c_00030,"The worst condition is when you are born sick, and you are not born sick.",,,,,,
ukr_test_track_c_00031,"It made my night, thank you.",,,,,,
ukr_test_track_c_00032,"The #ZacFest is being held in a state of emergency, according to the #ZacFest.com.",,,,,,
ukr_test_track_c_00033,They asked the French teacher to laugh with us after the exam.,,,,,,
ukr_test_track_c_00034,I'm going to have a nervous breakdown.,,,,,,
