id,text,anger,disgust,fear,joy,sadness,surprise
ukr_train_track_a_00001,I want a guitar and record covers.,0,0,0,0,0,0
ukr_train_track_a_00002,"I'm not sure if I'm going to be able to get my hands on a cigarette, but I'm going to have to get my hands on a cigarette and keep both ends of my cigarette to my mouth.",0,0,0,1,0,0
ukr_train_track_a_00003,"I'd like a little snow for the holidays for the mood, and so the winter dry and warm",0,0,0,0,0,0
ukr_train_track_a_00004,"When I first met you, you had a long, long hair and a long, long look.",0,0,0,0,0,0
ukr_train_track_a_00005,I'm so glad I didn't expect such a reaction.,0,0,0,1,0,1
ukr_train_track_a_00006,It's like two beams of Twitter commentators coming in.,0,0,0,0,0,0
ukr_train_track_a_00007,"There are three windows and a balcony, and the night is dark.",0,0,1,0,0,0
ukr_train_track_a_00008,You don't even think about how the people you meet here on the Internet have helped you become who you are.,0,0,0,0,0,0
ukr_train_track_a_00009,"We went swimming in the cold river at night, and we dried up and sang and sang and sang.",0,0,0,0,0,0
ukr_train_track_a_00010,I quit in season 3.,0,0,0,0,0,0
ukr_train_track_a_00011,"Oh, my God, that's more than half of my Friday tape.",0,0,0,0,0,1
ukr_train_track_a_00012,What do you say about the laws of vice?,0,0,0,0,0,0
ukr_train_track_a_00013,- Jariq's brother drowned. - Jariq has a brother?,0,0,0,0,1,1
ukr_train_track_a_00014,"Ah, great, thank you. Good luck to you, Alexei, in the coming year.",0,0,0,1,0,0
ukr_train_track_a_00015,The rotten garlic smells like smoked sausage,0,1,0,0,0,0
ukr_train_track_a_00016,Moskal hasn't slept in an hour!,0,0,0,0,0,0
ukr_train_track_a_00017,It's a pity about the theater in Cherkasy :(,0,0,0,0,1,0
ukr_train_track_a_00018,"The worse the wagon, the better the guides.",0,0,0,0,0,0
ukr_train_track_a_00019,I got a spina bifida on my Instagram.,0,0,0,1,0,0
ukr_train_track_a_00020,"It's a bit like going to the South Pole in a truck, but it's a lot more fun than going to the South Pole in a car, and it's a lot more fun than going to the South Pole in a truck.",0,0,0,1,0,0
ukr_train_track_a_00021,I've been thinking about this for a while now.,0,0,0,1,0,0
ukr_train_track_a_00022,"I know, I know, but it's sad, I know.",0,0,0,0,1,0
ukr_train_track_a_00023,Why is it free? Where's the paddle?,0,0,0,0,0,1
ukr_train_track_a_00024,Thank you #vmcamp for #Luck and a great weekend!,0,0,0,1,0,0
ukr_train_track_a_00025,"""Well, you can write me your nickname.""",0,0,0,0,0,0
ukr_train_track_a_00026,Even with a bottle of beer by his head.,0,0,0,0,0,0
