id,text,anger,disgust,fear,joy,sadness,surprise
ary_train_track_a_00001,In developed countries companies contribute to the construction of their countries by paying taxes and in our beloved country companies ask the state to serve them?,0,0,0,0,0,0
ary_train_track_a_00002,"My country's newspapers: disability decrees issued, dismissals before the extraordinary congress",0,0,0,0,0,0
ary_train_track_a_00003,@<username> @<username> ghatb9aa mwaarek 3la ssmiyaa dyalha ghaykherjolik des vidéos okatb9a tfarej mais tb9a mwarek This post is part of our special coverage Africa by the World Health Organization.,0,0,0,0,0,0
ary_train_track_a_00004,@<username> wlad l7aram ga3ma kay39lo 3la lbachar This is a list of people who have been awarded the Nobel Prize in Literature.,1,0,0,0,0,0
ary_train_track_a_00005,The Louvre opened its donation door to buy an 18th-century gold-plated vase,0,0,0,0,0,1
ary_train_track_a_00006,I'm going to take my bag and I'm going to take my bag and I'm going to take my bag and I'm going to take my bag and I'm going to take my bag.,1,0,0,0,0,0
ary_train_track_a_00007,Lunoun à la prochaine inchalah.. Bon courage ❤ in Menara Mall Marrakech ##URL## This is the first time I've seen this.,0,0,0,1,0,0
ary_train_track_a_00008,My mother-in-law manages the movements of the crowd,0,0,0,0,0,0
ary_train_track_a_00009,A new attack by African migrants on the gates of Saba.. 300 troops and the General Staff have been deployed.,0,0,1,0,0,0
ary_train_track_a_00010,hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila also known as kayn bin li kaydir dakchi 3alanan,0,0,0,1,0,0
ary_train_track_a_00011,"The only ruler in Morocco is Mohammed VI. Parliament, parties and elections are for decoration.",1,0,0,0,0,0
ary_train_track_a_00012,"May God bless you, dearest and most beautiful artist in the world.",0,0,0,1,0,0
ary_train_track_a_00013,They didn't go to Europe. Algerians attacked a Moroccan minor to steal him in Belgrade while he was beating someone. They thought he was a Muslim.,1,0,0,0,1,0
ary_train_track_a_00014,I'll take the official photo before the World Cup.,0,0,0,1,0,0
ary_train_track_a_00015,A knife attack inside a nightclub that creates terror in the eyes of wolves and threatens security to stop the perpetrator. The victim is a woman and the number of detainees so far is four.,0,0,1,0,1,0
ary_train_track_a_00016,You don't want to play with the lions! The priority and participation of those who are jealous and fighting for their country and those who participated in the elimination round and not for lust chose to play for another country!!',1,0,0,0,0,0
ary_train_track_a_00017,Reward for games of chance after winning the World Cup,0,0,0,1,0,0
ary_train_track_a_00018,They absolutely reject the participation of this player in the Moroccan national team.,0,0,0,0,0,1
ary_train_track_a_00019,Was Zaki's trip to Europe a failure? The Germans are facing Arab accession to the Black Atlantic.,0,0,0,0,0,1
ary_train_track_a_00020,# No suppression of the frames,1,0,0,0,0,0
ary_train_track_a_00021,"Celebrities and the big day.. bags, shoes and socks arrived at the restaurant with videos and pictures",0,0,0,0,0,0
ary_train_track_a_00022,Professor Ibrahimi: Vaccines protect us from mutant Delta.. This strain will be the dominant one in Morocco and there will be no third dose,0,0,0,0,0,0
ary_train_track_a_00023,We don't bite and we're afraid of rope. This is the festival of the seer because of the people's clouds that ISIS attacks (video),0,0,1,0,0,0
ary_train_track_a_00024,The Secretary-General of Independence does not miss an opportunity to attack him and described him in his last attack as an obedient slave to Bakiran.,1,0,0,0,0,0
ary_train_track_a_00025,Extreme right-wing racism in Spain: Moroccan and Israeli slogans on the door of the Jewish cemetery in Madrid,1,0,0,0,0,0
ary_train_track_a_00026,😂😂 yeah zayan boys ola chi haja bhal haka also known as,0,0,0,1,0,0
ary_train_track_a_00027,A flame in a sweep. Attacks and threats of physical violence target candidates for the BJP in Bofran,1,0,0,0,0,0
ary_train_track_a_00028,Tangier and Zaki are close to separation,0,0,0,0,0,0
ary_train_track_a_00029,@<username> hna bikhir ahbiba twahachnak bzaf okanatmanaw tkoni bikhirr also known as,0,0,0,1,0,0
ary_train_track_a_00030,"That's great, honey.",0,0,0,1,0,0
ary_train_track_a_00031,The team has three players for the championship and the league.,0,0,0,0,0,0
ary_train_track_a_00032,"The opposition in parliament wants the Minister of Agriculture to answer how our country is dealing with the Russian-Ukrainian war that is threatening the food security of Morocco because of wheat,",0,0,0,0,0,0
ary_train_track_a_00033,"In a French court, one of the suspects who hacked Kim Kardashian's gold has been charged.",0,0,0,0,0,1
ary_train_track_a_00034,There are still people who do not believe in the theory of evolution.,0,0,0,0,0,0
ary_train_track_a_00035,@username @username @username hna bghinaha bla aghani t9harto daratkom f 3damkom This is a list of people who have been featured on the Internet.,0,0,0,0,0,0
ary_train_track_a_00036,Congratulations to my intellectuals. Come back and come back.,0,0,0,1,0,0
ary_train_track_a_00037,@<username> @<username> @<username> @<username> Ta ana 3ziza 3lia dounia bezaf!! ma fhemtch ach wa9e3 men lbare7!!!! This is the first time I've seen this video.,0,0,0,0,0,0
ary_train_track_a_00038,God bless you more brightness we ask him to brick by brick',0,0,0,1,0,0
ary_train_track_a_00039,"The daily infections are rising to 951 today, and more than 2,000 have received the second dose of the vaccine.",0,0,0,0,1,0
