id,text,anger,disgust,fear,joy,sadness
afr_train_track_a_00001,"The landowners approached the department for help, after which the technical aspects of the proposed project were investigated and analyzed.",0,0,0,0,0
afr_train_track_a_00002,It is further an acknowledged fact that there is disagreement around the interpretation of education rights in South Africa.,0,0,0,0,0
afr_train_track_a_00003,"Many families in the Western Cape are in mourning, and quite a few have lost more than one relative.",0,0,0,0,1
afr_train_track_a_00004,We want you to be a part of the work we do.,0,0,0,1,0
afr_train_track_a_00005,And it underlines why NALN and NELM collectively and separately form an untrammelled national coal-turbine asset.,0,0,0,1,0
afr_train_track_a_00006,We have also budgeted R15 billion for the expanded public works programme with the aim of creating more job and training opportunities.,0,0,0,1,0
afr_train_track_a_00007,To see that measures to reduce the cost of medicines are put into effect immediately.,0,0,0,1,0
afr_train_track_a_00008,It gives them a chance to make up for what they did wrong.,0,0,0,1,0
afr_train_track_a_00009,We celebrate this day with former political prisoners whom we have specially invited to join us here.,0,0,0,1,0
afr_train_track_a_00010,We are implementing plans to increase the number of police men and women by 10% over the next 10 years.,0,0,0,0,0
afr_train_track_a_00011,There is also a lot of talk about Afrikaans.,0,0,0,0,0
afr_train_track_a_00012,"In eight days, on February 16, she will be 92 years old.",0,0,0,0,0
afr_train_track_a_00013,Good luck and all the best for you and for our country.,0,0,0,1,0
afr_train_track_a_00014,This includes not only educational and cultural organizations.,0,0,0,0,0
afr_train_track_a_00015,"Eleven years later, Bloemfontein's isolation from the rest of the country was gloriously ended with the arrival of the steam train.",0,0,0,1,0
afr_train_track_a_00016,This decrease is largely due to a dramatic expansion of spending on social grants since 2002.,0,0,0,1,0
afr_train_track_a_00017,Each of us can contribute to a better life.,0,0,0,1,0
afr_train_track_a_00018,We are privileged to celebrate this year the end of the first decade of our diplomatic relationship with China.,0,0,0,1,0
afr_train_track_a_00019,It took the elders of the church 12 years to teach him this.,0,0,0,0,0
afr_train_track_a_00020,"And because we did not save enough, we had to rely on short-term capital flows to finance the deficit as well as our investment programs.",0,0,1,0,1
afr_train_track_a_00021,It is the Boland that provides us with heroes in our communities.,0,0,0,1,0
afr_train_track_a_00022,This NALN 2000 Joint Thinking Summit was aimed at being an initial phase of consultation with a broad and inclusive user audience.,0,0,0,1,0
afr_train_track_a_00023,The Western Cape Government wants to work with you and the producers and other well-meaning organisations to improve your living conditions.,0,0,0,1,0
afr_train_track_a_00024,I would also like to thank all the citizens for their perseverance and patience in the face of the current difficulties.,0,0,0,1,0
afr_train_track_a_00025,These are all places mentioned in the texts mentioned.,0,0,0,0,0
afr_train_track_a_00026,"In her day, she was a living legend; today, however, very few people know about her.",0,0,0,0,1
afr_train_track_a_00027,But no one but ourselves can make that dream come true.,0,0,0,1,0
afr_train_track_a_00028,"In this regard, we would like to congratulate our organizing committee (OC) and other partners on the excellent work they are doing.",0,0,0,1,0
afr_train_track_a_00029,"In January 1981, the Nuy Valley experienced the Laingsburg Flood, which left a trail of destruction.",0,0,0,0,1
afr_train_track_a_00030,The freedom manifesto also forms the basis of the Constitution.,0,0,0,1,0
afr_train_track_a_00031,"The issue contains headlines and reports from Our Country of December 3, 1904 pres.",0,0,0,0,0
afr_train_track_a_00032,The RGN would be happy to assist in the expansion of the museum.,0,0,0,0,0
afr_train_track_a_00033,"However, when the reporter later arrived, she did not want it to be published.",0,0,0,0,1
afr_train_track_a_00034,"Annually, about R47 million is spent on this service.",0,0,0,1,0
afr_train_track_a_00035,We still have a long way to go.,0,0,1,0,0
afr_train_track_a_00036,There are incidents of drowning or amphibious drowning almost every day.,0,0,0,0,1
afr_train_track_a_00037,"Schoeman gave it to him, for NALN brought along.",0,0,0,0,0
afr_train_track_a_00038,I would also like to be able to show with ESKOM.,0,0,0,1,0
afr_train_track_a_00039,"However, there is a serious need for a larger organ donor awareness.",0,0,0,0,1
afr_train_track_a_00040,The principle of multilingualism is important when considering rights and service delivery.,0,0,0,1,0
afr_train_track_a_00041,Many families in the Western Cape without breadwinners now have to move on with their lives and must try to find peace and quiet.,0,0,0,0,1
afr_train_track_a_00042,Our department has established the National Language Policy Framework.,0,0,0,1,0
afr_train_track_a_00043,"Chairman, there are probably a number of other matters you'd like to raise.",0,0,1,0,0
afr_train_track_a_00044,"The postmaster, the village doctor, and the schoolmaster are usually the people who know the most about the village.",0,0,0,0,0
afr_train_track_a_00045,"The cabinet has approved the disposal of the last package of Safcol, the Komatiland forests.",0,0,0,0,0
afr_train_track_a_00046,My grandfather was the first Horse Racing Commissioner in the 1930s.,0,0,0,1,0
afr_train_track_a_00047,The first of these is a commercial vehicle that involves the community of the Richtersveld in their own development.,0,0,0,1,0
afr_train_track_a_00048,The committee was established under the Western Cape Provincial Language Act.,0,0,0,0,0
afr_train_track_a_00049,Several language monuments have been erected nationwide.,0,0,0,0,0
afr_train_track_a_00050,"When Anlen visited NALN the next morning, she brought a small collection of letters.",0,0,0,0,0
afr_train_track_a_00051,"She was the author of a large number of children's versions and rhymes in Afrikaans, as early as the 1930s.",0,0,0,0,0
afr_train_track_a_00052,They are concerned about our ability to protect the democratic rights and the democratic Constitution that were born of enormous sacrifice.,0,0,1,0,0
afr_train_track_a_00053,These efforts have been reinforced by our Public Works program.,0,0,0,1,0
afr_train_track_a_00054,"They may now live in the big cities, but they come from the Boland.",0,0,0,0,0
afr_train_track_a_00055,This offer shows how the NALN interest community can help to remain positive about the future.,0,0,0,1,0
afr_train_track_a_00056,"This should happen by making you economically self-sufficient through projects like this, of which you are a part.",0,0,0,0,0
afr_train_track_a_00057,By this I do not mean that education should be without culture and without character; that education should become an instrument of forced uniformity.,0,0,1,0,1
afr_train_track_a_00058,"After all, we must be able to show off to our politicians.",0,0,0,1,0
afr_train_track_a_00059,You can truly be proud of what you have accomplished in making Dalrose the school it is.,0,0,0,1,0
afr_train_track_a_00060,"The farm is operated by ""Harmony Farming"" which is a 50-50 partnership between Harmony Trust and Môrester Landgoed.",0,0,0,0,0
afr_train_track_a_00061,These immediate measures will be guided by the principle of a countercyclical fiscal policy.,0,0,0,0,0
afr_train_track_a_00062,I want to thank you all for the beautiful contribution to show that land reform and empowerment within agriculture can be successful.,0,0,0,1,0
afr_train_track_a_00063,Policy change should focus on interventions to create jobs for young people.,0,0,1,0,0
afr_train_track_a_00064,"It dates back to the era when the establishment of a ""Free State Writers' Library"" in Bloemfontein was advocated.",0,0,0,0,0
afr_train_track_a_00065,So the policy of this party is clear.,0,0,0,0,0
