id,text,anger,disgust,fear,joy,sadness,surprise
ary_test_track_c_00001,He wants to save his livelihood by throwing it in the garbage and the police will tell them to grind it so it doesn't kill them.,,,,,,
ary_test_track_c_00002,Weather: The weather will remain hot in these areas,,,,,,
ary_test_track_c_00003,"Win or lose, the legendary Messi will only play his last World Cup with Argentina.",,,,,,
ary_test_track_c_00004,He took advantage of their intellectual weakness and bought them for money.,,,,,,
ary_test_track_c_00005,12 thousand violent Moroccan women in 2018,,,,,,
ary_test_track_c_00006,The Gundar have seized tons of weed on the white beach in the Kalamim area.,,,,,,
ary_test_track_c_00007,"The resumption of negotiations between Russia, Ukraine and Moscow has become a prerequisite for returning to the dialogue table.",,,,,,
ary_test_track_c_00008,"My country's pride is a thousand million congratulations, Abu. Mecca deserves to be swept away. No one can compete with you. You are the pride of Egypt and the Arabs. We love you very much.",,,,,,
ary_test_track_c_00009,This is new. There is a law in Egypt on pornography!,,,,,,
ary_test_track_c_00010,We are in a time of superstition and it is as if the man who hears and sees the sickening harassment promoted by this shop with his scandals exploits the naivety of many who do not know the concept of religion except in its Daesh version.',,,,,,
ary_test_track_c_00011,nnass ydaghto 3lihom bach y9alsso lmoda habo baghin ydiro labass 3la dharna also known as,,,,,,
ary_test_track_c_00012,God bless you in the future.,,,,,,
ary_test_track_c_00013,Four units of whale freezing warehouse for violating coronavirus prevention measures are under construction,,,,,,
ary_test_track_c_00014,dkhlo hna chufo chnu tari is the name of the game,,,,,,
ary_test_track_c_00015,The conference stopped. The conference was canceled. Samir Kudar ran the word and told him to leave and signals because he didn't want to give up.,,,,,,
ary_test_track_c_00016,Greetings from the region of Zakora. May God protect you.,,,,,,
ary_test_track_c_00017,"Love is the miracle of the universe. 77 years after his father refused to marry his son to his beloved, her children refused to marry and ran away... and here it is.",,,,,,
ary_test_track_c_00018,Hamza Moon Bibi's case.. Faith Batma as a defender of my world and smile: My sisters' only fault is that they defend themselves and anyone in their place will do the same and more - posts,,,,,,
ary_test_track_c_00019,Your voice is beautiful but I think you need to practice your voice more and try to add your own character to any song on your beautiful voice and you are beautiful I wish you luck and success',,,,,,
ary_test_track_c_00020,The king invites the kings and presidents of the Islamic countries to follow the messenger in dealing with the challenges of the nation,,,,,,
ary_test_track_c_00021,Morocco beat Tunisia in the Under-17 North African Championship qualifying for the Daphne Cup.,,,,,,
ary_test_track_c_00022,"An Italian judge said: ""We are a man who accompanies ordinary women and sees no family violence"". The judge replied: ""Merging with us without importing your culture"".",,,,,,
ary_test_track_c_00023,Greetings from my Facebook friend.,,,,,,
ary_test_track_c_00024,Former Crop employee who was Britney Spears' supervisor reveals details of her espionage,,,,,,
ary_test_track_c_00025,The problems are not going to go away in this institution. The issue of stopping operations in the regional hospital of Nazor has been referred to parliament.,,,,,,
ary_test_track_c_00026,"Lord, may God burn you with fire.",,,,,,
ary_test_track_c_00027,"My brother is a Moroccan, how rural, arid and Arab he is. Think of God's mercy.",,,,,,
ary_test_track_c_00028,<unk>username> serveur 3andi taye7 <unk>za3ma dernah f Manchester galik mezian <unk> ch7al dial lkdoub This is a list of people who have been featured on the BBC.,,,,,,
ary_test_track_c_00029,@<username> hhhhhhhh chamtatna hhhhhhh 3o9balil follow katastahlo ana bghit ghir RT VR or not,,,,,,
ary_test_track_c_00030,Why did the political office of the pigeon die today?,,,,,,
ary_test_track_c_00031,That's why I'm still the head of the government.,,,,,,
ary_test_track_c_00032,#IbtissamTiskat tssawro dak nass lihajro hissabat dyalhom chi mn chhar 12 xhi 1 chi 2...tssawro irej3okamliin o talo 3lina hhhh knhlm bezf This is the first time I've seen this song in my life.,,,,,,
ary_test_track_c_00033,It doesn't stop acne. Scientists confirm that people who suffer from acne at an early age age age quickly age.,,,,,,
ary_test_track_c_00034,He was in the theatrical guard: one of the bankers went into a coma and died before he could be transported to the hospital.,,,,,,
ary_test_track_c_00035,"A real-life house fire. In the video, citizens surround a group leader with binoculars and accuse him of plundering the group before being rescued by gendarmes.",,,,,,
ary_test_track_c_00036,The Council of Casa is not a culture. 50 music teachers left without a holiday and did not finish for 3 months.,,,,,,
ary_test_track_c_00037,"The ""Change"" and ""Faithfulness and Responsibility"" lists are based on the National Press Council elections.",,,,,,
ary_test_track_c_00038,@username @username wakha te3teni link from instagram by plz,,,,,,
ary_test_track_c_00039,Mezyana fihoum wakha mbs dine is the name of the game.,,,,,,
ary_test_track_c_00040,The government is no longer willing to deal with them. The former president of South Korea wants to give up his dogs.,,,,,,
ary_test_track_c_00041,"Habib al-Maliki questions the government's budget figures and mocks them: ""A student who fails in the first economy can't run this"".",,,,,,
ary_test_track_c_00042,He was happy just to interact with the artists and kept silent in accordance with the instructions of his lawyer,,,,,,
ary_test_track_c_00043,"For the second time in a week, Russia's foreign ministry received the Egyptian ambassador in Moscow and discussed the issues of the region, including the desert file.",,,,,,
ary_test_track_c_00044,@username @username> raha wahed khor kteb tehtotahowa mn hind This post is part of our special coverage India.,,,,,,
ary_test_track_c_00045,France football. He is the best player and he has three goals against the Lions.,,,,,,
ary_test_track_c_00046,A banker like you doesn't own the government.,,,,,,
ary_test_track_c_00047,"Indeed, I demand and demand that this idea be fought with economics, religion and media"".",,,,,,
