id,text,anger,disgust,fear,joy,sadness,surprise
swe_train_track_a_00001,"The only thing they could think of to do was to warm up the burger that was already raw in the middle, but instead of offering compensation, the waitress mutters that it's so ""medium"" served and that we couldn't get a new burger or the money back because we had eaten the burger before we discovered how undercooked it was (it wasn't raw at the edges).",0,1,0,0,0,0
swe_train_track_a_00002,"We moved from one house to my parents' house, so we hired them to move into our house, and my parents hired them to clean their house before we moved in, and on 150 square feet, one guy was cleaning, and I don't know what he was cleaning, and I didn't feel like I had cleaned at all, and the fridge wasn't clean, and the plates weren't touched, and the sewers weren't clean, and I had to clean myself.",1,1,0,0,0,0
swe_train_track_a_00003,"Finally, she turned to the window at about ten minutes past twelve, when she looked out, she saw the murder through the window of a passing high-speed train.",0,0,0,0,0,0
swe_train_track_a_00004,Very reliable person. Gives security. Prepared for the meeting. Driven. I would choose Maria if I were to sell my house in the future,0,0,0,1,0,0
swe_train_track_a_00005,Are you thinking about helping out?,0,0,0,0,0,0
swe_train_track_a_00006,Very clean and nice at a good price,0,0,0,1,0,0
swe_train_track_a_00007,We were very pleased with our realtor Alex Baz from the Fastghetsbyrån when we sold our townhouse.,0,0,0,1,0,0
swe_train_track_a_00008,I bought an Android box of a more expensive model. I checked carefully online what I was going to have. I was well received by the company but totally fooled by the support when I didn't manage to get it as I thought it would be. I spent a lot of extra time thanks to the support's incorrect answers. I expected to get a box that met the requirements I thought it would meet and if the support immediately when I asked for more I wouldn't have to spend so much time on it.,1,1,0,0,0,0
swe_train_track_a_00009,"Great service and commitment, and Robban on Grind Street gets a plus on the edge.",0,0,0,1,0,0
swe_train_track_a_00010,"We were 14th and had booked from 17:00 onwards! We were there at 17:00 and got the food in at 18:00 no bigger problem though, but considering they had promised the second second seat at 19:00 so it was very stressful and we also had plans to finish with coffee, avec and some desserts but after they both stood and stepped outside the door we felt we had to round off and take the note!",1,1,0,0,1,1
swe_train_track_a_00011,"Don't come here, whatever you're doing, really bad service and doesn't care about his customers.",1,1,0,0,0,0
swe_train_track_a_00012,"The environment and the decoration were nice as well as the staff's response. BUT: the food was a real disappointment. The chicken kebab salad was so smooth that you couldn't talk about a salad, soaked in uncooked dressing and extremely fat fried eggplant slices. The meatballs were very dry and compact, the consistency of the hasselback potatoes didn't make the portion directly better. The entrecotes were very cold, dry and tasteless, with the sauce and the pomegranate and extremely dry.",0,1,0,1,1,1
swe_train_track_a_00013,"When I complained, they wanted to pay for the troubleshooting and claimed they hadn't done anything wrong. I had to fix the air filter myself, but the car now has problems with uneven idling due to the wrong installation of the air filter that programmed the ECU to reset the settings.",1,1,0,0,0,0
swe_train_track_a_00014,"So incredibly good teachers! Grounded, warm, good and fun to drive with. I did, however, drive with a little too many different teachers as it was difficult to book lessons with the same one. Could have been good with a little more continuity and personal guidance from the start. For example, time to sit down with a head teacher and make an arrangement on the training and get some more info about how to use the website for studying.",0,0,0,1,0,0
swe_train_track_a_00015,ALLINC is a dishonest company that has a dishonest sales method and deliberately provides incorrect or misleading information at the time of sale.,1,1,0,0,0,0
swe_train_track_a_00016,"Warning! They tricked us today into a six-year-old Nokian winter tire at a new price, claiming it was a discount for age, but that it ""wasn't on the receipt"", and then we discover on the Internet that it was a normal price (which explains why the ""discount"" wasn't on the receipt).",1,1,0,0,0,1
swe_train_track_a_00017,"The atmosphere is pleasant, the live music was great on Saturday, but the food was a big disappointment, nothing was hot, the chicken wings were dry, the pancakes were the same, some cold sausages with potatoes were lying around looking like candy, boiled eggs on hard bread, cold chickpeas and a green salad didn't make anyone happy, we found nothing to eat.",0,1,0,1,1,0
