id,text,anger,disgust,fear,joy,sadness
afr_dev_track_c_00001,Clear policy frameworks have already been laid down for future education development in South Africa.,0,0,0,1,0
afr_dev_track_c_00002,It's an industry that's 90% execution-oriented.,0,0,0,0,0
afr_dev_track_c_00003,In one of M.E.R.,0,0,0,0,0
afr_dev_track_c_00004,"So once you've reached the top, keep climbing.",0,0,0,1,0
afr_dev_track_c_00005,The cost is R1 135 000 and the capacity is increased by ± 3 million m3.,0,0,0,1,0
afr_dev_track_c_00006,"I am not a philatelist, but my eldest daughter, Melita, is.",0,0,0,1,0
afr_dev_track_c_00007,"To this end, the State contributes 80% through a subsidy.",0,0,0,0,0
afr_dev_track_c_00008,I would also like to congratulate the management of this institution.,0,0,0,1,0
afr_dev_track_c_00009,"At the time, Dirkie de Villiers selected and published twelve of them.",0,0,0,0,0
afr_dev_track_c_00010,These superpowers are going to get bigger.,0,0,1,0,0
afr_dev_track_c_00011,"The complete typed manuscript, along with the typist's note, is preserved in NALN.",0,0,0,0,0
afr_dev_track_c_00012,"It also focuses on the Department's staff, because better trained officials will also provide better service to you.",0,0,0,1,0
afr_dev_track_c_00013,I am sure that some of the new or re-elected members are present here.,0,0,0,0,0
afr_dev_track_c_00014,"There is daily, in both poor and rich neighborhoods, fear of the possibility of a violent attack.",1,1,1,0,1
afr_dev_track_c_00015,That their language and their traditions and their basic lives and worldview would be left in their hands.,0,0,0,0,0
afr_dev_track_c_00016,We are determined to stop the continuous violation of the dignity of especially the underprivileged and defenseless people in our province.,0,0,0,1,0
afr_dev_track_c_00017,"They must still be somewhere, yes.",0,0,0,0,0
afr_dev_track_c_00018,"I strongly believe that being a farmer is not a right, it's a privilege.",0,0,0,1,0
afr_dev_track_c_00019,"In the end, the challenges have as much to do with regulation as they do with consistent enforcement.",0,0,0,0,0
afr_dev_track_c_00020,"We are currently in talks with Eskom, DME and Nersa to compile a report monitoring the systems.",0,0,0,1,0
afr_dev_track_c_00021,The interests represented here tonight face a great challenge.,0,0,1,0,0
afr_dev_track_c_00022,"However, this will have to be followed by teamwork in smaller circles, focused on detailed proposals and strategies.",0,0,0,0,0
afr_dev_track_c_00023,"You are all aware of the crises we have experienced in the last year, both with regard to pig farmers and the oyster industry.",0,0,1,0,1
afr_dev_track_c_00024,"Anton Bredell, Minister of Local Government, Environment and Development Planning",0,0,0,0,0
afr_dev_track_c_00025,You let us bleed.,1,0,1,0,1
afr_dev_track_c_00026,"Patatskloof was the name of my father, D. G.",0,0,0,0,0
afr_dev_track_c_00027,"On the other hand, little progress has been made in the redistribution of land.",0,0,0,0,1
afr_dev_track_c_00028,"However, it is disturbing to know that students studying at agricultural colleges are excluded from this aid scheme.",1,0,0,0,1
afr_dev_track_c_00029,"In time, these institutions are likely to grow closer together.",0,0,0,1,0
afr_dev_track_c_00030,Thank you all.,0,0,0,1,0
afr_dev_track_c_00031,"And this year is an extra special year, as the World Cup of Soccer is about to hit us in a few months.",0,0,0,1,0
afr_dev_track_c_00032,"Yet, access to employment is a burden on rural women, youth, and the disabled.",0,0,0,0,1
afr_dev_track_c_00033,There are numerous examples in history of tragic conflicts triggered by the denial of the rights of minorities.,0,1,0,0,1
afr_dev_track_c_00034,to persuade Schoeman to donate his entire study and document collection to NALN.,0,0,0,0,0
afr_dev_track_c_00035,We must therefore ensure a constitutional mechanism for the protection of the rights of minorities.,0,0,1,1,0
afr_dev_track_c_00036,We aim to have sites in 160 wards by 2014.,0,0,0,0,0
afr_dev_track_c_00037,Now it is up to us to ensure that all interests are taken into account in the implementation of that constitutional compromise.,0,0,0,1,0
afr_dev_track_c_00038,"First, the sun's ultraviolet rays are harmful to the pipes themselves, and fires can cause great damage to the pipeline.",0,0,1,0,1
afr_dev_track_c_00039,The Minister of Education will elaborate next week on the national debate on these matters.,0,0,0,0,0
afr_dev_track_c_00040,I believe that your discussions and deliberations should be handled within the framework of the prevailing reality.,0,0,0,0,0
afr_dev_track_c_00041,"If wheat can be grown profitably, farmers will plant it, ensuring that enough food is produced affordably.",0,0,0,0,0
afr_dev_track_c_00042,"This will ensure sustainability, and the use of more government resources to provide economic services to create more jobs and business opportunities.",0,0,0,1,0
afr_dev_track_c_00043,Many of the challenges in our work that have been highlighted stem from serious shortcomings in our planning.,0,1,1,0,0
afr_dev_track_c_00044,"In terms of the same agreement, we sent five aspiring cheese makers to Beaune as well as five persons who had received training in wine serving.",0,0,0,1,0
afr_dev_track_c_00045,"People can also carry organ donor cards with them,"" says Uys.",0,0,0,0,0
afr_dev_track_c_00046,So this year I'm coming back to visit NALN.,0,0,0,0,0
afr_dev_track_c_00047,This was clearly evident from an informal need-determination and desirability study undertaken by NALN last year as one of its NALN 25 projects.,0,0,0,0,0
afr_dev_track_c_00048,Cillié had him converted from Ds.,0,0,0,0,0
afr_dev_track_c_00049,"The complexity of South African society, including in the field of education, requires careful planning, orientation and hard work.",0,0,0,0,0
afr_dev_track_c_00050,It is important to me now that I try to set out a strategic guideline to which this congress should pay attention.,0,0,0,0,0
afr_dev_track_c_00051,"Therefore, we should lift up our heads and think with great gratitude of those whose memory we honor here today.",0,0,0,1,1
afr_dev_track_c_00052,"There are substantial differences between us on the issue of discipline, authority, and order.",0,0,0,0,1
afr_dev_track_c_00053,"He then became a lecturer in history at Grey University College and later South Africa's leading economist, and later ambassador to England.",0,0,0,1,0
afr_dev_track_c_00054,"First, it was agreed that, in all areas of government, necessary vacancies should be filled within six months of the vacancy arising.",0,0,0,0,0
afr_dev_track_c_00055,"Today, fixed investment as a percentage of gross domestic product <unk> at about 18.4% <unk> is at its highest level since 1991.",0,0,0,1,0
afr_dev_track_c_00056,"These jobs are in areas such as construction, home and community-based care, and environmental projects.",0,0,0,0,0
afr_dev_track_c_00057,"These actions will ensure that women, children and persons with disabilities have access to development opportunities.",0,0,0,1,0
afr_dev_track_c_00058,"They talk to each other, and he asks her opinion on matters.",0,0,0,0,0
afr_dev_track_c_00059,"Adoon's tongue is hanging out of the loop, too, but it's not the screen dog that's making him drool like that!",0,0,0,0,0
afr_dev_track_c_00060,"We need agricultural engineers, economists, and veterinarians.",0,0,0,0,0
afr_dev_track_c_00061,"I'm here to hear what your problems are and, collectively, see how we can address them.",0,0,0,1,0
afr_dev_track_c_00062,Môrester Landgoed is a family business of almost 95 years old.,0,0,0,0,0
afr_dev_track_c_00063,The cost of the first 30 cows was R2 535 each for a total of R76 050.,0,0,0,0,0
afr_dev_track_c_00064,All these people have the potential to become role models for today's learners.,0,0,0,1,0
afr_dev_track_c_00065,"This demonstrates the commitment and approach of this Government to development, helping the poor and correcting the past.",0,0,0,1,0
