id,text,anger,disgust,fear,joy,sadness
afr_test_track_c_00001,The occasion was the celebration of the 25th anniversary of the Free State Republic.,,,,,
afr_test_track_c_00002,Our meeting at Pacaltsdorp near George was part of the provincial government's pursuit of transparency and accountability.,,,,,
afr_test_track_c_00003,Those of us in government have assumed this responsibility.,,,,,
afr_test_track_c_00004,We met with mayors and municipal administrators last year.,,,,,
afr_test_track_c_00005,We also look forward to strengthening this partnership when we host the South Africa-EU summit later this year.,,,,,
afr_test_track_c_00006,Our long-term infrastructure program will help us grow faster.,,,,,
afr_test_track_c_00007,"The song that got the most attention was Ellie Rhee, which is the original song by Sarie Marais.",,,,,
afr_test_track_c_00008,"Furthermore, a language practitioner was appointed to compile a comprehensive database.",,,,,
afr_test_track_c_00009,It also helps with the growth of the economy and it also brings an increase in employment opportunities.,,,,,
afr_test_track_c_00010,"I cherished the ideal of a democratic and free society, in which all live together in harmony with equal opportunities.",,,,,
afr_test_track_c_00011,Ministers will provide the details in their respective budgetary reasons.,,,,,
afr_test_track_c_00012,"Therefore, the growth rate of exports is not as high as in comparable countries.",,,,,
afr_test_track_c_00013,Also congratulations to you who are receiving your diplomas and awards here today.,,,,,
afr_test_track_c_00014,"The foundation on which we want to build the growing Cape in this province has three concepts, namely dignity, fairness and prosperity.",,,,,
afr_test_track_c_00015,South Africa will inevitably have to develop the same approach.,,,,,
afr_test_track_c_00016,"For understandable reasons, there is much anguish in certain Afrikaans-speaking communities about the future of Afrikaans.",,,,,
afr_test_track_c_00017,We have not yet fully attained it.,,,,,
afr_test_track_c_00018,I do not now include visits to wine cellars with tasting rooms.,,,,,
afr_test_track_c_00019,We want to reiterate that no grievances can ever justify violence and the destruction of property.,,,,,
afr_test_track_c_00020,I want to put it to you that we can't do this alone.,,,,,
afr_test_track_c_00021,It has now opened up an important new avenue.,,,,,
afr_test_track_c_00022,Continued agricultural development is a prerequisite for these contributions.,,,,,
afr_test_track_c_00023,We meet here against the backdrop of a global economic crisis.,,,,,
afr_test_track_c_00024,"There is Breyton Paulse, there is Chris Nissen, there is Cecil Esau, there is Ashwin Willemse and many others.",,,,,
afr_test_track_c_00025,"The fact is, many of those people themselves have never worked a day's work on a farm.",,,,,
afr_test_track_c_00026,These are just two of the many success stories.,,,,,
afr_test_track_c_00027,"In some of these facilities, management is poor and staff morale needs to improve.",,,,,
afr_test_track_c_00028,His political vision has never been studied in depth.,,,,,
afr_test_track_c_00029,The language was poor in vocabulary.,,,,,
afr_test_track_c_00030,I ask you to strengthen my hand and that of others on this matter.,,,,,
afr_test_track_c_00031,We salute them for the hope they have brought in a time of despair.,,,,,
afr_test_track_c_00032,Minister Dowry announced this forum in June 2007.,,,,,
afr_test_track_c_00033,The racial and class integration of our physical spaces is essential to the opening and expansion of Home for All.,,,,,
afr_test_track_c_00034,So it is important that we find a way to provide you with technical support and keep the center operational.,,,,,
afr_test_track_c_00035,We will expand our work to reduce serious and violent crime and ensure that the justice system functions effectively.,,,,,
afr_test_track_c_00036,Men who do not pay alimony for their own children.,,,,,
afr_test_track_c_00037,But the coconut tree motif remained.,,,,,
afr_test_track_c_00038,"I am referring specifically to the FIFA World Cup in 2010, as well as the Confederations Cup a few months from now.",,,,,
afr_test_track_c_00039,"The argument that can be made for the preservation, protection and domestication of Afrikaans is certainly national rather than sexist.",,,,,
afr_test_track_c_00040,"The hallmark of this administration will be that it knows where people live, understands their needs, and responds more quickly.",,,,,
afr_test_track_c_00041,It's people like that who tarnish the name of Correctional Services.,,,,,
afr_test_track_c_00042,The Group Area Act forced our ancestors to move to Cape Town.,,,,,
afr_test_track_c_00043,"So if we ask for guidelines, starting points and foundations for planning a vision for the future, I would like to highlight a few points.",,,,,
afr_test_track_c_00044,"Over the next three years, we will also transfer R47.3 billion to municipalities.",,,,,
afr_test_track_c_00045,"He was charged with drug trafficking, pearl smuggling, murder, and home invasion.",,,,,
afr_test_track_c_00046,You all know the cost cuts that force us to be more productive farmers every year.,,,,,
afr_test_track_c_00047,But we can never reject them.,,,,,
afr_test_track_c_00048,"I stay at home most of the time, so I hardly ever use the Mercedes.",,,,,
afr_test_track_c_00049,Information pieces are sent out on the first day.,,,,,
afr_test_track_c_00050,"And then you must begin to believe that you can actually ""do better"".",,,,,
afr_test_track_c_00051,There were people from the KP who participated but officially the party boycotted it again.,,,,,
afr_test_track_c_00052,"The closing date for entries is July 25, 2003.",,,,,
afr_test_track_c_00053,This continuing conversation is therefore part of that effort.,,,,,
afr_test_track_c_00054,"Examples are housing and road maintenance, but these are indeed the central focus of the expanded public works program.",,,,,
afr_test_track_c_00055,This means that the Language Committee has a twofold function.,,,,,
afr_test_track_c_00056,"The message to all our residents is that when someone develops a whooping cough, they should go to a clinic immediately.",,,,,
afr_test_track_c_00057,Talk to him in his own language!,,,,,
afr_test_track_c_00058,"We believe that language diversity is a resource, not a problem.",,,,,
afr_test_track_c_00059,"Heritage Days, when the nation remembers its past and its current achievements, and looks to the future.",,,,,
afr_test_track_c_00060,"The question is, what should you be aware of?",,,,,
afr_test_track_c_00061,Today I would like to extend an invitation to you as graduates to be part of this partnership from the very beginning.,,,,,
afr_test_track_c_00062,It is the active democracy of the HOP and the Freedom Handbook.,,,,,
afr_test_track_c_00063,"It was all the time ""kept"" by Prof. Jan du Toit until we could go and get it.",,,,,
afr_test_track_c_00064,"This ""mighty secret"", as it has been described, has captured the imagination of even men like Lawrence Green.",,,,,
afr_test_track_c_00065,"Schoeman's confidant, and he brings us letters and signed copies of Schoeman's books to supplement our collection.",,,,,
afr_test_track_c_00066,"Local and international investors, businesses and entrepreneurs are waiting for these signs from our side.",,,,,
afr_test_track_c_00067,New technology has resulted in new techniques being seen as the norm for certain diagnostic tests.,,,,,
afr_test_track_c_00068,"It is up to us, and there is no price to be paid!",,,,,
afr_test_track_c_00069,Re-training may be necessary and coordination with HOP planning will be necessary.,,,,,
afr_test_track_c_00070,The gestures are accompanied by sympathetic tongue-clicking sounds.,,,,,
afr_test_track_c_00071,"From biblical history, we know very well why the Wise Men did not travel back that way.",,,,,
afr_test_track_c_00072,"The fact is that the overall crime rate, after peaking in 2002, has been steadily declining.",,,,,
afr_test_track_c_00073,Tests for avian influenza virus will be initiated and subsequently for Newcastle disease and African horse sickness viruses.,,,,,
afr_test_track_c_00074,"For a long time, she was the only voice in Parliament that unceasingly advocated change.",,,,,
afr_test_track_c_00075,"Of these letters, Sita writes: ""When we received the news of the birth of our first grandchild, I was overwhelmed.",,,,,
afr_test_track_c_00076,"However, allow me to make a few remarks on agriculture from my perspective as Minister of Agriculture in the Western Cape.",,,,,
afr_test_track_c_00077,We said we're not afraid of anyone because our cause is right!,,,,,
afr_test_track_c_00078,"To further improve its service delivery to the public, the Government must optimise its capacity and organisational efficiency.",,,,,
afr_test_track_c_00079,"In the Western Cape, too, we do not have to hold back.",,,,,
afr_test_track_c_00080,"It almost reads like a ""Who's Who"" of African literature.",,,,,
afr_test_track_c_00081,Eskom will continue to build additional generation capacity and improve the maintenance of its power stations.,,,,,
afr_test_track_c_00082,We want you to join us in having hope for the future.,,,,,
afr_test_track_c_00083,"You'll know what I mean by ""retreat"".",,,,,
afr_test_track_c_00084,"All these actions, combined with electricity-saving measures, will improve power supply and increase reserve road limits.",,,,,
afr_test_track_c_00085,"His life was intertwined with that of famous South African composers, writers, and other cultural figures.",,,,,
afr_test_track_c_00086,"And here in the Western Cape, her male cabinet will be working their fingers to the bone for her.",,,,,
afr_test_track_c_00087,"In the final instance, both of them were advocates for NALN.",,,,,
afr_test_track_c_00088,It takes a sense of pride and ownership in your work.,,,,,
afr_test_track_c_00089,And then the Second War of Independence broke out and a new chapter in my life began...,,,,,
afr_test_track_c_00090,The Reverend took up his duties as Superintendent of Education in the Transvaal with great enthusiasm.,,,,,
afr_test_track_c_00091,"For those who can't speak, they're a rich man's party.",,,,,
afr_test_track_c_00092,"I just feel there's a clear choice, and in this process, no one can afford to sit on the sidelines.",,,,,
afr_test_track_c_00093,"To lose a South African farmer who is a profitable farmer, I always find a great pity and a loss for South Africa.",,,,,
afr_test_track_c_00094,The great partner in this process is this institution where you have now obtained your qualification.,,,,,
afr_test_track_c_00095,The pace of land reform has been very slow until now.,,,,,
afr_test_track_c_00096,We will also reduce infant mortality rates through a massive immunization program.,,,,,
afr_test_track_c_00097,"Culturally, the factors can also be used to draw inferences.",,,,,
afr_test_track_c_00098,"The farm Skietfontein, about eighteen miles from Pretoria, came to.",,,,,
afr_test_track_c_00099,"But in the meantime, I must ask you to obey the law.",,,,,
afr_test_track_c_00100,"Dogs look up to us and cats look down on us, but pigs treat us as equals"".",,,,,
afr_test_track_c_00101,"In connection with this, he donated certain unique materials, as well as later his desk and other items from his study.",,,,,
afr_test_track_c_00102,This flaw involves our social security system's pillar of contributory merit being missing or unreliable with regard to large numbers of working people.,,,,,
afr_test_track_c_00103,I hope that they too will now constructively participate in the consideration of the report - i.e.,,,,,
afr_test_track_c_00104,"Of course, she always spent holidays there with her grandmother, the grandmother after whom she was named as the eldest daughter.",,,,,
afr_test_track_c_00105,Already with the second Council meeting in the same year it was decided to build a partial dam at Fourth Drift.,,,,,
afr_test_track_c_00106,"So I read a biography of Langenhoven and ""A New Perspective on the History of the Afrikaans Language"".",,,,,
afr_test_track_c_00107,South Africa struggles with large-scale unemployment and consequent poverty.,,,,,
afr_test_track_c_00108,"In addition, the construction of the plant will create between 560 and 750 new jobs in the economy.",,,,,
afr_test_track_c_00109,President Zuma's decision to separate land and agriculture has provoked both positive and negative reactions.,,,,,
afr_test_track_c_00110,"We are urgently looking for veterinarians, agricultural engineers, and economists.",,,,,
afr_test_track_c_00111,The new South Africa is now a reality.,,,,,
afr_test_track_c_00112,The Industrial Development Corporation has allocated R6 billion to help companies in need.,,,,,
afr_test_track_c_00113,The Minister of Finance will elaborate on this in his budget speech.,,,,,
afr_test_track_c_00114,The Provincial Government is currently at work.,,,,,
afr_test_track_c_00115,There is not much that can be done about this - especially since it is constitutionally enshrined in Kempton Park.,,,,,
afr_test_track_c_00116,This is a very serious matter and we will have to do something about it.,,,,,
afr_test_track_c_00117,The continued volatility of our currency also did not bode well for our export industry.,,,,,
afr_test_track_c_00118,I suppose (looking around) there are quite a few people here who were children in the 1974-78 period.,,,,,
afr_test_track_c_00119,"Work with your community leaders, the police and the Department of Community Safety.",,,,,
afr_test_track_c_00120,The greatest historian of all time remains Time itself.,,,,,
afr_test_track_c_00121,"Talk to your suppliers again, and then go back to the farm with renewed courage for the year ahead.",,,,,
afr_test_track_c_00122,The Province has also made a R3 million grant available for an investigation into alternative water sources.,,,,,
afr_test_track_c_00123,We are happy to announce that we will be doing things in a new way in Government.,,,,,
afr_test_track_c_00124,Afrikaans is a language of this country.,,,,,
