id,text,anger,disgust,fear,joy,sadness,surprise
swa_train_track_a_00001,This game is goals we just refused to play.,1,0,0,0,0,0
swa_train_track_a_00002,"@NickieBoyz: I'm not sure what you mean by ""NickieBoyz"" but I'm not sure what you mean by ""NickieBoyz""",0,0,0,0,0,0
swa_train_track_a_00003,Sometimes I wonder if there's a dame says I'm her crush,0,0,0,0,0,0
swa_train_track_a_00004,He doesn't want to be told lol,0,0,0,0,0,1
swa_train_track_a_00005,Ruto my president #RutosBlindAmbition,0,0,0,0,0,0
swa_train_track_a_00006,I'm not sure if I'm going to sleep well tonight or if I'm going to get a bad night's sleep tomorrow.,0,0,0,0,1,0
swa_train_track_a_00007,"One day I was with my brother, I went to the side to eat and Morio followed me😂😂",0,1,0,0,0,0
swa_train_track_a_00008,"Awa mafresher was this year and I joined them as mature already <unk>you make yourself OG unadate one, and I'll play you until you can't believe it<unk>",0,0,0,0,1,1
swa_train_track_a_00009,There are people who will start threatening those corona masks and retweets!,0,0,0,0,0,0
swa_train_track_a_00010,"I hate Nairobi, but I'm not going to go there and get a drink.",1,0,0,0,0,0
swa_train_track_a_00011,They despised us very much,0,0,0,0,1,0
swa_train_track_a_00012,Yesterday I ate chicken lunch I ruined supper I ate omena today I don't make the same mistake,1,0,0,0,0,0
swa_train_track_a_00013,It's played every game why,0,0,0,0,0,0
swa_train_track_a_00014,Now I'm the one who's paying these bills. We've been fucked. Fuck this team.,0,0,0,0,0,0
swa_train_track_a_00015,What time do you turn off the electricity?,1,0,0,0,0,0
swa_train_track_a_00016,I went to bed. Let me just keep working until I fall asleep here.,1,0,0,0,0,0
swa_train_track_a_00017,There are guys beshte my alistake forgot to squeeze the place bet. 3k has gone fuaaaa <unk>,0,0,0,1,0,0
swa_train_track_a_00018,#POPEINKENYA and #UNON. #leadership drives progress. Inspire and encourage to achieve the #SDGs,0,0,0,0,0,0
swa_train_track_a_00019,@<username> Yeah that's where I laughed my whole life. But that harassment is noma. Four women can't even hepa woi,0,0,0,0,0,0
swa_train_track_a_00020,"I'm not sure if the Kenyan government is going to do anything about it, but I'm sure they'll find some other way to get rid of the clans.",0,0,0,0,0,0
swa_train_track_a_00021,"The ""specials"" are getting bigger and bigger, and the ""sponsors"" are getting bigger and bigger.",0,0,0,0,0,0
swa_train_track_a_00022,Let me check these last episodes of Blackish and then I'll go to sleep.,0,0,0,0,0,0
swa_train_track_a_00023,"I'm not sure if it's the end of the month or not, but I'm sure the Subaru and the Salaryman will be there.",0,0,0,0,0,0
swa_train_track_a_00024,"I'm not sure if I'm going to be able to make it, but I'm going to have to say goodbye to Stella and the rest of the family, and I'm going to be a little bit more relaxed, and I'm going to be able to say goodbye to all of you, and I'm going to be able to say goodbye to you.",0,0,1,0,0,0
swa_train_track_a_00025,"I'm from Kenya and I'm not sure what time it is, but I'm sure it's 8am and I'm not sure what time it is.",0,0,0,1,0,0
swa_train_track_a_00026,But what is this in Kenya that we have not seen? Brain surgery on a wrong patient.,0,0,0,0,1,0
swa_train_track_a_00027,@<username> I saw it in a dream bro,0,0,0,0,0,0
swa_train_track_a_00028,@<username> Set it to the application,0,0,0,0,0,0
swa_train_track_a_00029,"I'm not a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I'm a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a taxi driver, I's a what is what is what is what is what is what is what is what is what is",1,0,0,0,0,0
swa_train_track_a_00030,@<username> @<username> What is it,0,0,0,0,0,0
swa_train_track_a_00031,Who is the Ruto who is the one who makes the government after the government?,0,0,0,0,0,1
swa_train_track_a_00032,"Today, Goal Rush should collaborate with La Liga",0,0,0,0,0,0
swa_train_track_a_00033,"@sorrynotsorry: I'm not sure if this is a good idea or not, but I'm sure the roads are not bad.",0,0,0,0,0,0
swa_train_track_a_00034,"""What are you fighting for today, you great and wise?",0,0,0,0,0,0
swa_train_track_a_00035,"@<username> You have a bug in your mind,",1,1,0,0,0,0
swa_train_track_a_00036,"If you see life weighing on you, let's try and see which one has overcome you.",0,0,0,0,0,0
swa_train_track_a_00037,@<username> Thank you for your comments ^Jamo,0,0,0,1,0,0
swa_train_track_a_00038,Five people were the only ones who wrote it.,0,0,0,0,0,1
swa_train_track_a_00039,"""Wow, I'm not sure if I'm going to be able to do both sides of the blueband.""",0,0,0,0,0,0
swa_train_track_a_00040,@<username> The House of Representatives,0,0,0,0,0,0
swa_train_track_a_00041,"@Sophie, I'm going to have to ask you to give me a call and I'll be happy to let you know that I'm going to be doing a ""Sophie"" show.",0,0,0,0,0,0
swa_train_track_a_00042,"My father texted you to block the children, I'm the only one I don't have another 😂😂😂",0,0,1,1,0,0
swa_train_track_a_00043,My G's are all offline. My guess is they've sent their madem. They're all diani.,0,0,0,0,1,0
swa_train_track_a_00044,"If you're going to tell each other, you're going to have to go there and finish each other off.",0,0,0,0,0,0
swa_train_track_a_00045,I showed him the pedi and he stopped calling me form. People are so ungrateful,0,0,0,0,0,0
swa_train_track_a_00046,It's not just the oppression that brings sexual frustration here.,1,0,0,0,0,0
swa_train_track_a_00047,"@Shaun: (sighs) I'm so sorry, but I'm not going to be able to make it to the end of this thread.",0,0,0,0,0,1
swa_train_track_a_00048,Uruguay was eliminated from the World Cup in the last minutes. ##URL##,0,0,0,0,1,0
swa_train_track_a_00049,The guy is cunning @<username> he eats things while extending contract to 72 times #ishiamtaa but the one who has given contract is Fala hahaha,1,0,0,0,0,0
swa_train_track_a_00050,"@<username> And as some babe is writing a thread here, but I knew it was just you being called <unk>",0,0,0,0,0,0
