id,text,anger,disgust,fear,joy,sadness,surprise
mar_train_track_a_00001,I am very happy that the trees in my house have added to the beauty of my house.,0,0,0,1,0,0
mar_train_track_a_00002,"The design of the umbrella was strange and the color was bad, it didn't look good at all.",0,0,0,0,0,0
mar_train_track_a_00003,"The noise pollution of the festival is very difficult to bear, so it is very irritating.",1,0,0,0,0,0
mar_train_track_a_00004,It's good to enjoy the rain but I'm afraid you'll get sick.,0,0,1,0,0,0
mar_train_track_a_00005,I am annoyed by students who constantly talk nonsense in class.,1,0,0,0,0,0
mar_train_track_a_00006,New curtains and lights have enhanced the beauty of the house.,0,0,0,1,0,0
mar_train_track_a_00007,I am getting annoyed by the noise of this party.,0,1,0,0,0,0
mar_train_track_a_00008,"There was a mess during the planting and the flowers were in bad condition, so I was very angry.",1,0,0,0,0,0
mar_train_track_a_00009,Gambling in sports is a highly reprehensible and morally reprehensible thing.,0,1,0,0,0,0
mar_train_track_a_00010,Elections are held in India every five years.,0,0,0,0,0,0
mar_train_track_a_00011,"Seeing the dirtiness of the buses going to this famous place, I am starting to get nauseous.",0,1,0,0,0,0
mar_train_track_a_00012,I was disgusted by the way my favorite bookstore had become so cluttered and messy.,0,1,0,0,0,0
mar_train_track_a_00013,Suddenly part of the roof collapsed and we all panicked and rushed out.,0,0,1,0,0,0
mar_train_track_a_00014,My anger is uncontrollable because of the misjudgment caused by the wrong diagnosis.,1,0,1,0,0,0
mar_train_track_a_00015,"Shopping for a wedding, even with friends, can be better and more fun than this?",0,0,0,1,0,0
mar_train_track_a_00016,There is a lot of anger and frustration among all of us farmers due to the lack of fodder and water for cows and the lack of proper action in cases of animal abuse.,1,0,0,0,1,0
mar_train_track_a_00017,I am very disappointed that my favourite cricket team lost the match.,0,0,0,0,1,0
mar_train_track_a_00018,Checked the train schedule at the station.,0,0,0,0,0,0
mar_train_track_a_00019,The electricity bill in the house has been paid.,0,0,0,0,0,0
mar_train_track_a_00020,It is a shameful thing to betray innocent people and steal from their homes. The actions of such thieves make me hate them.,1,1,0,0,0,0
mar_train_track_a_00021,I feel very sad to throw away old clothes because of the change of fashion.,0,0,0,0,1,0
mar_train_track_a_00022,Wars create tensions between countries and become an obstacle to peace and progress.,1,0,0,0,1,0
mar_train_track_a_00023,It is highly regrettable that the administration maintained the decision to increase the additional examination fee despite the opposition of all the students.,0,1,0,0,0,0
mar_train_track_a_00024,"In the remixed songs, only the bass of the song has been changed, which makes it feel very repulsive.",0,1,0,0,0,0
mar_train_track_a_00025,"She didn't come for the music rehearsal, which made me very angry.",1,0,0,0,0,0
mar_train_track_a_00026,I am very angry about this unjust act of nature as the crops have been completely destroyed due to unseasonal rains.,1,0,0,0,0,0
mar_train_track_a_00027,"The financial situation of this beer company is very worrying, investors fear that competitors will soon overtake it.",0,0,1,0,0,0
mar_train_track_a_00028,"New technology has improved the quality of milk, yet our efforts are not paying off!",1,0,0,0,1,0
mar_train_track_a_00029,I get very irritated by the dirt and crowds at the festival.,1,0,0,0,0,0
mar_train_track_a_00030,Many new authors have participated in the book exhibition.,0,0,0,0,0,0
mar_train_track_a_00031,The destruction of crops has created a big problem for us. We may have to face an economic crisis.,1,0,1,0,1,0
mar_train_track_a_00032,Today I planned the work schedule in the office.,0,0,0,0,0,0
mar_train_track_a_00033,"After doing household chores, I don't feel satisfied, I just feel tired.",0,0,0,0,1,0
mar_train_track_a_00034,"In this film full of suspense, there is an unexpected twist at the end, which completely amazes me.",0,0,0,0,0,1
mar_train_track_a_00035,It is very sad to realize that the joy of cooking has been lost.,0,0,0,0,1,0
mar_train_track_a_00036,"Today, there were discounts on some items in the market.",0,0,0,0,0,0
mar_train_track_a_00037,I am very afraid of the upcoming game.,0,0,1,0,0,0
mar_train_track_a_00038,"A leader is a person who inspires others with his thoughts, actions and attitude.",0,0,0,0,0,0
mar_train_track_a_00039,My heart is singing with happy sounds today.,0,0,0,1,0,0
mar_train_track_a_00040,I am very annoyed to see the increase in the number of Beetles on the leaves in the garden.,0,1,0,0,0,0
mar_train_track_a_00041,I was sick to my stomach seeing the disease insects spreading on the fields.,0,1,0,0,0,0
mar_train_track_a_00042,I was very surprised and happy to hear the news of receiving the award.,0,0,0,1,0,1
mar_train_track_a_00043,The memory card in the phone has been changed.,0,0,0,0,0,0
mar_train_track_a_00044,"After washing, keep the clothes to dry.",0,0,0,0,0,0
mar_train_track_a_00045,I am very afraid of adapting to the ever-changing trends in the fashion world.,0,0,1,0,0,0
mar_train_track_a_00046,Suddenly experiencing defeat in a dream created an anonymous fear in the mind.,0,0,1,0,0,0
mar_train_track_a_00047,"I no longer have the restraint to deal with bad dreams, and even the memory of them is disgusting.",0,1,0,0,0,0
mar_train_track_a_00048,New parking facilities have been provided in the city.,0,0,0,0,0,0
mar_train_track_a_00049,The dramatic and daring stories of fiction have instilled a sense of dread in my mind.,0,0,1,0,0,0
