id,text,anger,disgust,fear,joy,sadness,surprise
rus_test_track_c_00001,"""Fuck, it's not even worth it to clog the tape, it just fucked up.""",,,,,,
rus_test_track_c_00002,I'm happy for you!!!,,,,,,
rus_test_track_c_00003,"I found a class notation: Greek letters for functions, Latin for variables.",,,,,,
rus_test_track_c_00004,Tell me about the person and the events described below (inside and for the GIS).,,,,,,
rus_test_track_c_00005,And may the whole world wait! #AnnaKotova #holiday #holiday #holiday #fun @ the Mountain Carousel...,,,,,,
rus_test_track_c_00006,Airlines will incentivize passengers for mobile payments,,,,,,
rus_test_track_c_00007,"I don't know if it's just me or someone else, but today is a terrible day, and I feel like shit, and I hate everybody.",,,,,,
rus_test_track_c_00008,My Twitter is turning into some kind of shit that only whines and snores!,,,,,,
rus_test_track_c_00009,Deepest condolences to the families of the dead...burn in hell terrorists! #terror #Volgograd,,,,,,
rus_test_track_c_00010,Drunk people are disgusting.,,,,,,
rus_test_track_c_00011,"I hate it when people judge and discuss tastes, but they're all different, everyone chooses things according to their taste.",,,,,,
rus_test_track_c_00012,What the fuck is this?,,,,,,
rus_test_track_c_00013,The cat's meowing. The cat's meowing. The cat's meowing.,,,,,,
rus_test_track_c_00014,"I'm beginning to fear my thoughts, for in them I want to stay with you forever.",,,,,,
rus_test_track_c_00015,"She's kind of unpleasant, kind of too slippery, too slippery.",,,,,,
rus_test_track_c_00016,"I'm so excited for this, I didn't expect it, but I'm so excited for #Channel5!",,,,,,
rus_test_track_c_00017,"""Oh, I'm amazed, man, we've got the whole summer ahead of us!""",,,,,,
rus_test_track_c_00018,Why do you need a computer when you have food?,,,,,,
rus_test_track_c_00019,I'm terrified because I get different haircuts all the time.,,,,,,
rus_test_track_c_00020,"I have a nose full of snot, cough, sneeze every three minutes.",,,,,,
rus_test_track_c_00021,"The most fucking nut of my life, I want to go to college, life is fucked, you live for yourself, work, life, money, drugs, sex.",,,,,,
rus_test_track_c_00022,You foolish jealous!,,,,,,
rus_test_track_c_00023,So people just need to monitor the information and look for the tickets they need.,,,,,,
rus_test_track_c_00024,"Our little girl won:) Vikusha, you're smart! The best) #emotions #congratulations",,,,,,
rus_test_track_c_00025,"I don't like my driveway because by the time I get to the first floor, I'm all smoky and I'm going to school all day long.",,,,,,
rus_test_track_c_00026,I didn 't miss so much in one night.,,,,,,
rus_test_track_c_00027,Russian citizens continue to choose the seven wonders of our country,,,,,,
rus_test_track_c_00028,"My mother said she'd take my sleeves off at night and look at the scars, and I'm already sleeping badly, and now I'm going to be paranoid.",,,,,,
rus_test_track_c_00029,You will never solve a problem if you keep the same mindset and approach that led you to it.,,,,,,
rus_test_track_c_00030,What the hell? Why? Why?,,,,,,
rus_test_track_c_00031,"I just found out that a friend of mine is going to give me a gift for New Year's Eve, and I've never had one before, so I don't even know what I want.",,,,,,
rus_test_track_c_00032,"Only real people in the comments to the photo write: ""what is so tired?"", ""what is so sad?"", ""what is so sad?"" and so on. #pizdec",,,,,,
rus_test_track_c_00033,I don't know who can stop this bitch from fighting.,,,,,,
