id,text,anger,disgust,fear,joy,sadness,surprise
chn_train_track_a_00001,"The only thing that is known is that there are cases of positive cases, when closely contacted people were found, some people who had not done nucleic acid for a long time, were also found positive, could only be isolated, various dissatisfactions appeared in the process of isolation (blocking too long, poor materials, no subsidies, etc.), people started to sneak away, and people made up stories.",0,0,0,0,0,0
chn_train_track_a_00002,"The first time in a TV series that the camera is so intensely felt, the language of the camera, the script, the music, the acting are all online.",0,0,0,1,0,0
chn_train_track_a_00003,Now anything that goes on the Internet becomes unfortunate because there are so many people with cerebral palsy who always like to destroy all good things.,1,0,0,0,0,0
chn_train_track_a_00004,"If you could eat a bunch of your favorite things every night after you wake up, it would be nice to see a world gradually dominated by darkness, to have a sip of fried chicken, to have a sip of beer, to have a stomach full of stuff, to feel lonely, if all that doesn't work, it would be nice to see him.",0,0,0,1,0,0
chn_train_track_a_00005,"When I was four or five years old, I cried at home every day, ""I have to go to school, why don't you let me go to school?"" At that time, the countryside went to school late, and there were no strict age requirements, so I went to primary school before I was six years old.",0,0,0,0,0,0
chn_train_track_a_00006,"You can only say, ""Blame him, no one knows what's going on, but if there's a problem with humanity, there's a problem, there's no point in arguing, I'm not black"".",0,0,0,0,1,0
chn_train_track_a_00007,"Famous tourist cities, high-speed rail stations, two county-level cities with a population of 300,000, in the foothills of the mountains, the government's deficit of the previous years has been compensated, but now it's ruined.",0,0,0,0,0,0
chn_train_track_a_00008,"""We have seen the record of the previous trial, the case of the violent protest is nailed to the board, we expect a retrial, unless there is evidence of subversion, there must be evidence, we have already taken it out, do not tie individual athletes to patriotism, our country is not so low that it needs to rely on individual athletes to raise national pride, observe sports ethics, establish a good image of athletes, this is the basis for respect.",1,0,0,0,0,0
chn_train_track_a_00009,I'm the one with the talent.,1,0,0,0,0,0
chn_train_track_a_00010,"Believing that dreams are the source of value, believing that the eyes determine everything in the future, believing that the belief in success is more important than success itself, believing that there are setbacks in life, no failures, believing that the quality of life comes from the belief in never compromising.",0,0,0,1,0,0
chn_train_track_a_00011,"If there is a cover-up and distortion of the facts in the long article, deliberately misleading the public to gain sympathy, then its actions will be suspected of fraud, please close the account!",1,0,0,0,0,0
chn_train_track_a_00012,"This is the right way! If the Emperor wants to break the table, he will break it!",1,0,0,0,0,0
chn_train_track_a_00013,"Don't be rhythmic, you're clean, you're clean, every time you make him complicated, he's the one who gets scolded.",1,0,0,0,0,0
chn_train_track_a_00014,"Whatever the premise, his words are a blind speech, but this is the level of thought and business of a leading cadre, no matter what he is considering, no matter what his intentions are, this extremely rude speech is a true reflection of the fact that many officials today have no so-called people's service ideas, full of the mind of the official's own consciousness.",1,1,0,0,0,0
chn_train_track_a_00015,"You forget who you are, you're a dryer, you serve the people, you stay in your position, otherwise you go home and sell red roses.",1,0,0,0,0,0
chn_train_track_a_00016,"It's not that it doesn't hurt people, it's that it's a civil servant, it has no legal awareness, it says that detention deters others, what if it's a bigger official? Under even greater pressure?",1,1,0,0,0,0
chn_train_track_a_00017,"I suggest that women should study in Afghanistan, they should wear black robes, they should not show their origins, otherwise they will be injured and caught in the pigsty.",1,1,0,0,0,0
chn_train_track_a_00018,"Where is the meaning of all this, is the level of employment and salary in the county matched, and if so, how?",0,0,0,0,0,0
chn_train_track_a_00019,"There's too much intimidation, look at this analysis to wash away the tears, and after a while you'll see the results.",0,0,1,0,0,0
chn_train_track_a_00020,"There are only two cinemas in our county, and it's not the morning, it's the afternoon, it's the time to eat.",1,0,0,0,0,0
chn_train_track_a_00021,"So how much money did you give your honey? Don't move your mouth, act, just say it, record it, see how much your honey is worth.",1,1,0,0,0,0
chn_train_track_a_00022,"It's a sad fact that when I was a child, 120 people gathered at my grandmother's house, and it's always in the minds of our generation, and in ten years, the family of three will celebrate it themselves.",0,0,0,0,1,0
chn_train_track_a_00023,"Look, it's really angry, it's heartbreaking, they didn't destroy this city when it was their home.",1,0,0,0,1,0
chn_train_track_a_00024,"You're an advocate of murder, and you want your daughter to have a daughter like that in the future, and you're going to raise money for it.",1,0,0,0,0,0
chn_train_track_a_00025,"You deserve all the good things, just hope you get better and better.",0,0,0,1,0,0
chn_train_track_a_00026,"The reason for this is that if the high-risk areas are not cleared continuously for 14 to 21 days, there is still a risk, after all, some cases have been tested dozens of times for positive.",0,0,0,0,0,0
chn_train_track_a_00027,"There's no case where the green card has a star, the housing committee can open a certificate that we're also in a low-risk area, but if we go home, we'll be quarantined for seven days, so I'd like to ask if it's necessary to distinguish between high school and low-risk areas, is it okay to be a low-risk area?",1,0,0,0,0,0
chn_train_track_a_00028,"I've been in bed for a few days because I'm sick, I hardly look at my phone, I woke up, I found out that Guangzhou has been unsealed, and then I saw this article about the recovery of a 100-year-old man, I sent it to Weibo to show you, just now, I ran to the bathroom and shaved off my chin beard, the sea beard control started to accumulate beard, and I should shave it off.",0,0,0,0,0,0
chn_train_track_a_00029,"Have you seen the courtroom videos? How can it be changed because of this, pay more attention to what exactly happened, don't waste all kinds of resources, what are you struggling with?",1,0,0,0,0,0
chn_train_track_a_00030,"Re-trial of the procedure? Isn't the result a re-trial? Oh, did you finish eating the noodles? Did you donate points?",1,1,0,0,0,0
chn_train_track_a_00031,"Obviously, they threw the supplies everywhere and beat up our white volunteers, and demanded 200 subsidies per person, which is reasonable.",1,0,0,0,0,0
chn_train_track_a_00032,"It's so pathetic... to have money to drive a Mercedes, why don't you take it home with you?",1,0,0,0,1,1
chn_train_track_a_00033,"I thought the Red Bloggers were attacked and seriously injured, but they're not more famous?",1,0,0,0,0,1
chn_train_track_a_00034,"Walking through a pine forest, looking for a red leaf, a red leaf, a blessing, borrowing a red leaf to send you a thought?",0,0,0,1,0,0
chn_train_track_a_00035,"It's mainly because I couldn't defend myself, and the other day I was given a time-space companion with a yellow code, and today it was announced that it had been unsealed.",0,0,0,0,0,1
chn_train_track_a_00036,"Last year, the reconstruction after the disaster was really good! May the deceased rest in peace, the living be strong, thank you to all those who paid for this great earthquake!",0,0,0,1,1,0
chn_train_track_a_00037,"""If the subway and the office building still have to check for 72 hours, why reduce the number of nucleic acid checkpoints?",1,1,0,0,0,0
chn_train_track_a_00038,"""I love to say good night, as if the stars in the sky fell into a dream, shining only for me alone.""",0,0,0,1,0,0
chn_train_track_a_00039,"By the way, I'm also, the county house is about twelve thousand cheap, the center has more than twenty thousand, the suburbs have ten thousand, the movie tickets are more expensive than in the city.",0,0,0,0,0,0
chn_train_track_a_00040,"This is a complete misunderstanding of the system, 10,000 steps back, the staff who issued this notice of ""stop payroll"", which is also a staff member of the system, all stopped, all did not do, who was sent this notice?",0,0,0,0,0,0
