id,text,anger,disgust,fear,joy,sadness,surprise
esp_train_track_a_00001,"2018 and I keep listening to it Like if you too, I love you @<username> love terricola <unk>❤️",0,0,0,1,0,0
esp_train_track_a_00002,"It's not the waters, it's the haters' pen...satives or whatever.",0,1,0,0,0,0
esp_train_track_a_00003,"I'm already laughing, but yeah, yeah, that's a great video.",0,0,0,1,0,0
esp_train_track_a_00004,Where I put it where they are silly and disgusting and boring,1,1,0,0,0,0
esp_train_track_a_00005,"The rhythm is good, the lyrics are disgusting and who sings it even more ",0,1,0,0,0,0
esp_train_track_a_00006,"Beautiful, I don't stop listening to it. I've heard it a thousand times.",0,0,0,1,0,0
esp_train_track_a_00007,"If it's tomorrow and this reaches 100,000 million views I'm going crazy:VXD",0,0,0,0,0,1
esp_train_track_a_00008,I had never heard this... and now I regret it,0,1,0,0,1,1
esp_train_track_a_00009,I hate them and I won that,1,0,0,0,0,0
esp_train_track_a_00010,They're both amazing.,0,0,0,1,0,1
esp_train_track_a_00011,A total disrespect to change the anthem to another language,1,0,0,0,0,0
esp_train_track_a_00012,"You only know it's humor, right?",0,1,0,0,0,1
esp_train_track_a_00013,"Poor friend, he always pays for his brothers fault.",0,0,0,1,0,0
esp_train_track_a_00014,I thought I would take out a gun or something and kill him.,0,0,1,0,0,1
esp_train_track_a_00015,The mans sigh when he finishes talking scares me.,0,0,1,0,0,0
esp_train_track_a_00016,My mom would die if she saw a titanoboa that is afraid of snakes,0,0,1,0,0,0
esp_train_track_a_00017,Or by God 104 million views,0,0,0,0,0,1
esp_train_track_a_00018,Because the court didn't proceed against Benedetti. Who knows they're afraid of him?,1,0,0,0,0,1
esp_train_track_a_00019,These weyes are disgusting.,0,1,0,0,0,0
esp_train_track_a_00020,I can't believe it. I can't believe it. I can't believe it. I can't believe it.,0,0,0,0,0,1
esp_train_track_a_00021,Great news for the peace of Colombia and its victims.,0,0,0,1,0,0
esp_train_track_a_00022,I love your voice. I love you. Greetings to you.,0,0,0,1,0,0
esp_train_track_a_00023,Because they eat the little ones that are wild,1,1,0,0,1,0
esp_train_track_a_00024,I hate this happens to poor dogs. They are not to blame for anything.,1,0,0,0,1,0
esp_train_track_a_00025,I was shocked.,0,0,0,0,0,1
esp_train_track_a_00026,Love for a kiss is my favorite song,0,0,0,1,0,0
esp_train_track_a_00027,"Fucking murderer, now they're all in hell.",1,1,0,0,0,0
esp_train_track_a_00028,I dont know because this causes me nightmares.,0,0,1,0,0,0
esp_train_track_a_00029,What a disgusting video. I don't know if this can be called a song.,0,1,0,0,0,0
esp_train_track_a_00030,The <unk>username> are not bad you guys. You are very stupid,1,1,0,0,0,0
esp_train_track_a_00031,"You're absolutely right, the Spanish, those suits are both ugly and well-made.",1,1,0,0,0,0
esp_train_track_a_00032,My brother was freaking out.,0,0,0,0,0,1
esp_train_track_a_00033,Because no one wants Jorge Trujillo?,0,0,0,0,1,1
esp_train_track_a_00034,They don't deserve to be called human...,0,1,0,0,0,0
esp_train_track_a_00035,"I'm Spanish and I can't stand the cays, they make me sick!",0,1,0,0,0,0
esp_train_track_a_00036,Callense are really ugly with the @<username>,1,1,0,0,0,0
esp_train_track_a_00037,But stop pointing that gun at me.,0,0,1,0,0,0
esp_train_track_a_00038,@<username> for that damn joke that is tabas with soni I hate you,1,1,0,0,0,0
esp_train_track_a_00039,"When I clicked on like, I was afraid that a guy with a meme mask would show up...",0,0,1,0,0,0
esp_train_track_a_00040,Ayyy it can't be I loved you again,0,0,0,1,0,1
esp_train_track_a_00041,They don't promote any of that. That's in the troubled heads of feminists.,1,1,0,0,0,0
esp_train_track_a_00042,I love the roas can greet me in the next video as a leaping flower♥♥,0,0,0,1,0,0
esp_train_track_a_00043,Why does God take away the good YouTubers and not the ones who make junk content like the struggle communicates,0,1,0,0,1,0
esp_train_track_a_00044,I like what I ordered so far.,0,0,0,1,0,0
esp_train_track_a_00045,What a disappointment the train is.,0,1,0,0,1,0
esp_train_track_a_00046,Those who criticize him are crazy and withdrawn.,1,1,0,0,0,0
esp_train_track_a_00047,Aeme don't say anything about the @<username> please okay? I don't know mess with them!!,1,1,0,0,0,0
esp_train_track_a_00048,"We, who else is going to destroy a planet the same way we're doing it now.",1,1,0,0,1,1
esp_train_track_a_00049,"But I'm afraid someone will say, ""You already know"", and I'll say,",0,0,1,0,0,0
esp_train_track_a_00050,I would continue to suffer without you,0,0,0,1,0,0
esp_train_track_a_00051,"I was studying for my math exam, I really enjoyed the video, I finally understood it!",0,0,0,1,0,1
esp_train_track_a_00052,I'm also very afraid of spiders and cockroaches.,0,0,1,0,0,0
esp_train_track_a_00053,@username is a fool the @username not the @username are the maximum aeme stinks,1,1,0,0,0,0
esp_train_track_a_00054,"Alv, were there any theories?",0,0,1,0,0,1
esp_train_track_a_00055,It's a shame that I'm washing Bukele's face.,1,0,0,0,1,0
esp_train_track_a_00056,That paper house or nothing this is the best series ❤️,0,0,0,1,0,1
esp_train_track_a_00057,I love your cansion. It was great. I'm your fan.,0,0,0,1,0,0
esp_train_track_a_00058,I don't think... in less than a year prescribes... once again loses justice <unk>,1,1,0,0,0,0
esp_train_track_a_00059,That's what the @username invited you to the Polynesia tour. I hate them.,1,0,0,0,0,0
esp_train_track_a_00060,I love them.,1,0,0,0,0,0
esp_train_track_a_00061,You pinch damn people like if you want them to treat the dogs of abuse like puppies they don't defend themselves,1,0,0,0,0,0
esp_train_track_a_00062,They don't laugh anymore. Now they feel sorry for me. I'm not funny anymore.,0,1,0,0,1,0
esp_train_track_a_00063,That was cute! I loved it!!❤❤,0,0,0,1,0,0
esp_train_track_a_00064,They are stupid. The @<username> are better,1,1,0,0,0,0
esp_train_track_a_00065,That happens when there are no laws and corruption prevails.,1,1,0,0,0,0
esp_train_track_a_00066,That guy is a danger.,1,1,1,0,0,0
esp_train_track_a_00067,It's a little scary Jjajaja XD,0,0,1,1,0,0
esp_train_track_a_00068,I'm not afraid. I'm not making fun of you. It's true.,0,0,1,0,0,0
esp_train_track_a_00069,"For the second chapter, I love the video.",0,0,0,1,0,0
esp_train_track_a_00070,If I laughed at the dance you did ,0,0,0,1,0,0
esp_train_track_a_00071,This should be considered as a betrayal of the entire population.,1,1,0,0,0,0
esp_train_track_a_00072,What a disgusting truth.,1,1,0,0,0,0
esp_train_track_a_00073,Dreams come true. What are you doing?,0,0,0,1,0,0
esp_train_track_a_00074,I really liked it.,0,0,0,1,0,0
esp_train_track_a_00075,It made me cry because I identify with the chanson.,0,0,0,0,1,0
esp_train_track_a_00076,What a pity I'm going to cry.,0,0,0,0,1,0
esp_train_track_a_00077,"It was hard for me to realize that I didn't realize that, I had to realize.. 😂",0,0,0,1,0,1
esp_train_track_a_00078,"mmm what a bad wave, now there were at least 10 dead gringos. sorry!!",1,1,0,0,0,0
esp_train_track_a_00079,"What a horrible song. You can tell they have nothing to do, you pigs.",1,1,0,0,0,0
esp_train_track_a_00080,Just what I was looking for. I have an exam on Thursday. I pass.,0,0,0,1,0,0
esp_train_track_a_00081,This is from the puctas video. I'm dying of laughter.,0,0,0,1,0,0
esp_train_track_a_00082,"The best candidate we had, pity the stupid populist society we live in.",1,1,0,0,0,0
