id,text,anger,disgust,fear,joy,sadness,surprise
esp_test_track_c_00001,Cerdos ojetes and pndjs,,,,,,
esp_test_track_c_00002,Ha ha ha. There's a cage.,,,,,,
esp_test_track_c_00003,This video deserves a like. Good video.,,,,,,
esp_test_track_c_00004,I unsubscribe from your channel. You broke my dream. I thought so.,,,,,,
esp_test_track_c_00005,The truth is the @username @username give me disgust I hope they leave Youtube,,,,,,
esp_test_track_c_00006,"Rest in peace, little one.",,,,,,
esp_test_track_c_00007,Hypocritical.. but Christian canceled the contract and the commercial didn't come out,,,,,,
esp_test_track_c_00008,It gives me chills.,,,,,,
esp_test_track_c_00009,Very good # I'm Amara who's cute,,,,,,
esp_test_track_c_00010,How stupid the Nazis are.,,,,,,
esp_test_track_c_00011,You can't hate Daddy Yankee's. Shaky hates me and not that music.,,,,,,
esp_test_track_c_00012,Terminator felt the real terror,,,,,,
esp_test_track_c_00013,"Ten, I'm going there.",,,,,,
esp_test_track_c_00014,He said they found strange things.,,,,,,
esp_test_track_c_00015,A kk @<username> is trash,,,,,,
esp_test_track_c_00016,You're weak. Go on like this.,,,,,,
esp_test_track_c_00017,It made me cry :(,,,,,,
esp_test_track_c_00018,AJAJJAJA This is good news BROO EXITOS,,,,,,
esp_test_track_c_00019,Five years of morals of corruption and abandonment,,,,,,
esp_test_track_c_00020,Ay <unk>username> we miss you <unk>,,,,,,
esp_test_track_c_00021,Yolo enchants Mariana enchants for a Marian kiss,,,,,,
esp_test_track_c_00022,It's amazing what humans can do.,,,,,,
esp_test_track_c_00023,I think I'm falling in love with you.,,,,,,
esp_test_track_c_00024,That he is a hypocrite and he already forgot that he announced it,,,,,,
esp_test_track_c_00025,Hater are trash.,,,,,,
esp_test_track_c_00026,I miss that Kim.,,,,,,
esp_test_track_c_00027,Whasigton back with the shopping?,,,,,,
esp_test_track_c_00028,I can't take it anymore. They've been framed.,,,,,,
esp_test_track_c_00029,"Patron Kima, but you forgot her and they're her parents.",,,,,,
esp_test_track_c_00030,"Those ""things"" (because they can be called ""people"") don't deserve to live.",,,,,,
esp_test_track_c_00031,I love your videos.,,,,,,
esp_test_track_c_00032,Over a hundred million views wow,,,,,,
esp_test_track_c_00033,They're recording at the Queens House.,,,,,,
esp_test_track_c_00034,Lemonade? What a hangover,,,,,,
esp_test_track_c_00035,"Wooow, I was surprised.",,,,,,
esp_test_track_c_00036,Quick reaction from the police what they didn't do in Texas to save the life of so many innocent children,,,,,,
esp_test_track_c_00037,I am very bad at math.,,,,,,
esp_test_track_c_00038,An influencer who makes a difference,,,,,,
esp_test_track_c_00039,Because that's how the damn people hate her.,,,,,,
esp_test_track_c_00040,"Wow, how they knocked me down.",,,,,,
esp_test_track_c_00041,Today I won't sleep with my heart broken,,,,,,
esp_test_track_c_00042,Where are the kids who wanted to be doctors? Now they all want to be like those lazy @username,,,,,,
esp_test_track_c_00043,It's that it's @<username> obvious they won't want it doesn't suit them <unk>,,,,,,
esp_test_track_c_00044,Those are great women.,,,,,,
esp_test_track_c_00045,"Jajaja, learn to sing, get dressed. I couldn't do it with that.",,,,,,
esp_test_track_c_00046,Pure lies. No one can get there... clowns.,,,,,,
esp_test_track_c_00047,The municipal kennels are the worst. They're killers of adorable dogs. They should cancel that job.,,,,,,
esp_test_track_c_00048,I said the reality is cool the fashion of the 4T 😂😂😂,,,,,,
esp_test_track_c_00049,Since when do you collaborate with shitty people?,,,,,,
esp_test_track_c_00050,"shitty shit, vomitful garbage",,,,,,
esp_test_track_c_00051,I can't believe it,,,,,,
esp_test_track_c_00052,"Poor, they are helpless animals who deserve to live, not die to satisfy our hunger, poor suffer",,,,,,
esp_test_track_c_00053,It's better than getting vaccinated. I hope you're okay. You've got three years to hold on.,,,,,,
esp_test_track_c_00054,I am going to die of sadness.,,,,,,
esp_test_track_c_00055,Hajaja to Mark Suckerberg as the reptilian illuminati that he is!!! 😂 Hajajaja ️‍‍️️,,,,,,
esp_test_track_c_00056,It's a cancion cringe.,,,,,,
esp_test_track_c_00057,"Juan Carlos, thank you very much.",,,,,,
esp_test_track_c_00058,Dirty clothes are washed at home.,,,,,,
esp_test_track_c_00059,Liars who dont know what to do anymore.,,,,,,
esp_test_track_c_00060,Great video going on bro,,,,,,
esp_test_track_c_00061,I hate the Nazis.,,,,,,
esp_test_track_c_00062,*Damn people how can they have that job*,,,,,,
esp_test_track_c_00063,In two weeks you made another million. I can't believe it.,,,,,,
esp_test_track_c_00064,Jejejeje I have bought in temu and very legal with what they sell!,,,,,,
esp_test_track_c_00065,I don't like the churudo.,,,,,,
esp_test_track_c_00066,But he is right!,,,,,,
esp_test_track_c_00067,This was extreme.,,,,,,
esp_test_track_c_00068,They're not worth it anymore.,,,,,,
esp_test_track_c_00069,That place conveys a lot of sadness to me:,,,,,,
esp_test_track_c_00070,"Very nice song. Congratulations to you, Yolorian.",,,,,,
esp_test_track_c_00071,"My future president, nothing more to say, prepared on every subject, his own judgment and questioning absolutely his entire environment.",,,,,,
esp_test_track_c_00072,That movie disturbed me.,,,,,,
