id,text,anger,disgust,fear,joy,sadness,surprise
amh_train_track_a_00001,"you will not learn to be idle, you will be like a wild beast.",1,1,0,0,0,0
amh_train_track_a_00002,"I hope you passed the death of Dr. Israel's shadow in silence because he is an official, how long will the silence last, we are seeing the innocent, the rich and the murderer, the murderer, the promoter of the animal system, the new emperor, if you do not rise now, the dragon is standing at the door of your house, if you do not rise, we are spreading rumors to spread the salt system to destroy the orthodoxy, the true and the Muslim.",1,1,0,0,0,0
amh_train_track_a_00003,"And because they made him eat only once a day so that the work of the people of Addis Ababa, who love him very much and care about him very much, would not be solved.",0,0,0,0,0,0
amh_train_track_a_00004,"Etv racist nachuhu ashkabach how many of our fathers were martyrs of the badira and now they are burning their country with this new badira for the time being there is no problem but,?",1,1,0,0,0,0
amh_train_track_a_00005,"Today's chicken is different, I'd like you to tell me that you're a beginner.",0,1,0,1,0,0
amh_train_track_a_00006,I've lost my style now.,1,1,0,0,0,0
amh_train_track_a_00007,Nebiyu Mussse is afraid of being hit by the wild boar,0,1,0,0,0,0
amh_train_track_a_00008,Don't get lost in the midst of our attacks because the conflict seems to be over with Hamas!!!,1,1,0,0,0,0
amh_train_track_a_00009,He suffers more than anything else,0,0,0,0,1,0
amh_train_track_a_00010,"peace is better for us, let the sea close its doors, and let us touch it and face war with eritrea.",0,1,1,0,0,0
amh_train_track_a_00011,"If the federal government is reformed, its name is prosperity, the governor is the port, if the whole is not prosperity in every region, they say, ""No, it's not"", they say, ""The constitution is reformed"", they say, ""It's not for you in parliament"", they say, ""This is for me"", that's why they say, ""If you vote for a good parliament, you should be elected, if you have a parliament, if you have a parliament"".",1,1,0,0,0,0
amh_train_track_a_00012,Is there such a thing as unity?,0,0,0,1,0,0
amh_train_track_a_00013,Ethiopia is about to be overrun by the public with an unexpected speech and warning! via,0,0,0,0,0,0
amh_train_track_a_00014,One thousand four hundred people are said to have starved to death following the suspension of aid to Tigray,0,0,0,0,1,0
amh_train_track_a_00015,"It is good to leave a record, not just the name",0,0,0,0,0,0
amh_train_track_a_00016,"oh, what a cruel cruelty, i've never heard such a sad story, but my sister, may god give you life and health, your life will be changed with joy. hold on. and that cruel one will get his judgment in the court of law.",0,0,0,0,1,0
amh_train_track_a_00017,This abominable act is repeatedly seen in Ethiopia and this shows you the lack of government lawlessness has reigned this beast does not do it very sad you Ethiopians especially in TikTok you are shouting for fame and profit we have not heard a single day about this you say that you are religious,1,1,0,0,1,0
amh_train_track_a_00018,When the damage you've done in the past comes at you now,0,0,0,0,0,0
amh_train_track_a_00019,"the law is only because they are eritreans that ethiopians are committing more heinous and heinous crimes than this, isn't it? yes, beyond theft, the theft is accompanied by murder, isn't it? the act is getting worse, why is the judgment of ethiopians and eritreans different? oh god, where did christ go wrong?",1,1,0,0,0,0
amh_train_track_a_00020,let's put the imprisoned citizens of Saudi Arabia in a flood and take you to a name seeker,1,1,0,0,0,0
amh_train_track_a_00021,I think I'm joking. We've been through so much to get here.,0,0,0,0,1,0
amh_train_track_a_00022,"When we're cared for by men, we have a different kind of pleasant feeling, and when we're cared for and cared for by women, we have a different kind of bad feeling and inferiority, especially women.",0,0,0,0,0,0
amh_train_track_a_00023,illegal house construction will be demolished today and tomorrow will be demolished garbage facility for lies and for your nation when you start you can't bet on the truth Oromia this institution does not represent Ethiopia but Amhara,1,1,0,0,0,0
amh_train_track_a_00024,"Yes, this kind of heinous injustice is only for history, and we will punish it so that it can be questioned.",1,0,0,0,1,0
amh_train_track_a_00025,"It's very sad, the story is heartbreaking",0,0,0,0,1,0
amh_train_track_a_00026,it's sad how they hire this as the leader of amara and how they despise the people,0,1,0,0,1,0
amh_train_track_a_00027,"It is necessary to bring this crisis, this madman and madman, from the government to the prison, to the law, from crisis to crisis, from war to war.",1,1,0,0,0,0
amh_train_track_a_00028,"You can't buy anything from a poet, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend, you can't buy anything from a friend.",1,0,0,0,1,0
amh_train_track_a_00029,"The words of the preacher, the son of david, who reigned in jerusalem: ""vanity, vanity, vanity, vanity, all is vanity. what profit is there to man in all his toil under the sun? a generation goes by, and a generation comes, and the earth remains forever. the sun rises and sets, and returns to its place.",0,0,0,0,0,0
amh_train_track_a_00030,"And her father, America, has been invading and oppressing Afghanistan for years, and finally throwing tanks and guns at us, and Israel, which has fled, is facing a worse defeat than this, because no one has ever won a war against the people.",1,0,0,0,0,0
amh_train_track_a_00031,"She was a spokesperson for the extremist ideology, and that's what you are.",0,1,0,0,0,0
amh_train_track_a_00032,It's a hateful thing to say.,0,1,0,0,0,0
amh_train_track_a_00033,"Ethiopian media first blamed Israel for the atrocities it had committed against the Palestinians, but now they blame it for the attacks on Israel.",1,1,0,0,0,0
amh_train_track_a_00034,"Friday, the day of love, Lord, for the love of human beings, for the blood you shed on Friday, for the blood you shed on Friday, please forgive us.",0,0,0,0,1,0
amh_train_track_a_00035,I'm not going to let you do that to me.,0,0,0,0,0,0
amh_train_track_a_00036,"Why did the Oromo government want to hit the Amhara? In connection with the death of Mr. Shitla, the Joint Task Force for Security and Security recently",0,1,0,0,0,0
amh_train_track_a_00037,Your tempting bosses are kissing the feet of the monkey.,0,1,0,0,0,0
amh_train_track_a_00038,"We remember the favor of the one who stole our sea, so you say it's the favor of the one, and our wicked enemy, you, the one who gave the Ethiopian sea to the country, is in a difficult situation, suddenly the unprotected thing is awakened from the seams, this is the favor that you say to the power of Isaiah, the Tigris, you may have been a thief.",1,1,0,0,0,0
amh_train_track_a_00039,"This interview will make me forget the pain of five years, I have some hope, show me the catapult.",0,0,0,1,0,0
amh_train_track_a_00040,How many millions of deaths and displacement does it teach you?,1,0,0,0,1,0
amh_train_track_a_00041,The man will rally the country's enemies because Egypt wants to take advantage of this opportunity.,0,0,0,0,0,0
amh_train_track_a_00042,African Cup winners rewarded with money and a villa,0,0,0,1,0,0
amh_train_track_a_00043,"Before calling a person a bandit, hold a proper study and information meeting. If you do not have the ability to understand Ethiopian politics, avoid emotional decisions and raise your voice.",1,0,0,0,0,0
amh_train_track_a_00044,"we should strongly oppose ghash abiy ahmed, who is a fan of terrorist terrorism!",0,1,0,0,0,0
amh_train_track_a_00045,This confusion caused the missing Planck to die.,0,1,0,0,0,0
amh_train_track_a_00046,13 children died in food shortages in Tigray: Aider Hospital,0,0,0,0,1,0
amh_train_track_a_00047,"It would have been nice if I hadn't started this drama, I know they're going to die, but I'm starting to see it.",0,0,0,0,1,0
amh_train_track_a_00048,"Let us daily renew ourselves in repentance that the coming of the Lord is nearer than ever, and let us prepare ourselves that death may come suddenly and take us away, so that by believing in Him we may enter into eternal life from eternal death, not by believing in Christ but by doing good works.",0,0,0,0,0,0
amh_train_track_a_00049,"It's very good to help others, it's a great show, it's very good.",0,0,0,1,0,0
amh_train_track_a_00050,"Now, if you don't have a stomach like that, no one will fall for you. You're still breaking the barrier of the country's exit, says the Satanic government of the children of Gine.",1,1,0,0,0,0
amh_train_track_a_00051,It was because of the abandonment of Janhoy Shem's country that he left his family in England and paid the price for creating Ethiopia in his time.,1,1,0,0,0,0
amh_train_track_a_00052,"When the government was criticized for the harvest season that prosperity brought through the father, the prayer for peace in Sudan was rejected by the government.",1,0,0,0,0,0
amh_train_track_a_00053,What is a slave? Is a person who is not contaminated by racism a slave to you? Is a slave who is proud of Ethiopia? The man is awake!,1,0,0,0,0,0
