id,text,anger,disgust,fear,joy,sadness,surprise
rus_dev_track_c_00001,It's perverted to listen to Russian rap without headphones.,0,1,0,0,0,0
rus_dev_track_c_00002,"What are you doing, motherfucker?!",1,0,0,0,0,1
rus_dev_track_c_00003,"Oh, my gosh.",0,0,0,0,0,1
rus_dev_track_c_00004,"After that, I feel like I'm not going to have a boyfriend anymore, because it's disgusting.",0,1,0,0,0,0
rus_dev_track_c_00005,My stomach hurts.,0,0,0,0,1,0
rus_dev_track_c_00006,My dream is repeating itself.,0,0,1,0,0,0
rus_dev_track_c_00007,Satisfied to the bone,0,0,0,1,0,0
rus_dev_track_c_00008,"The weather's a bitch, too. The mood's a bitch. Fuck, the cigarettes are gone.",1,0,0,0,0,0
rus_dev_track_c_00009,"I'm not even worried about the calories, but in shock that I ate so many of them.",0,0,0,0,0,1
rus_dev_track_c_00010,"We're having such a boring walk, my head hurts.",0,0,0,0,1,0
rus_dev_track_c_00011,I'm afraid of what people might say about me.,0,0,1,0,0,0
rus_dev_track_c_00012,Some asshole's going to scratch us.,1,0,0,0,0,0
rus_dev_track_c_00013,The past is what agrees with the records and the memories.,0,0,0,0,0,0
rus_dev_track_c_00014,"If you want to communicate for free, we offer you to download Skype in Russian.",0,0,0,0,0,0
rus_dev_track_c_00015,Fuck the security!!!!,0,0,0,0,0,1
rus_dev_track_c_00016,It scares me a little bit... what it could lead to...,0,0,1,0,0,0
rus_dev_track_c_00017,I'm afraid to live in my own city.,0,0,1,0,0,0
rus_dev_track_c_00018,"The feeling when you had a hard time (just awesome!!) getting up at 6 in the morning, dragged yourself to the training and... and finished them already! #freedom",0,0,0,1,0,0
rus_dev_track_c_00019,I wonder why now.,0,0,0,0,0,1
rus_dev_track_c_00020,"I've done all the math, now I can take a break.",0,0,0,1,0,0
rus_dev_track_c_00021,"I remember in high school, the girls were smoking in the bathroom, and I was so disgusted, I don't know why.",0,1,0,0,0,0
rus_dev_track_c_00022,"I'm calling the dog to sleep, he's not coming. I: Well, you broke my heart. Brother: You broke her heart a long time ago.",0,0,0,0,1,0
rus_dev_track_c_00023,"I'm tired of this attitude towards me, I even hate it.",0,1,0,0,0,0
rus_dev_track_c_00024,I haven't been released from work this early on a Friday in a long time.,0,0,0,1,0,0
rus_dev_track_c_00025,We'll have to try again in two or three hours.,0,0,0,0,0,0
rus_dev_track_c_00026,I feel like shit.,0,1,0,0,1,0
rus_dev_track_c_00027,"At 3:13 a.m., it's time to walk the dog, fuck.",1,0,0,0,0,0
rus_dev_track_c_00028,"I am surprised at myself, yesterday I did all the lessons, and today I left only English.",0,0,0,0,0,1
rus_dev_track_c_00029,I'm scared now.,0,0,1,0,0,0
rus_dev_track_c_00030,"Aaaah, it was amazing!!! The concert lasted 2.5 hours! They came out on the bis times 4) unreal emotions!",0,0,0,1,0,0
rus_dev_track_c_00031,"Two idiots, they've set up a circus, so there's no mood, so you're making it worse.",1,0,0,0,1,0
rus_dev_track_c_00032,"I hate people who get fucked off because they don't smoke, they don't smoke, they don't have babies.",1,1,0,0,0,0
rus_dev_track_c_00033,I'm playing GTA Online on the server samp.rp. My nickname is Slava_Ramires.,0,0,0,0,0,0
rus_dev_track_c_00034,"Only five more shots, and I can't take it anymore.",0,0,0,0,1,0
rus_dev_track_c_00035,"We were working on the project today, but we didn't finish it, and we're still only going to hand it over on March 6.",0,0,0,0,1,0
rus_dev_track_c_00036,"Oh, my God. What is it?",0,0,0,0,0,1
rus_dev_track_c_00037,"Every joke has a part of it, the rest is true.",0,0,0,0,0,0
rus_dev_track_c_00038,Really?,0,0,0,0,0,1
rus_dev_track_c_00039,How the fuck do they always do it?,1,0,0,0,0,0
rus_dev_track_c_00040,It's the stupidest day in the world: I haven't found a stupider one yet.. ah fuck fucking Monday!!,1,0,0,0,0,0
rus_dev_track_c_00041,"And my nephew was born!! Egor, 2700 grams!! Born on November 30, 2013!!)))))))",0,0,0,1,0,0
rus_dev_track_c_00042,I have so many negative emotions that I feel like I'm going to get fucked one day and blow up in my motherfucking face.,1,0,0,0,0,0
rus_dev_track_c_00043,I can go through them endlessly.,0,0,0,0,0,0
rus_dev_track_c_00044,I'm shaking with fear.,0,0,1,0,0,0
rus_dev_track_c_00045,Fucking makets,1,0,0,0,0,0
rus_dev_track_c_00046,"I'm jealous of you, too, but I don't have time to go.",0,0,0,0,1,0
rus_dev_track_c_00047,LEAVEA 15 PREDEDECT!! URAAAA)))) DINI LEOVEA is happy with her ^.^,0,0,0,1,0,0
rus_dev_track_c_00048,I'm afraid to finish school.,0,0,1,0,0,0
rus_dev_track_c_00049,"Write down all your complaints about me on a piece of paper, make a plane and go to hell.",1,0,0,0,0,0
rus_dev_track_c_00050,My grandmother used to tell me that vanity is a sin.,0,0,0,0,0,1
rus_dev_track_c_00051,"Lenul, I think it'll pass, but it's not going to make it any easier for you now, I understand.",0,0,0,0,1,0
rus_dev_track_c_00052,"I corrected 2 and 3 in a quarter, and ended up with 3 triples.",0,0,0,1,0,0
rus_dev_track_c_00053,For what?,0,0,0,0,0,1
rus_dev_track_c_00054,"Instead of a mirror, I use a TV that's 50 years old.",0,0,0,0,0,0
rus_dev_track_c_00055,I didn 't expect to write a six-monthly for four.,0,0,0,1,0,1
rus_dev_track_c_00056,Gifts from Kazan:))) #can't show,0,0,0,1,0,0
rus_dev_track_c_00057,What the fuck!!!,1,0,0,0,0,0
rus_dev_track_c_00058,"If you want to be open to any polarities, such as good and evil, you need to acquire the skill to find both extreme points of view and the desire to understand them.",0,0,0,0,0,0
rus_dev_track_c_00059,"Remember, your mother is always waiting for you at home.",0,0,0,0,0,0
rus_dev_track_c_00060,The law is the same for everyone.,0,0,0,0,0,0
rus_dev_track_c_00061,The morning was a mess.,1,0,0,0,0,0
rus_dev_track_c_00062,"The morning subway is like a nightclub, everyone's groping each other.",1,1,0,0,0,0
rus_dev_track_c_00063,"You can be a prophet in your own country, but you must have a foreign passport.",0,0,0,0,0,0
rus_dev_track_c_00064,What's the other one?,0,0,0,0,0,1
rus_dev_track_c_00065,I 'll sit for ten more minutes and then I 'll go.,0,0,0,0,0,0
rus_dev_track_c_00066,I'm afraid to even leave the house now.,0,0,1,0,0,0
rus_dev_track_c_00067,"I got sick on the hike, my pipes are bad.",0,0,0,0,1,0
rus_dev_track_c_00068,I'm going to work tomorrow. I don 't feel well.,0,0,0,0,1,0
rus_dev_track_c_00069,They fucked up the attacks.,1,0,0,0,0,0
rus_dev_track_c_00070,Ask.ru is a site where you're either being bullied anonymously or asked fucking questions.,1,0,0,0,1,0
rus_dev_track_c_00071,I'm afraid to say goodbye,0,0,1,0,0,0
rus_dev_track_c_00072,"First-grader: Oh, look, the first snow! Oh, how cool! Senior: Oh, look, the first snow! Oh, how cool...",0,0,0,1,0,0
rus_dev_track_c_00073,"I am very pleased to vote for my beloved, incomparable Nargis, she must win, because she is the most worthy...",0,0,0,1,0,0
rus_dev_track_c_00074,"It's all bad, I have a year left.",0,0,0,0,1,0
rus_dev_track_c_00075,"""Shiit, this song is so uplifting.""",0,0,0,1,0,0
rus_dev_track_c_00076,The database of user groups is stored in the etc/group file.,0,0,0,0,0,0
rus_dev_track_c_00077,It's disgusting to hear a nasty comment at the end of a story on your favorite topic.,1,1,0,0,0,0
rus_dev_track_c_00078,"After all, it is not only the frequency of posts that helps to develop the blog.",0,0,0,0,0,0
rus_dev_track_c_00079,"Of course, we have to tell the story of the rooster last year.",0,0,0,0,0,0
rus_dev_track_c_00080,Agutin is an old gray badger!!!,1,0,0,0,0,0
rus_dev_track_c_00081,I 'll find your card anyway.,0,0,0,0,0,0
rus_dev_track_c_00082,Your behavior and attitude towards me is killing me!,1,0,0,0,0,1
rus_dev_track_c_00083,Twitter will be able to edit posts,0,0,0,0,0,0
rus_dev_track_c_00084,"I'll watch it every day now, but alas, at night.",0,0,0,0,1,0
rus_dev_track_c_00085,I'm surprised Ford hasn't retired.,0,0,0,0,0,1
rus_dev_track_c_00086,"And so the mood is bad, so is this 3 hours of drunkenness in a row (and I'm not exaggerating, the 3 hours of drunkenness go on).",1,0,0,0,1,0
rus_dev_track_c_00087,"In London, a theater collapsed, killing 88 people.",0,0,0,0,1,0
rus_dev_track_c_00088,"Not life, but shit!!!",1,0,0,0,0,0
rus_dev_track_c_00089,"I'm going to die of illness. I got better two weeks ago, and I'm sick again.",0,0,0,1,1,0
rus_dev_track_c_00090,It's a great walk.,0,0,0,1,0,0
rus_dev_track_c_00091,"Thanks, I thought the algebra would be worse.",0,0,0,1,0,1
rus_dev_track_c_00092,I danced with an eleven-year-old boy who was so drunk.,0,1,0,0,0,0
rus_dev_track_c_00093,We always know exactly how to work with others.,0,0,0,0,0,0
rus_dev_track_c_00094,Compositions - fucked up,1,0,0,0,0,0
rus_dev_track_c_00095,All the statuses are now for you.,0,0,0,0,0,0
rus_dev_track_c_00096,It's all very bad.,0,0,0,0,1,0
rus_dev_track_c_00097,Who's that over there?,0,0,0,0,0,1
rus_dev_track_c_00098,I was so scared. Fufufu.,0,0,1,0,0,0
rus_dev_track_c_00099,"This play, apart from disgusting, does not excite me.",0,1,0,0,0,0
rus_dev_track_c_00100,You fucking idiot.,1,0,0,0,0,0
rus_dev_track_c_00101,"""I'm afraid to live in my own town.",0,0,1,0,0,0
rus_dev_track_c_00102,I'm afraid to leave my house.,0,0,1,0,0,0
rus_dev_track_c_00103,I miss you so much. I'm so lonely.,0,0,0,0,1,0
rus_dev_track_c_00104,It's getting scary.,0,0,1,0,0,0
rus_dev_track_c_00105,"""Let this fucking year go to waste and the bitch is never mentioned anywhere.""",1,0,0,0,0,0
rus_dev_track_c_00106,The McDonald's clerk stuffed a shirt into his pants and looked indecent.,0,1,0,0,0,0
rus_dev_track_c_00107,Me and punctuality are not synonymous.,0,0,0,0,0,0
rus_dev_track_c_00108,It is a shame when a man has high beliefs in his words and low deeds in his actions.,0,1,0,0,0,0
rus_dev_track_c_00109,"In fact, Dasha decided to save a little... the result was an uneven color on her hair, which I had been trying to achieve for so long.",0,0,0,0,1,0
rus_dev_track_c_00110,"Every day I feel the approach of exams more and more, and I get very scared.",0,0,1,0,0,0
rus_dev_track_c_00111,I've got a spider under my bed. I can't sleep anymore.,0,0,1,0,0,0
rus_dev_track_c_00112,"You do good to people, they don't appreciate it.",0,0,0,0,1,0
rus_dev_track_c_00113,You've already done something Georgian. #day #killVitaly #MaybeI have a spring,1,1,0,0,0,0
rus_dev_track_c_00114,How the fuck did it happen!!!,1,0,0,0,0,0
rus_dev_track_c_00115,Fucking film.,1,0,0,0,0,0
rus_dev_track_c_00116,I have a clock in school today and I don't give it back!!! I'm very sorry for them (((( give them back to me,1,0,0,0,1,0
rus_dev_track_c_00117,"Yes, I did it! Mom is leaving!",0,0,0,1,0,0
rus_dev_track_c_00118,"Nargis is just a bomb, but I have favorites. They'll be back.",0,0,0,1,0,0
rus_dev_track_c_00119,That's how we were trained.,0,0,0,0,0,0
rus_dev_track_c_00120,A new chapter in your favorite fanfic. Life is beautiful!,0,0,0,1,0,0
rus_dev_track_c_00121,Today's grades are scary to me.,0,0,1,0,0,0
rus_dev_track_c_00122,"With this rule, we will learn how to manipulate a man with words.",0,0,0,0,0,0
rus_dev_track_c_00123,"And right, don't be afraid, I don't know how to support you, but everything will be fine, don't rush yourself into a depression because of the session.",0,0,0,0,1,0
rus_dev_track_c_00124,Go to hell in 2014.,1,0,0,0,0,0
rus_dev_track_c_00125,I feel disgusted at the thought of my selfishness.,0,1,0,0,1,0
rus_dev_track_c_00126,Attempting to install VLC was a failure.,0,0,0,0,1,0
rus_dev_track_c_00127,It's really scary... God forbid you see something bad about your loved ones.,0,0,1,0,0,0
rus_dev_track_c_00128,"I can't pay for the premiums in tanks, they fucked up their revolutions.",1,0,0,0,0,0
rus_dev_track_c_00129,"I couldn't make it to 10pm, two hours of sleep is disgusting, I feel broken.",0,1,0,0,1,0
rus_dev_track_c_00130,Download opera for free in Russian on your phone,0,0,0,0,0,0
rus_dev_track_c_00131,Why are you so tight?,1,0,0,0,0,0
rus_dev_track_c_00132,"I met a guy in April and we're dating, and in July he's leaving forever.",0,0,0,0,1,0
rus_dev_track_c_00133,I'm not the only one.,0,0,0,1,0,0
rus_dev_track_c_00134,"I'm going to court, it's scary, to be honest, but otherwise, I feel like I'm going to be less respected.",0,0,1,0,0,0
rus_dev_track_c_00135,The last week of school at the university.,0,0,0,1,0,0
rus_dev_track_c_00136,"Yeah, I'm surprised too.",0,0,0,0,0,1
rus_dev_track_c_00137,We'll write a literary essay tomorrow. Your hands are shaking right now. Good luck.,0,0,1,0,0,0
rus_dev_track_c_00138,I've been sick for two days.,0,1,0,0,0,0
rus_dev_track_c_00139,What a lazy guy!!,0,0,0,1,0,0
rus_dev_track_c_00140,I don 't know how long they were.,0,0,0,0,0,1
rus_dev_track_c_00141,How can you be such a goat?,1,0,0,0,0,1
rus_dev_track_c_00142,"Hey, who is it?",0,0,0,0,0,1
rus_dev_track_c_00143,I'm going to call you back.,0,0,0,1,0,0
rus_dev_track_c_00144,"People, never make the same passwords for everything.",0,0,0,0,0,0
rus_dev_track_c_00145,"Shit, tomorrow at the military headquarters.",0,0,0,0,1,0
rus_dev_track_c_00146,The cherry blossoms are the color of rotting corpses.,0,1,0,0,0,0
rus_dev_track_c_00147,On the street +11 Omg,0,0,0,0,0,1
rus_dev_track_c_00148,"I want to eat, and the chicken in the oven and the potatoes too.",0,0,0,0,1,0
rus_dev_track_c_00149,You can go to class now.,0,0,0,0,0,0
rus_dev_track_c_00150,"Yesterday I saw a dirty old man in the subway with a dirty dog, and at some point the dog started howling loudly.",0,1,0,0,1,0
rus_dev_track_c_00151,"""There's an accident in front of my tram, passengers have been dropped off, I'm walking!"" - ""Pipec, accident, home!""",1,0,0,0,0,0
rus_dev_track_c_00152,My knee hurts so much.,0,0,0,0,1,0
rus_dev_track_c_00153,"I've given up all my courses and grades. #Lightness, you don't have to write anything else. #Freedom",0,0,0,1,0,0
rus_dev_track_c_00154,They're fucking old-school bitches. They've touched the freezing spit.,1,0,0,0,0,0
rus_dev_track_c_00155,We need to do more biology.,0,0,0,0,0,0
rus_dev_track_c_00156,Very old.,0,1,0,0,0,0
rus_dev_track_c_00157,I'm so nervous about this fucking thing.,1,0,0,0,0,0
rus_dev_track_c_00158,"Our essence consists of two parts: one we live, and the other we wander, and the role of imaginary passions we put forward and please.",0,0,0,0,0,0
rus_dev_track_c_00159,"We were fed at school, shit, of course, I didn't expect it, wooden floors.",0,1,0,0,1,0
rus_dev_track_c_00160,"Timur, go fuck yourself with your jokes.",1,0,0,0,0,0
rus_dev_track_c_00161,"Why does everyone like alcohol? No, seriously, it's just disgusting.",0,1,0,0,0,1
rus_dev_track_c_00162,"Edward Yulevich, I love you and I'm in your class!!!!",0,0,0,1,0,0
rus_dev_track_c_00163,This is some kind of bullying! I'm shocked by this military committee.,1,0,0,0,0,1
rus_dev_track_c_00164,"It's small, but it's nice.",0,0,0,1,0,0
rus_dev_track_c_00165,"To make a dream come true, you have to be able to wait, to think, to be patient.",0,0,0,0,0,0
rus_dev_track_c_00166,The saddest part is when Kat is killed.,0,0,0,0,1,0
rus_dev_track_c_00167,Wow! The nomination for best album from MusicBox is mine!!!!!,0,0,0,1,0,0
rus_dev_track_c_00168,It's very difficult to explain to incompetent people that the software doesn't work because the curve is,0,0,0,0,1,0
rus_dev_track_c_00169,She waited.,0,0,0,1,0,0
rus_dev_track_c_00170,Placebo will perform in St. Petersburg in the summer of 2014.,0,0,0,1,0,0
rus_dev_track_c_00171,Tomorrow will be a wonderful day,0,0,0,1,0,0
rus_dev_track_c_00172,"I can't imagine how I'm going to pass algebra. I'm afraid of the knowledge on this subject that is not, was not and will not be.",0,0,1,0,0,0
rus_dev_track_c_00173,What did you think of the other Ja?!,1,0,0,0,0,0
rus_dev_track_c_00174,I'm watching a video in memory of Paul Walker Rev.,0,0,0,0,1,0
rus_dev_track_c_00175,These daily fights are raging!,1,0,0,0,0,0
rus_dev_track_c_00176,"""I've been playing Hitman 5 for two days now, and it's on iOS in the App Store, and it's free!""",0,0,0,1,0,1
rus_dev_track_c_00177,"When I was in bed with him, he said that to me.",0,1,0,0,0,0
rus_dev_track_c_00178,There's nothing worse than a 12-year-old girl posting pictures of herself with a guy.,0,1,0,0,0,0
rus_dev_track_c_00179,"I'm so tired of forgiving everyone, you're all so lying, in every word a deception, disgusting and disgusting...",0,1,0,0,1,0
rus_dev_track_c_00180,"""You're fucking screwing around in front of everybody, son of a bitch!... Your L.V.L. still won't let me get to my destination.""",1,0,0,0,0,0
rus_dev_track_c_00181,Then what have you done?!,1,0,0,0,0,0
rus_dev_track_c_00182,"I understand the season will be shown in the past, because Will is still alive.",0,0,0,0,0,0
rus_dev_track_c_00183,"Yesterday, as he was passing by, my grandfather said: ""The war is beginning,"" and something in my soul turned upside down, ""I'm afraid for our future.""",0,0,1,0,0,0
rus_dev_track_c_00184,"""Whether my tweets are stored in the US database or somebody else's, the main thing is that they can't change me.",0,0,0,0,0,0
rus_dev_track_c_00185,And the candle is all burnt. We 'll go buy a new one tomorrow.,0,0,0,0,1,0
rus_dev_track_c_00186,"""Shit, why haven't you figured out how to edit tweets yet?""",1,0,0,0,0,0
rus_dev_track_c_00187,"In Denmark, it is forbidden to give a woman a gift that is cheaper than her mobile phone... Where are my bags?",0,0,0,1,0,1
rus_dev_track_c_00188,"I'm not sure what you're talking about, but I'm not sure what you're talking about.",1,0,0,0,0,0
rus_dev_track_c_00189,What's going on with the contact? Why isn 't the nigger loaded?,1,0,0,0,0,0
rus_dev_track_c_00190,The important thing is that everything is sincere.,0,0,0,0,0,0
rus_dev_track_c_00191,"I'm shocked by the new Instagram, I thought I couldn't come up with anything, but no.",0,1,0,0,0,1
rus_dev_track_c_00192,Why do you ask if you don't have a name? Go fuck your boys.,1,0,0,0,0,0
rus_dev_track_c_00193,It's ugly to have that fat man burst from his stomach.,0,1,0,0,0,0
rus_dev_track_c_00194,"Go on, take it easy.",1,0,0,0,0,0
rus_dev_track_c_00195,"The bomb, the gun, the beast, the 42-year-old lady, the supreme power, the simple, the narcissus.",0,0,0,1,0,0
rus_dev_track_c_00196,"They have some work, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, you know, you know, you know, you know, you know, you know, you know, you know, you",1,0,0,0,1,0
rus_dev_track_c_00197,Everyone will understand.,0,0,0,0,0,0
rus_dev_track_c_00198,Dima took the day off for me tomorrow.,0,0,0,1,0,0
rus_dev_track_c_00199,I can't recover my musical hearing from the accident.,0,0,0,0,1,0
