id,text,anger,disgust,fear,joy,sadness,surprise
chn_test_track_c_00001,"Don't give and don't let go, it's annoying, and it's not necessarily good for us, just say, get out of here, it's a little bit better now.",,,,,,
chn_test_track_c_00002,"Usually, close relations don't have to wait until the New Year to get together, close relations don't have to go, relatives don't go, everyone is relaxed.",,,,,,
chn_test_track_c_00003,"As long as there is a medium risk in a district, it is necessary to isolate the home, but we have never been to a medium-high risk area, travel in Yangzhou is unhindered, the lockdown has been lifted, people with medium-high risk cannot go out, why not let the low-risk go home?",,,,,,
chn_test_track_c_00004,"The outbreak has been going on for two years now, and some areas are still using the same prevention measures as in the previous two years, so it's very likely that the new coronavirus will continue to coexist with humans in this way.",,,,,,
chn_test_track_c_00005,"The disease control center in Huangyang, Henan Province, does not implement the policy of red-headed documents, there are no rules, the written documents want to change, change the document, write the centralized quarantine for 7 days, you have to quarantine for 8 days to let you out, but not as a right, as a disorder, as a selectivity, in what position to say what, no unified position, quality, what a pity, communication is fruitless, I will always be a second, how do you take my posture?",,,,,,
chn_test_track_c_00006,"It doesn't matter, anyway, we can't have any international competitions in the future, it's the same as a global ban.",,,,,,
chn_test_track_c_00007,"So it's not that the ancient monasteries were set up without a reason, it's just that in modern society, no matter what the other person did, it's always irrelevant to beat the first person.",,,,,,
chn_test_track_c_00008,"The most precious but the heart of a baby, the most moving is the youthful spirit, the first time I saw the young man of Luoyang, the white fern, the host of the all-powerful dancer, the brilliant eye, the star, the double-faced life of the driver and the love of the bean, the sight is all his.",,,,,,
chn_test_track_c_00009,"When I was a child, every Spring Festival, my father would take me to my uncle's house, and now I haven't seen them for years, and I don't know what to say, because people in the past have more blood ties and interests, and people in the future will have more interests in common. Of course, this doesn't mean that relatives don't move, many young people and cousins are very happy together, and there are many families with two children.",,,,,,
chn_test_track_c_00010,"If you are a red card, do you want to sneak back to your hometown, or do you want to go back to your hometown? Don't twist the meaning of the grassroots cadres, and don't erase their hard work!",,,,,,
chn_test_track_c_00011,"When the end of the world is near, there is nothing but thought for you, he said.",,,,,,
chn_test_track_c_00012,"This flight attendant is going to be suspended, as a service industry, you don't have the mandatory powers, but you have a perfect way to ask them to take it up!",,,,,,
chn_test_track_c_00013,"This small county town in Henan is normal, the level of government is the same as the level of officials, and I also want to talk about the rule of law, can the head of the Public Security Bureau not listen to the head of the county?",,,,,,
chn_test_track_c_00014,"Yang is just an ordinary girl who has been exposed to a long-standing network of old crooks and oil barons, and her life has been ruined ever since.",,,,,,
chn_test_track_c_00015,"Many were incited to support their own rights and interests, but it gradually turned into a violent incident.",,,,,,
chn_test_track_c_00016,"Sweet love beans warm and bright, smiling fashionable classic salt idols cool and hard to resist, hormones attract thousands of girls sweet salt and ready-made him, whatever fashion can successfully interpret, regardless of the trend",,,,,,
chn_test_track_c_00017,"I think the Jiang Guo case is the Jiang Guo case, as for the illegal things that Jiang Guo's mother did, it's okay to investigate for evidence, it's not okay for people to do things that affect the verdict of the Jiang Guo case!",,,,,,
chn_test_track_c_00018,"May all your happiness be without pretense, may your life end in sincerity, may his life be like a star.",,,,,,
chn_test_track_c_00019,"The star is inscribed with the two words ""positive"" and ""negative"", which is more useful than nucleic acid, and after Henan, all nucleic acids are changed to full-fledged sweeping codes, with the star directly pulled away, I wonder if the leaders of Yangzhou travel codes without the star, go elsewhere without the need to concentrate first isolation?",,,,,,
chn_test_track_c_00020,"I've been drinking, just because I like to drink, I'm afraid he'll fly away like this, I'll never drink again.",,,,,,
chn_test_track_c_00021,"Don't think too much, he can't give you a charger, change this or that, how is that possible?",,,,,,
chn_test_track_c_00022,"Rest assured, it's impossible to make a unified charger for how many years, countless home chargers can't find their own, raise your hand.",,,,,,
chn_test_track_c_00023,"It's like we didn't even go out to eat, we had a meal together, we were happy to see our cousins of the same age, we were happy to eat together, we were looking forward to it, we didn't know if we were going to be relatives.",,,,,,
chn_test_track_c_00024,"Even though I can't be with you right now, one day I'll walk in front of you.",,,,,,
chn_test_track_c_00025,"I've seen the stars, but I only love you as a star, young man, keep moving forward, we will protect you on the way to the future.",,,,,,
chn_test_track_c_00026,"What's the use? How much time and opportunity is missed, especially since the athlete's career is short, it's a laughing stock.",,,,,,
chn_test_track_c_00027,"He's so angry, he doesn't want people to look down on you, provoke you, scare you, that's his attitude, I don't care about you either.",,,,,,
chn_test_track_c_00028,"We're all here very early, or at lunchtime, the total is less pitiful.",,,,,,
chn_test_track_c_00029,"Didn't you see the demands of their negotiations with the government? To make a nucleic acid for 100 yuan, I've never seen so much. Those who don't want to go home to Guangzhou, they need 200 yuan a day.",,,,,,
