id,text,anger,disgust,fear,joy,sadness,surprise
swe_test_track_c_00001,"But who am I to judge...go there yourself and experience it, but for God's sake drink well before and don't forget the clown's nose.",,,,,,
swe_test_track_c_00002,"Cheap but unsuccessful, had to drop the car off at Buff & Shine who did a great job.",,,,,,
swe_test_track_c_00003,"General plumbing work, nice staff, great availability, good execution.",,,,,,
swe_test_track_c_00004,Your memory is quite short.,,,,,,
swe_test_track_c_00005,"But one day, when we return home, you will feel proud of what you have accomplished here in the face of all adversity.",,,,,,
swe_test_track_c_00006,Just good!,,,,,,
swe_test_track_c_00007,No time for jokes.,,,,,,
swe_test_track_c_00008,That was really good. I highly recommend it.,,,,,,
swe_test_track_c_00009,"Unfortunately, the experience wasn't what we were hoping for for the money we paid, so it wasn't quite affordable. First we came in, we were kindly greeted, we were told that we could have something at the bar, we went to the bar, we were hoping to get something to drink, but no, the two of us, sometimes three bartenders, were full, so they didn't have time with us, the snop. The performance was nice, but a little unnecessarily high. The food wasn't particularly pricey.",,,,,,
swe_test_track_c_00010,"Ivan is great, nice, fast and good.",,,,,,
swe_test_track_c_00011,Lucullus is fighting Mithridates at the Black Sea.,,,,,,
swe_test_track_c_00012,Villa in peace...,,,,,,
swe_test_track_c_00013,A cabinet with a poor fit when assembled.,,,,,,
swe_test_track_c_00014,I really appreciate it.,,,,,,
swe_test_track_c_00015,"Professional and very helpful, he meets the seller's wishes, we're satisfied with the sale.",,,,,,
swe_test_track_c_00016,Uninterested and poorly educated broker.,,,,,,
swe_test_track_c_00017,"Since the selection of restaurants is limited, why not opt for a more affordable menu?",,,,,,
swe_test_track_c_00018,"The food is ok, and laid up in a good way. Rice falls on URUSEL SERVICE!!! I've been there a 5-6 times, and often felt badly affected by the service staff's snottiness and cold, but today the measurement was ruined! The woman at the checkout (can't conscientiously call her a lady) took money from a couple of gentlemen before me and then took no notice of me who was last in line, as if I were air. After a few minutes I handed her my card and ordered the buffet, she handed me the card reader and muttered something, she went!",,,,,,
swe_test_track_c_00019,Fast delivery and very good description of how to use the product was included in the packaging. Good results o the color fits in. No allergic problems.,,,,,,
swe_test_track_c_00020,And they may not work as well under someone else's leadership.,,,,,,
swe_test_track_c_00021,"You are losing, Grant.",,,,,,
swe_test_track_c_00022,"It was good before I bought my bed, but after I bought it, I found out that I was going to buy a protective coating because I was going to get a warranty, and when I told them that it wasn't clear, they weren't very accommodating, obviously they wanted to sell beds, not provide good service to their customers.",,,,,,
swe_test_track_c_00023,"Irresponsible, unpleasant, not helpful",,,,,,
swe_test_track_c_00024,"Got $500 for a phone that was a few months old, costs $5,000 new, next time I'll sell on my own.",,,,,,
swe_test_track_c_00025,Welcome home.,,,,,,
swe_test_track_c_00026,"Found a bug that wasn't a bug. Which you could fix for a few thousand bucks!! Bad service, not unpleasant but uninterested in me as a customer. Won't use Meconomen more times. More uninterested staff you'll probably have to look for.",,,,,,
swe_test_track_c_00027,The purchase process took a long time and the information about what was going on was incomplete.,,,,,,
swe_test_track_c_00028,Didnt he start in the same path?,,,,,,
swe_test_track_c_00029,Not recommended due to poor service and very poor customer service.,,,,,,
swe_test_track_c_00030,"When I get the keys later and go through the documents on the apartment, I see that the apartment number on the SAMTLIGA paper that we submitted to the bank for the loan is completely wrong and so all the papers and sellers are better off signing the contract in the city.",,,,,,
swe_test_track_c_00031,"Professional and correct, as one has a right to expect.",,,,,,
swe_test_track_c_00032,"From the 27th of April to the repair of the engine to the screenmark, it took two months! The company's connection was non-existent. Several telephone calls and visits were required to the company before a delivery notice could be received after six weeks of waiting. The repair was carried out professionally. Extremely boring during two of our sunniest months of the year where the heat radiation in the outdoor room made the room unusable during the day.",,,,,,
swe_test_track_c_00033,"Really bad, the food is bad (they come in with food carts, so they don't carry the food out themselves), they have the most embarrassing music and the show - really unprofessional show dancers.",,,,,,
swe_test_track_c_00034,"Professional, competent, service-oriented and helpful both in buying and selling.",,,,,,
swe_test_track_c_00035,"I sought out Peder Svensson after a few unsuccessful attempts with a physical therapist and a chiropractor. Peder helped me understand my problem, get the tools to deal with it, and eventually train me back to my desired mobility, capacity, and pain. My focus has always been on finding the exercises and training that FUNGERAR and leads in the right direction. During the year he has been my napkin he has always been engaged, available, unstoppable and unstoppable.",,,,,,
swe_test_track_c_00036,"For $2,000, I can tell you where the money is.",,,,,,
swe_test_track_c_00037,Forestry station 1,,,,,,
swe_test_track_c_00038,You never change your mind.,,,,,,
swe_test_track_c_00039,"It's a great salon and very nice staff, but unfortunately it's become a little too expensive after the price increase.",,,,,,
swe_test_track_c_00040,"I went to the dentist, very good and nice, because I live 10 miles away, I usually get dental appointments at the same time as the dentist, but there was some misunderstanding this year, but since everything looked good, I'm looking forward to spring if I don't have any problems.",,,,,,
swe_test_track_c_00041,I'm not coming back here.,,,,,,
swe_test_track_c_00042,Ordinary service on the car. Always very nice and service minded. Final price in phase with left offer on the job. Very pleased!,,,,,,
swe_test_track_c_00043,"His banner fell to the enemy, as did the man himself.",,,,,,
swe_test_track_c_00044,Didn't even try to deliver the package and impossible to get hold of.,,,,,,
swe_test_track_c_00045,So you wont misunderstand my invitations.,,,,,,
swe_test_track_c_00046,"Very good job, good staff.",,,,,,
swe_test_track_c_00047,"A lot of things went well with the painting, the foundation was better, gave a very unengaged impression of the seller.",,,,,,
swe_test_track_c_00048,Washed curtains fixed clothes help with cleaning Good service near the residence Feels the staff more o more Nice 👍👍,,,,,,
swe_test_track_c_00049,Please put a penny in the collection.,,,,,,
swe_test_track_c_00050,Ill see if I can keep them away.,,,,,,
swe_test_track_c_00051,"Come on, Verna. What are you doing?",,,,,,
swe_test_track_c_00052,He got some of that stuff when he was alive.,,,,,,
swe_test_track_c_00053,"The windows and frames were well cleaned, but they missed a small window, which I noticed only afterwards.",,,,,,
swe_test_track_c_00054,"If you want a translation, I'm sure it can be arranged.",,,,,,
swe_test_track_c_00055,"No problem, quick life, recommended workshop is ok.",,,,,,
swe_test_track_c_00056,Far too expensive for a half-hour job!,,,,,,
swe_test_track_c_00057,"Oh, you can't get far without a railroad",,,,,,
swe_test_track_c_00058,"Changing new tires, wheel settings and tyre storage.",,,,,,
swe_test_track_c_00059,"- McLaine, you have a woman with you!",,,,,,
swe_test_track_c_00060,Friendly and professional.,,,,,,
swe_test_track_c_00061,I left the car to change the lights and asked if they could check the brakes on the left rear because it always smells burnt there. The lights were fixed but only got a comment that the brakes work fine. But it still smells burnt and is hot so I'm a little disappointed.,,,,,,
swe_test_track_c_00062,"Keep going, Hughes.",,,,,,
swe_test_track_c_00063,We sold the apartment and everything was fine.,,,,,,
swe_test_track_c_00064,So you cant use me.,,,,,,
swe_test_track_c_00065,"With the warlord Dragutin imprisoned, President Rowntree goes to Serbia to discuss its role in NATO.",,,,,,
swe_test_track_c_00066,You have won.,,,,,,
swe_test_track_c_00067,"Agree with Anders E. It's rare to be treated as carelessly and sadly as we were yesterday at Grappa. The only thing one bothered about was showing how unwelcome we were. We were also a larger company who booked far in advance. No one welcomed us, we had to stand and trample and wait for the water to drip, no one bothered to turn on the table lights, fill up the water or the wine. We had to go to the kitchen and tell them if it was time to serve the next dish, remind them of the orders and complain about the note.",,,,,,
swe_test_track_c_00068,Then he'll send for me and some more donkeys to get the food and the ore!,,,,,,
swe_test_track_c_00069,"We were three people and we got a tiny table so the food barely fit on the table, one of my friends got to sit in front of their napkin storage, glass, etc., and another felt like she was sitting in the hallway and a waitress was kicking her chair every time she walked by, which was many times.",,,,,,
swe_test_track_c_00070,The Christmas gifts didn't make it to Christmas because of the staff's carelessness.,,,,,,
swe_test_track_c_00071,"I bought a Volvo 740 from Strands Bilar. The pictures and the ad were honest and fair for what you saw when you got to the place. Easy to get in touch, book time and agree on payment methods. Strongly recommend this company. Two lovely brothers who love cars and love to meet their customers in a friendly way with customer service like prio. Thank you so much for a superb car dealership, there will be more in the future, I promise!",,,,,,
swe_test_track_c_00072,"Changing the attic floor and changing the handrails, good reception despite the language difficulties, the work was done quickly and properly, and it's good that they removed the old material.",,,,,,
swe_test_track_c_00073,"Quick response to the offer request and booking of the first inspection. It has subsequently taken a long time and a lot of effort to produce an offer proposal. Answers 1 in 10 times on phone/mail, office number seems off. Maybe good at craftsmanship, but customer contact and planning leave much to be desired.",,,,,,
swe_test_track_c_00074,"Sooner or later, you're gonna have to marry her.",,,,,,
swe_test_track_c_00075,And a brand new husband.,,,,,,
swe_test_track_c_00076,"The food is okay, but the price is too high, the service doesn't keep up with the price range they've chosen on their menu.",,,,,,
swe_test_track_c_00077,"Karaj can be trusted, everything we agreed was done in time. very good to get help with everything. thank you for an excellent job done. I highly recommend Karaj Bygg.",,,,,,
swe_test_track_c_00078,He couldnt even remember what any of the movies were called.,,,,,,
swe_test_track_c_00079,English prisoners!,,,,,,
swe_test_track_c_00080,"We had a really good first meeting with Totalhus before the summer because they were going to make an offer on our development, and then Totalbygg forgot or didn't have time to make the offer, and after the summer, I asked for a simpler estimate of what could go on while we waited for their offer, and they got such a gross overprice that it was ridiculous, and then they didn't hear from us anymore.",,,,,,
swe_test_track_c_00081,"Unfaithful, does not keep his word from beginning to end",,,,,,
swe_test_track_c_00082,"We got much cheaper winter wheels than we paid for, the gas tank wasn't full, as we were promised in the offer, big cracks in the trunk.",,,,,,
swe_test_track_c_00083,So ten percent of the money is mine.,,,,,,
swe_test_track_c_00084,That's exactly it.,,,,,,
swe_test_track_c_00085,"I bought a Christmas tree that was delivered perfectly on time, but it broke down from the beginning and had to be thrown out after a week.",,,,,,
swe_test_track_c_00086,Don't think I think you're attractive.,,,,,,
swe_test_track_c_00087,"The staff was doing other things during the treatment, interrupted as well, and walked away for a while.",,,,,,
swe_test_track_c_00088,"We had a very good reception from Pernilla, she was always helpful and made sure that we felt safe from the time we were shown to the time we moved in.",,,,,,
swe_test_track_c_00089,"She's been following you for five years, too.",,,,,,
swe_test_track_c_00090,"I bought a discounted edge shield in Cortenplåt, five pieces, but unfortunately, there was a nut missing from a cutter in the delivery.",,,,,,
swe_test_track_c_00091,"I booked the whole leg waxing the days before my wedding, and then I came home with wax residue on my legs and strips of hair left on my legs, and they weren't careful and they did a sloppy job, and the fabric on my pants had gotten stuck in the wax, too, so it was hard to get rid of.",,,,,,
swe_test_track_c_00092,Do you mind if I'm the big brother just this once?,,,,,,
