id,text,anger,disgust,fear,joy,sadness,surprise
mar_test_track_c_00001,I was very angry that the remix completely damaged the beauty of the original song.,,,,,,
mar_test_track_c_00002,"All the hard work in the garden was wasted, the trees did not bloom, there was a lot of grief.",,,,,,
mar_test_track_c_00003,Investigating crimes is one of the primary responsibilities of the police.,,,,,,
mar_test_track_c_00004,"If the music, decorations and food are arranged ahead of time, there will be no problem in the party.",,,,,,
mar_test_track_c_00005,"Wow, this party menu is incredible! I didn't expect it to be this good.",,,,,,
mar_test_track_c_00006,The smell of gunpowder in the barn is so strong that I am sick of standing there.,,,,,,
mar_test_track_c_00007,"Every day at school brings new knowledge and experiences, which increased enthusiasm.",,,,,,
mar_test_track_c_00008,The experience of medical neglect in this hospital has created deep hatred in my mind.,,,,,,
mar_test_track_c_00009,"I didn't expect that they would give the school a holiday as soon as it didn't rain, but it's okay!",,,,,,
mar_test_track_c_00010,I am outraged that people are being treated unfairly in the name of upholding religion and tradition.,,,,,,
mar_test_track_c_00011,I was relieved that the medicine improved my health as soon as possible.,,,,,,
mar_test_track_c_00012,"Due to the incidents of crime in our forests outside the city, the anxiety and fear of parents like me is increasing.",,,,,,
mar_test_track_c_00013,"Instead of realistic films based on real problems in society, my anger has reached its peak because of people who are just after making money.",,,,,,
mar_test_track_c_00014,The smell of dirt is so strong that I feel like coming to the fields.,,,,,,
mar_test_track_c_00015,"As soon as I heard that there was no studying during the holidays, my face lit up with laughter, what could be better news than this?",,,,,,
mar_test_track_c_00016,I was surprised by the number of people attending the party.,,,,,,
mar_test_track_c_00017,I am deeply saddened that the traditional sweetness of the festivals has been lost and only the outward appearance and noise have remained.,,,,,,
mar_test_track_c_00018,"Festivals include various cultural events, traditional foods and colorful decorations.",,,,,,
mar_test_track_c_00019,"I was very surprised to see flowers blooming in the desert, so beautiful flowers blooming in such a dry and desolate environment.",,,,,,
mar_test_track_c_00020,It is very distasteful that the unnecessary stress of schooling is having a serious impact on the mental health of children.,,,,,,
mar_test_track_c_00021,What kind of thing is this? Is politics just a game of gaining power? Is the welfare of the people not important in it?,,,,,,
mar_test_track_c_00022,Technology is being incorporated into school education.,,,,,,
mar_test_track_c_00023,"The color of this wall has had a negative impact on my mind, it has created anger instead of peace in my mind.",,,,,,
mar_test_track_c_00024,This film is very informative as it is based on true events.,,,,,,
mar_test_track_c_00025,"The family is the pillar of a person's life, from which we get love, support and guidance.",,,,,,
mar_test_track_c_00026,"As I walked through the crowd to shop, I could smell dirt in the chaos and filth.",,,,,,
mar_test_track_c_00027,"By cleaning up the dirt in this garden, my tolerance has now completely run out.",,,,,,
mar_test_track_c_00028,Get detailed information about the candidates for the upcoming elections and make a decision based on it.,,,,,,
mar_test_track_c_00029,The smell of this food is so strange that I wanted to eat it.,,,,,,
mar_test_track_c_00030,"Pipes are burst in freezing cold and roads are snowed in, this situation is very disgusting.",,,,,,
mar_test_track_c_00031,Daily routines provide regularity in our lives so that we can effectively manage our time and achieve our goals.,,,,,,
mar_test_track_c_00032,I was very upset that this accident was caused by excessive drinking at the party.,,,,,,
mar_test_track_c_00033,"Even after spending a lot of money on decorating the house, the mind was not satisfied.",,,,,,
mar_test_track_c_00034,The uncertainty and fear of the success of this new store haunts me.,,,,,,
mar_test_track_c_00035,"Seeing the traffic police ignoring my small mistake, I felt very sad.",,,,,,
mar_test_track_c_00036,"The constant cloudy weather is making me sad, because it is making it difficult to spend time outside.",,,,,,
mar_test_track_c_00037,The storm has created fears of security and protection in my city.,,,,,,
mar_test_track_c_00038,"Fashion jeans are a classic of all time, made from denim cloth.",,,,,,
mar_test_track_c_00039,I get irritated in the chaos of everyday life.,,,,,,
mar_test_track_c_00040,I am very scared of the thought that one mistake in the game could get me fired.,,,,,,
mar_test_track_c_00041,I am very sad to see that the historical imprint of traditional regional dishes is fading.,,,,,,
mar_test_track_c_00042,"The events in my dream story shocked me so much that even when I woke up, they still had an impact on my mind.",,,,,,
mar_test_track_c_00043,Changing the decoration of the house brings freshness to the atmosphere.,,,,,,
mar_test_track_c_00044,I condemn the fools who are endangering humanity by misusing this powerful tool of science.,,,,,,
mar_test_track_c_00045,I was very confused by the sudden difficulty in the travel program. This situation was beyond my expectations.,,,,,,
mar_test_track_c_00046,How can these hackers not feel that they are stealing other people's hard-earned money?,,,,,,
mar_test_track_c_00047,Various events are organized during Ganeshotsav.,,,,,,
mar_test_track_c_00048,"When the house is cleaned, it feels new, everything is neat and shiny, and the mind is happy to have a new energy.",,,,,,
mar_test_track_c_00049,"Despite the chaos of the party, there is dissatisfaction in one corner of the mind. I am listening to the laughter, music around me, but I feel something is missing.",,,,,,
mar_test_track_c_00050,I was very surprised to see that this recipe is similar to our traditional recipe.,,,,,,
mar_test_track_c_00051,This morning is very beautiful.,,,,,,
mar_test_track_c_00052,I was very happy when I got the money.,,,,,,
mar_test_track_c_00053,The thought of grandma's handmade meal makes my eyes water.,,,,,,
mar_test_track_c_00054,I was blown away by this film with big harsh voices and fake acting actors.,,,,,,
mar_test_track_c_00055,"I remember laughter, songs and party dances very well, life feels meaningless without this excitement.",,,,,,
mar_test_track_c_00056,The misinformation in the reading and the confused references have irritated me while studying.,,,,,,
mar_test_track_c_00057,"Even with so much money, the hotel did not have water for three hours, what could be worse service?",,,,,,
mar_test_track_c_00058,"The clothes were left to dry and they dried up, what a magic!",,,,,,
mar_test_track_c_00059,I was surprised to see that he helped me with all the household chores.,,,,,,
mar_test_track_c_00060,There are various shopping malls in Thane city.,,,,,,
mar_test_track_c_00061,What a surprise that their relationship has survived all these years!,,,,,,
mar_test_track_c_00062,The situation of staying alone in another hotel instead of staying in the main hotel is very frustrating.,,,,,,
mar_test_track_c_00063,"The hospital bill is so high, we couldn't believe it.",,,,,,
