id,text,anger,disgust,fear,joy,sadness,surprise
som_train_track_a_00001,"It's not that I don't care about you, it's that I don't care about you, and whatever it is, it's that I don't care about you.",0,0,0,0,1,0
som_train_track_a_00002,"Thank you for your brother, but I'm not the youngest to leave the prayer - it was your comment that you started the prayer the youngest!",0,0,0,0,0,0
som_train_track_a_00003,Congratulations to the Somali nation on sharing the joy of the seven freedoms of the URL.,0,0,0,1,0,0
som_train_track_a_00004,"It was a pity that he had only 50 dollars, but he married me to my husband, and he found it in Jaceyl Kalsooani and Joy Joogta Najma Nashad.",0,0,0,1,0,0
som_train_track_a_00005,"I'm afraid of adultery and fornication. God forbid. If you want to stay away, I'm sick of hepatitis B. I'm going to pray to God that he forgives me.",0,0,0,0,1,0
som_train_track_a_00006,"If you want to be a mother in the kingdom of God, follow the word of God, yes, to the Father, seeking first the kingdom of God and his righteousness, then faith without faith, may God add everything to you.",0,1,0,0,0,0
som_train_track_a_00007,Didn't you see that baby in the middle of the night? Didn't you see that baby in the middle of the night?,0,0,0,1,0,0
som_train_track_a_00008,Coffee studies: A bean found to reduce the risk of liver disease,0,0,0,0,0,0
som_train_track_a_00009,Somaliland is waiting for the end to happen.,0,0,1,0,0,0
som_train_track_a_00010,"USER In our country and in our region, there are more and more people who are addicted to tobacco.",0,0,0,0,0,0
som_train_track_a_00011,"What we need is a policy based on sanctity, wisdom, care, right choice, and unity. If we're in a crisis of injustice, unity, and theft, what we inherit from the bad guys is that the UNITY is powerful.",0,0,0,0,0,0
som_train_track_a_00012,"This is the first time that the Federal Government's missions have been assigned to the Security and Defence sector since the 2017 al-Shabab attacks, which have spread beyond the borders of Somalia.",0,0,1,0,0,0
som_train_track_a_00013,"May Allah have mercy on all of them, and may Allah have mercy on the people of the Quraysh, and may Allah give them the courage to escape from the enemy's plots and to carry out the mission of cleansing the city of terror.",0,0,0,0,1,0
som_train_track_a_00014,"And the people of the right hand, and the people of the left hand, and the people of the right hand.",0,0,0,0,0,0
som_train_track_a_00015,"I don't want their religion to be outside of where they're from, and I don't want their views to be outside of where they're from, and I don't want their views to be outside of where they're from.",0,1,0,0,0,0
som_train_track_a_00016,"Huh. Now that I've heard the news, I'm going to have to wait for the man to come out.",0,0,0,1,0,0
som_train_track_a_00017,"Real Madrid are looking to sign England's Harry Kane for the next season. The 29-year-old has signed a contract with Tottenham that runs until 2024 and could cost up to 1,000 million euros.",0,0,0,0,0,0
som_train_track_a_00018,"I say to those who defend the USER, if you don't have enough, gather your strength and let the nation's prayers be heard.",0,1,0,0,0,0
som_train_track_a_00019,Maybe it's going to happen someday.,0,0,0,0,0,0
som_train_track_a_00020,"It's not just when the soul leaves us, there are other transitions before that, including when your days are the same, and everything changes, and you stop, and then it just increases over the years, and it's your body's muscle mass.",0,0,0,0,0,0
som_train_track_a_00021,And we're going to hear about it in the next few days.,0,0,0,0,0,1
som_train_track_a_00022,What's the matter with you? You've been through five misfortunes. What's the matter with you?,0,1,0,0,0,0
som_train_track_a_00023,USER to take over what is known as a hunting bee hunting URL,0,0,0,0,0,0
som_train_track_a_00024,"If you could help me with the formula for this channel, I'd love to, thank you.",0,0,0,0,0,0
som_train_track_a_00025,"I was born free as a she-camel, and there is no bondage in me, nor is there any envy, nor is there any hatred, nor is there any strength in me, nor is there any evil in me, nor is there any evil in me, nor is there any evil in me, nor is there any evil in me, nor is there any evil in me.",0,0,0,0,0,0
som_train_track_a_00026,What's wrong with you? What's wrong with you?,0,0,1,0,0,0
som_train_track_a_00027,"I think it's been 15 years, but it's still going strong.",0,0,0,0,1,0
som_train_track_a_00028,It's a great shock. May Allah have mercy on all of you.,0,0,0,0,1,0
som_train_track_a_00029,"Anyway, let's pretend that we have a grandmother. What we need is a caring hand. We need a heartbeat.",0,0,0,0,0,0
