id,text,anger,disgust,fear,joy,sadness,surprise
amh_test_track_c_00001,"It hurts so much, oh, the cruelty of the night",,,,,,
amh_test_track_c_00002,"congratulations again, ma'am. ermy, where are you?",,,,,,
amh_test_track_c_00003,Saudi Arabian clubs are spending millions and signing more players,,,,,,
amh_test_track_c_00004,"When I read the question in a book, it says that I have a dirty cloth, death is better for me, don't grow old, starve to death, kill me, die, in the name of the Trinity, our Father, who has heard our prayers, our teachers, our teachers, our teachers, our teachers, our teachers, our teachers.",,,,,,
amh_test_track_c_00005,"The time of the death of the Fascist Abiy Ahmed is approaching, if another nation rises in revolt, it will be possible to defeat the army of the Fascist army in a short time with Fano, the victory of Fano and the death of the people.",,,,,,
amh_test_track_c_00006,"Mr. Arga never concealed the suffering of the people in order to maintain his heavy power, the only thing that gives the region power is the power of the people.",,,,,,
amh_test_track_c_00007,"What's the matter with you, you're not a big man, you're a fake account, you've been cheating, you've been cheating, you don't know anything, you've been cheating, you've been cheating, you've been cheating, you've been cheating, you've been cheating, you've been cheating, you've been cheating, you've been cheating.",,,,,,
amh_test_track_c_00008,"you're useless, how do you think you're going to work on your wife like that, jessba",,,,,,
amh_test_track_c_00009,We are proud of the special power of Amara. No one can order a drunkard to break down every time he is drunk because a special power is only a threat to their people and not even a door to defend them!,,,,,,
amh_test_track_c_00010,"To tell the truth, if Fana had been named again, it would have been Fara, all the hands of the clay would have been cut off, Fana, oh, my heart, tell me, Fana, TVna, Arts TV, they said, eat me, for my father, Ashka, Fana, Walt, ITV, and their friends are coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming, the clay is coming.",,,,,,
amh_test_track_c_00011,Asaru and Bandou's fate is worse than arresting and torturing these heroes,,,,,,
amh_test_track_c_00012,"Suleymn Love started the war in Ma Longa, a house with a widowed Amara Alon, who was killed, left her property, was displaced, was called a safer in the capital, she did not deserve to be laughed at in parliament when she asked all these questions in peace.",,,,,,
amh_test_track_c_00013,"The most frightening thing is that Abiy still doesn't want to believe that Ethiopia's decline is his fault, that the man's condition will not improve.",,,,,,
amh_test_track_c_00014,"Africa is mostly Muslim countries, we are indirectly allies of Saudi Arabia, we love Saudi Arabia more than America, the Israeli soldier is a Muslim enemy, the Muslim enemy will always be better than America and Israel, you are a Muslim phobic patient, Ethiopia will still be a Muslim country, the Arab League will remain from Amhara and Orthodoxy.",,,,,,
amh_test_track_c_00015,"It is surprising that a man who understands that he is trying to maintain the peace of the country and improve the life of the people should convince himself that it is a pleasure but because he is worried about his name, it is not surprising that a leader of this kind and incompetent leader is a leader who is not going to be in history.",,,,,,
