id,text,anger,disgust,fear,joy,sadness,surprise
hin_train_track_a_00001,She went to watch a movie with her friends.,0,0,0,0,0,0
hin_train_track_a_00002,The office files are kept in order.,0,0,0,0,0,0
hin_train_track_a_00003,The impact of war can affect food supply in border areas.,0,0,0,0,0,0
hin_train_track_a_00004,"Wow! Today my daughter has not only cleaned her room, but the whole house herself!",0,0,0,1,0,1
hin_train_track_a_00005,The government's new tax scheme has made the poor poorer,1,0,0,0,1,0
hin_train_track_a_00006,"The first time I had to change the baby's dirty, stinking diaper, I was about to vomit.",0,1,0,0,0,0
hin_train_track_a_00007,"I'm sorry, but the crop is being attacked by insects again, and that's why we have to suffer so much every year.",1,0,0,0,1,0
hin_train_track_a_00008,I'm so excited to be in the Fashion Week and to be able to try on the latest and greatest outfits and I'm so excited to be able to do that!,0,0,0,1,0,0
hin_train_track_a_00009,"""I was saddened to learn that the son and grandson of former Prime Minister Dev Gaud were involved in the rape of an elderly woman.",0,0,0,0,1,0
hin_train_track_a_00010,"All the electrically powered devices, without which it is difficult to imagine life today, are the result of technological progress.",0,0,0,0,0,0
hin_train_track_a_00011,The tragic death of my colleague is a tragedy that shocks everyone in the office.,0,0,0,0,1,0
hin_train_track_a_00012,My son passed the NEET exam with very good marks and has taken admission in Jabalpur Medical! We are all very happy about this new beginning of his life.,0,0,0,1,0,0
hin_train_track_a_00013,The formalities of the RTO office are very annoying and discouraging.,0,0,0,0,1,0
hin_train_track_a_00014,Today I was happy to see so many red roses blooming in the garden.,0,0,0,1,0,0
hin_train_track_a_00015,"The story of the woman who was raped by her husband, Tassima Nasrin, is so powerful that it brought tears to my eyes.",0,0,0,0,1,0
hin_train_track_a_00016,"The boss took my class today, man!!",0,0,0,0,1,0
hin_train_track_a_00017,"Nowadays, every other day a new phone is launched.",0,0,0,0,0,0
hin_train_track_a_00018,"Wow! Their service is really amazing, they cleaned the whole house so quickly!",0,0,0,1,0,1
hin_train_track_a_00019,"I can't practice dancing, I don't have time because of work!",0,0,0,0,1,0
hin_train_track_a_00020,The absurd story and useless acting of the film made me irritated.,1,0,0,0,0,0
hin_train_track_a_00021,"The death of the hero caused a commotion in the entire cinema hall, my eyes were wet.",0,0,0,0,1,0
hin_train_track_a_00022,Many people often have unknown ruins in their dreams.,0,0,0,0,0,0
hin_train_track_a_00023,"When you're a kid, you're always at home, your clothes, shoes, hair, everything is dirty and smelly.",0,1,0,0,0,0
hin_train_track_a_00024,The boss's eyes are on me as if something is wrong with me!,0,0,1,0,0,0
hin_train_track_a_00025,"Everything in this house is so dull and uninspiring, and I am even more depressed and disappointed by living here.",0,0,0,0,1,0
hin_train_track_a_00026,"I'm afraid of hurdles, I'm afraid of running too fast, I'm afraid of hitting the hurdles.",0,0,1,0,0,0
hin_train_track_a_00027,"Every province of India has many sites of historical importance, tourism should be promoted here.",0,0,0,0,0,0
hin_train_track_a_00028,"When the news of my selection in the Indian Civil Service came, the whole family gathered at the temple and held a party with great fanfare.",0,0,0,1,0,0
hin_train_track_a_00029,My aunt gave me a red pillow.,0,0,0,0,0,0
hin_train_track_a_00030,The mess and chaos on the college campus sometimes makes me sick to my stomach.,0,1,0,0,0,0
hin_train_track_a_00031,"I had a dream last night about a bicycle, and when I woke up in the morning, I was surprised that my son insisted on buying a new bicycle from me.",0,0,0,0,0,1
hin_train_track_a_00032,"In the evening, cleaned the house.",0,0,0,0,0,0
hin_train_track_a_00033,"If it were up to me, I would have punished the counterfeiters.",1,0,0,0,0,0
hin_train_track_a_00034,"My colleague suddenly resigned today, he was unhappy with the office atmosphere but he resigned suddenly!",0,0,0,0,0,1
hin_train_track_a_00035,I am happy to say that our company has received many awards this year.,0,0,0,1,0,0
hin_train_track_a_00036,"When crossing the river, the strong current of water is frightening.",0,0,1,0,0,0
hin_train_track_a_00037,The worry of rising debts and falling incomes has robbed me of sleep at night.,0,0,1,0,1,0
hin_train_track_a_00038,"Today we all had a great time! We watched the Cinderella movie with popcorn, pastries, patties and cold drinks.",0,0,0,1,0,0
hin_train_track_a_00039,"The idea of making a paper lamp for Diwali was born in the 1970s, but it was discontinued after the Diwali festival.",0,0,0,0,1,0
hin_train_track_a_00040,Today I have organized my notes so that I can study more easily.,0,0,0,0,0,0
hin_train_track_a_00041,"One Indian Girl is the story of a girl who is average in appearance, not even blonde, but very successful in her career.",0,0,0,0,0,0
hin_train_track_a_00042,"Wow! The new company gave you a car so quickly, it's not happening!",0,0,0,1,0,1
hin_train_track_a_00043,"The lodge in Shirdi was in a very poor condition, there was no cleanliness and no comfortable rooms.",0,1,0,0,1,0
hin_train_track_a_00044,"In the name of modeling, the photographers beat up my friend, they should be beaten with sticks.",1,0,0,0,0,0
hin_train_track_a_00045,Listening to music while doing household chores makes the work enjoyable and fills me with joy.,0,0,0,1,0,0
hin_train_track_a_00046,Listening to this music album is making my brain go crazy.,1,0,0,0,0,0
hin_train_track_a_00047,"Now this network also had to go, when I have to take a class! And one day if I don't take a class, these parents get upset as if their child was going to be a topper from that one class.",1,0,0,0,0,0
hin_train_track_a_00048,The crime rate is so high that we are all watching with horror.,0,0,0,0,1,0
hin_train_track_a_00049,Work is going on on a new project in the office.,0,0,0,0,0,0
hin_train_track_a_00050,"We went to a friend's house on the pretext of studying, watched movies all night and made a lot of noise, it was fun.",0,0,0,1,0,0
hin_train_track_a_00051,"The kids have insisted on a new interior, but I can't see a single corner where I can sit down and relax a bit!",0,0,0,0,1,0
hin_train_track_a_00052,"Every night before going to bed, I set the alarm and put the phone away.",0,0,0,0,0,0
hin_train_track_a_00053,New street lights were installed in our street.,0,0,0,0,0,0
hin_train_track_a_00054,I repaired the door of the house.,0,0,0,0,0,0
hin_train_track_a_00055,What? This month without any festival the bonus was announced!,0,0,0,1,0,1
hin_train_track_a_00056,"On the weekend, people cleaned their homes.",0,0,0,0,0,0
hin_train_track_a_00057,I felt like I was falling from a tall building and there was no safety net down there.,0,0,1,0,0,0
hin_train_track_a_00058,I am surprised to know that after Eid prayers there is a big meat feast!,0,0,0,0,0,1
hin_train_track_a_00059,That dream was really disgusting.,0,1,0,0,0,0
hin_train_track_a_00060,"I read an award-winning book yesterday, but it was about an accident, and I've been very sad ever since.",0,0,0,0,1,0
hin_train_track_a_00061,"In a car accident, my friend's son was seriously injured and three people died.",0,0,0,0,1,0
hin_train_track_a_00062,"On the night of Diwali, my dog was very frightened by the sound of firecrackers.",0,0,0,0,1,0
hin_train_track_a_00063,I am going to Delhi tomorrow morning.,0,0,0,0,0,0
hin_train_track_a_00064,"The family is just a name, there is no harmony, everything is meaningful.",1,0,0,0,1,0
hin_train_track_a_00065,I wore shoes today.,0,0,0,0,0,0
hin_train_track_a_00066,"We have warned you many times, now you will be punished severely.",1,0,0,0,0,0
hin_train_track_a_00067,"The campus has a parking lot, so students don't have to worry about it.",0,0,0,0,0,0
hin_train_track_a_00068,"In the name of fashion, they wore cheetahs with very bad colour and old-fashioned.",1,1,0,0,0,0
hin_train_track_a_00069,"The food is kept in the fridge, so you can eat it whenever you want.",0,0,0,0,0,0
hin_train_track_a_00070,"What's the use of me getting up so early to pack tiffin, you ate out again today.",1,0,0,0,1,0
hin_train_track_a_00071,"After all the training you've been given, you haven't learned anything, you've done everything wrong!",1,0,0,0,0,0
hin_train_track_a_00072,"I saw a tall black snake near the house, since then the heartbeat has increased.",0,0,1,0,0,0
hin_train_track_a_00073,A new shop has opened in our street.,0,0,0,0,0,0
hin_train_track_a_00074,"The collapse of the partnership has ruined our entire business plan, and I don't know what to do.",0,0,1,0,1,0
hin_train_track_a_00075,"There are a wide range of mobile phones available on online platforms, you have to choose according to your budget and needs.",0,0,0,0,0,0
hin_train_track_a_00076,Devdas is directed by Sanjay Leela Bhansali.,0,0,0,0,0,0
hin_train_track_a_00077,"The texture of the shades was strange and the colors were poor, it did not look good at all.",0,1,0,0,0,0
hin_train_track_a_00078,"I'm tired of my brother's hobby of painting, he leaves the colors scattered all over the house, I have to cover them!",1,0,0,0,0,0
hin_train_track_a_00079,Medicines should be taken only as per the doctor's advice.,0,0,0,0,0,0
hin_train_track_a_00080,"Butterflies are flying in the garden, new leaves are coming on the trees.",0,0,0,0,0,0
hin_train_track_a_00081,"Today, the lady made the food so spicy that my children could not eat anything.",1,0,0,0,0,0
hin_train_track_a_00082,"Because of the strange heel of this outfit, there is a fear of slipping and falling while walking on the ramp!",0,0,1,0,0,0
hin_train_track_a_00083,"I searched the entire market, but I couldn't find a single matching pair!",0,0,0,0,1,0
hin_train_track_a_00084,It's scary to see homework for the holidays.,0,0,1,0,0,0
hin_train_track_a_00085,"On the day of the NEET exam, my health suddenly deteriorated, it seems bad that I broke Dad's expectations.",0,0,0,0,1,0
hin_train_track_a_00086,It is a simple book with no special points.,0,0,0,0,0,0
hin_train_track_a_00087,"The supplier is sending bad goods again and again, I am going to complain about it in the union.",1,0,0,0,0,0
hin_train_track_a_00088,The college administration changed the exam schedule just one day before our final exams started. We will not tolerate such a mess with our future!!,1,0,0,0,0,0
hin_train_track_a_00089,The business is so bad that I can't even pay the salaries of the employees.,0,0,0,0,1,0
hin_train_track_a_00090,"The trip to the Sassuolo was a bit of a disappointment, as the atmosphere and people were very poor.",0,1,0,0,0,0
hin_train_track_a_00091,"The doctor has called for a regular check up, there is no need to worry.",0,0,0,0,0,0
hin_train_track_a_00092,"After winning the match, there is an atmosphere of celebration in the country.",0,0,0,1,0,0
hin_train_track_a_00093,"We are ready for war, the new strategy will work.",0,0,0,0,0,0
hin_train_track_a_00094,"Mamaji is fond of reading, she will get all kinds of books.",0,0,0,0,0,0
hin_train_track_a_00095,My mother's ritual has made him afraid of some evil.,0,0,1,0,0,0
hin_train_track_a_00096,"If there is a mistake in the design, the design will be damaged.",0,0,1,0,0,0
hin_train_track_a_00097,"Today's weather is normal, with temperatures hovering around 30 degrees Celsius.",0,0,0,0,0,0
hin_train_track_a_00098,"There is no place for honesty in the politics of this country, if one person does something good, everyone else unites against him.",1,0,0,0,0,0
hin_train_track_a_00099,This war is only the result of the whims of a mad ruler who has put the whole of humanity in danger today.,1,0,0,0,0,0
hin_train_track_a_00100,Every Sunday we clean.,0,0,0,0,0,0
hin_train_track_a_00101,I'm afraid that my brother will never recover from this huge loss in investment.,0,0,1,0,0,0
hin_train_track_a_00102,Political parties are adopting new strategies to attract young voters.,0,0,0,0,0,0
hin_train_track_a_00103,"Mary Nanda is a thief, but this time, anyone can see the mess in her house and be disgusted.",0,1,0,0,0,0
hin_train_track_a_00104,"I'm tired of the office environment, the pressure of work from above is too much.",1,0,0,0,1,0
hin_train_track_a_00105,"If I don't finish the project on time, I lose my promotion.",0,0,1,0,0,0
hin_train_track_a_00106,"My book collection is just eating up dust, no one wants to read them.",0,0,0,0,1,0
hin_train_track_a_00107,I submitted the project to the school.,0,0,0,0,0,0
hin_train_track_a_00108,Every week many movies are released.,0,0,0,0,0,0
hin_train_track_a_00109,"Paragliding was a great way to get to know the world around you, and it was a lot of fun.",0,0,0,1,0,0
hin_train_track_a_00110,"I was in the general coach, and the smell of dirt and smoke was everywhere.",0,1,0,0,0,0
hin_train_track_a_00111,"""These people are throwing plastic in the river, they are spreading garbage everywhere, these people should be punished severely.",1,0,0,0,0,0
hin_train_track_a_00112,"Yesterday's party was a lot of fun, dancing and singing with friends.",0,0,0,1,0,0
hin_train_track_a_00113,The team of India has made the whole country happy by winning the trophy with their brilliant performance in the T20 World Cup.,0,0,0,1,0,0
hin_train_track_a_00114,The security situation in the war zone is being regularly reviewed and necessary improvements are being made.,0,0,0,0,0,0
hin_train_track_a_00115,The bachelor party was organized on time.,0,0,0,0,0,0
hin_train_track_a_00116,I am saddened to see that today's young generation is making fun of our traditions.,0,0,0,0,1,0
hin_train_track_a_00117,While watching the movie Golmal in some scenes we all got laughing.,0,0,0,1,0,0
hin_train_track_a_00118,The hotel has a modern gym and I enjoyed working out.,0,0,0,1,0,0
hin_train_track_a_00119,"Due to the lack of facilities in the government library, I don't feel like coming here to study anymore, but there is no other choice.",0,0,0,0,1,0
