text,Anger,Fear,Joy,Sadness,Surprise
Whatever you decide to do make sure it makes you #happy.,0,0,1,0,0
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",1,0,1,0,0
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,0,0,1,0,0
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,1,0,0,0,0
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,0,0,1,0,0
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",1,0,0,0,0
it's pretty depressing when u hit pan on ur favourite highlighter,0,0,0,1,0
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,1,0,0,0,0
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,0,0,0,1,0
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,0,0,1,0,0
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,1,0,0,1,0
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,1,0,0,0,0
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,1,0,0,1,0
@BitchestheCat Look at those teef! #growl,1,1,0,0,0
Star trek online has a update to download oh fuming yay,1,0,1,1,0
"The bitter the battle, the sweeter the victory...",0,0,1,0,0
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,1,0,0,1,0
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,1,0,0,0,0
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,0,1,0,1,0
Awareness of time is awareness of time lost. #awareness #time ,0,0,1,0,0
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,1,0,0,0,0
@zorefx you guys will see what i did in the next video but its fucking horrid,1,1,0,1,0
What a fucking muppet.  @jRwild1  #stalker.,1,0,0,0,0
@adamrodricks I like your optimism!,0,0,1,0,0
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,1,0,1,0,0
@FaithHill I remember it well #happy #afraid #Positive,0,1,1,0,0
