id,text,anger,disgust,fear,joy,sadness,surprise
hin_test_track_c_00001,"Even after decorating my dream house, there is a feeling of emptiness inside.",,,,,,
hin_test_track_c_00002,Please stand in line and fill in the bill here.,,,,,,
hin_test_track_c_00003,"When new plants grow in the garden, the heart is very happy.",,,,,,
hin_test_track_c_00004,I really liked the glimpse of culture in this hand-printed saree. Thank you for giving me this saree.,,,,,,
hin_test_track_c_00005,"Every year, this festival reminds me of my past, which I want to forget now.",,,,,,
hin_test_track_c_00006,The scenes of fighting between prisoners in the prison are very scary.,,,,,,
hin_test_track_c_00007,Now people are also polluting the forests by throwing garbage!,,,,,,
hin_test_track_c_00008,The kids didn't like the clothes at all because they didn't match today's fashion trends.,,,,,,
hin_test_track_c_00009,"Hey! I don't know, it was raining today too, how did this rainbow come out!",,,,,,
hin_test_track_c_00010,"The plot was so good that I finished it in one go, it was fun.",,,,,,
hin_test_track_c_00011,The app crashes so often that it becomes difficult to work.,,,,,,
hin_test_track_c_00012,"Her favorite sweets are carrot halwa and rasgulla, but she eats any dessert.",,,,,,
hin_test_track_c_00013,Insulting people in the name of traditions is now out of the question!,,,,,,
hin_test_track_c_00014,"The look on his face after losing the movie, it broke my heart.",,,,,,
hin_test_track_c_00015,"There is a discount, but the quality is very poor.",,,,,,
hin_test_track_c_00016,We had a great time at the waterfall picnic and everyone was having a great time.,,,,,,
hin_test_track_c_00017,The Election Commission has announced the dates of all five phases of the upcoming Lok Sabha elections.,,,,,,
hin_test_track_c_00018,"Such a good sauce, I can't believe I made this.",,,,,,
hin_test_track_c_00019,I don't know what God wants my family to be like today.,,,,,,
hin_test_track_c_00020,I love teaching paper art to children.,,,,,,
hin_test_track_c_00021,The road was built overnight! We have never seen such work before!,,,,,,
hin_test_track_c_00022,"Paying off the huge debt is a difficult task, but I don't know how.",,,,,,
hin_test_track_c_00023,"Don't drive a fast scooter on your way to school, son, I'm worried!",,,,,,
hin_test_track_c_00024,The little things of the grandchild make my heart ache.,,,,,,
hin_test_track_c_00025,"It must be admitted that after this cleanliness campaign of the government, a beautiful atmosphere is being created in the city with cleanliness, new colours, diseases etc.",,,,,,
hin_test_track_c_00026,Is it possible to create such a structure from flowers? Ikebana's artistry is truly amazing.,,,,,,
hin_test_track_c_00027,"The sadness of the face engraved in that picture touched my heart, the sadness hidden in it cannot be expressed in words.",,,,,,
hin_test_track_c_00028,"Fashion trends change so fast, I don't understand how to stop children from spending money! So wasteful?? So much damage?? It's too much!!",,,,,,
hin_test_track_c_00029,"This time, the elderly people had to endure a lot of trouble.",,,,,,
hin_test_track_c_00030,"I used to love to travel, but now that I am disabled, I am confined to my home.",,,,,,
hin_test_track_c_00031,It is always good to make good use of time.,,,,,,
hin_test_track_c_00032,"Wow, this machine is so helpful! And it cleans so fast, I'm surprised to see it.",,,,,,
hin_test_track_c_00033,"The natural beauty of this place is unique, the views of these hills and the sound of the waterfalls delighted the mind.",,,,,,
hin_test_track_c_00034,Political parties have announced candidates in Kashmir and Haryana for the upcoming elections.,,,,,,
hin_test_track_c_00035,"If you have any side effects from the medication, do not ignore them and inform your doctor immediately.",,,,,,
hin_test_track_c_00036,Last night's happy dream made my day happy.,,,,,,
hin_test_track_c_00037,"Every time I go to sleep, my dreams remind me of what I've lost, how my bad situation ruined everything.",,,,,,
hin_test_track_c_00038,"During the festival, additional security forces are deployed at all public places.",,,,,,
hin_test_track_c_00039,"Today when I'm wearing these new design necklaces and earrings, I feel like the whole world is watching me, and I'm somewhere in the sky!",,,,,,
hin_test_track_c_00040,Amiro's cruise party has very disgusting behavior.,,,,,,
hin_test_track_c_00041,"We went there to get cheap stuff, but the quality was not good at all.",,,,,,
hin_test_track_c_00042,"Wow, your garden looks like a brand new one, how it changed so quickly!",,,,,,
hin_test_track_c_00043,The quality of food at the party was extremely poor.,,,,,,
hin_test_track_c_00044,"The trailer of the film seemed to be a simple story, but the director gave such twists that we were all surprised.",,,,,,
hin_test_track_c_00045,"If he is the son of a leader, will he give a car to anyone?",,,,,,
hin_test_track_c_00046,"In the time of trouble, I was deceived by those from whom I had hoped for help.",,,,,,
hin_test_track_c_00047,The film is so good that we were laughing at every scene.,,,,,,
hin_test_track_c_00048,The great performance of this new actor has shocked me!!,,,,,,
hin_test_track_c_00049,"The players are making the same mistake over and over again, they have ruined my entire strategy!",,,,,,
hin_test_track_c_00050,Technical experts have been called in to repair and maintain the agricultural equipment.,,,,,,
hin_test_track_c_00051,"Heavy rains have caused cracks in the dam, a major accident could happen at any time, people are panicking in fear of disaster.",,,,,,
hin_test_track_c_00052,The river water is so dirty that it cannot be used.,,,,,,
hin_test_track_c_00053,"With each challenge, the scope of my expectations was gradually narrowing, and it seemed like a miracle to win this one.",,,,,,
hin_test_track_c_00054,The hotel's luxurious rooms and the company of friends made this day very special.,,,,,,
hin_test_track_c_00055,The college administration suppressed the voice of the students and promoted the candidates of their choice! This is not an election but a big fraud!,,,,,,
hin_test_track_c_00056,The architecture of this building is a combination of modern and traditional elements.,,,,,,
hin_test_track_c_00057,"My brother often goes skydiving, I worry about him.",,,,,,
hin_test_track_c_00058,"I've never seen a new designer's first dress be so popular on such a big stage, such a wonderful design and style, this dress is truly unprecedented!",,,,,,
hin_test_track_c_00059,What did Amma make for breakfast today?,,,,,,
hin_test_track_c_00060,"In cold regions, never play with snow on the road or on the shore, except for mud and what dirt is accumulated in it!",,,,,,
hin_test_track_c_00061,Why is it taking so long to cook?? The whole day is passing by!!,,,,,,
hin_test_track_c_00062,The fear of getting sick from such humidity in the environment is persisting.,,,,,,
hin_test_track_c_00063,The relationship between uncle and nephew has been broken by misunderstanding.,,,,,,
hin_test_track_c_00064,"The sudden arrival of the Chief Minister in the school changed the whole atmosphere, everyone was in a panic.",,,,,,
hin_test_track_c_00065,"The hotel is very untidy, with dust and dirt in every corner.",,,,,,
hin_test_track_c_00066,The sharp decline in the stock market has been causing concern among traders.,,,,,,
hin_test_track_c_00067,"I have a new teacher in the class, but I miss the old one.",,,,,,
hin_test_track_c_00068,I have come to hate love that is only for show.,,,,,,
hin_test_track_c_00069,"""These worthless things have made my house a ruin and a desolation.""",,,,,,
hin_test_track_c_00070,"I am happy that with the help of new technology, I can now study anywhere, anytime.",,,,,,
hin_test_track_c_00071,"He's done the course, now in anger he hacked my account and made a mistake?",,,,,,
hin_test_track_c_00072,What's the matter! You guys give away new iPhones here too!,,,,,,
hin_test_track_c_00073,The hotel manager handled the check-in and check-out procedures in a streamlined manner.,,,,,,
hin_test_track_c_00074,"Don't go too deep in the water during Ganesha immersion, I'm afraid.",,,,,,
hin_test_track_c_00075,"""After this disappointing performance, all our hopes of winning have been dashed.",,,,,,
hin_test_track_c_00076,"I am very surprised to get an invitation to his wedding, we have not even met properly for many years!",,,,,,
hin_test_track_c_00077,"Man, the number of bugs in your software, the manual system was better!",,,,,,
hin_test_track_c_00078,"It's shocking because I started making bamboo sculptures a few months ago, and now my work is being exhibited in a gallery!",,,,,,
hin_test_track_c_00079,"In the war, the enemy suddenly used some new kind of missiles to surprise us!",,,,,,
hin_test_track_c_00080,"Today at the fair, we got the cotton candy after years.",,,,,,
hin_test_track_c_00081,Wow! You didn't even tell me that you brought me a marble showpiece from Jabalpur!,,,,,,
hin_test_track_c_00082,"The shops here sell household goods, the clothing market is on the other side.",,,,,,
hin_test_track_c_00083,"There are gunshots coming from all directions, fear is increasing.",,,,,,
hin_test_track_c_00084,"What's going on, the moment I'm raining, the moment I'm sunbathing, how wet it is.",,,,,,
hin_test_track_c_00085,"I enjoyed going to the live concert of my favorite artist, it is an unforgettable experience.",,,,,,
hin_test_track_c_00086,"If the infection is not treated in time, I fear it could spread to other parts of my body.",,,,,,
hin_test_track_c_00087,"I was amazed to see the computer lab in the government school, it is equipped with so many new facilities.",,,,,,
hin_test_track_c_00088,Did you see? That goal was scored at the very last minute! I was really shocked!,,,,,,
hin_test_track_c_00089,All the people of the house worship in the morning.,,,,,,
hin_test_track_c_00090,There are irregularities in the payment of salaries in this institution as the manager is very poor in terms of salary.,,,,,,
hin_test_track_c_00091,I'm so tired of ruining my sleep by turning off your alarm in the morning! Why do you set the alarm when you don't have to get up?,,,,,,
hin_test_track_c_00092,I have a passion for drawing and I have been teaching children to draw.,,,,,,
hin_test_track_c_00093,"It is a pity that as soon as our leader came, people started chanting ""Go back"", they should have at least listened to Netaji.",,,,,,
hin_test_track_c_00094,Going into the dark caves there was extremely scary.,,,,,,
hin_test_track_c_00095,The city is full of garbage heaps.,,,,,,
hin_test_track_c_00096,"The hard work paid off, and the painting sold so well that my happiness doubled.",,,,,,
hin_test_track_c_00097,She suddenly came in front of me.,,,,,,
hin_test_track_c_00098,"On this very day last year, our friend left us all!",,,,,,
hin_test_track_c_00099,"It's like a restaurant, how did you learn to cook so well? When and how did I not know until now!",,,,,,
hin_test_track_c_00100,The flowers blooming in the garden and the sparkling lilies made my day in the morning!,,,,,,
hin_test_track_c_00101,"Look, I bought this brand bag at half price! Bargaining is the real fun of shopping!",,,,,,
hin_test_track_c_00102,"Suddenly, my bank account was locked and I was very worried.",,,,,,
hin_test_track_c_00103,My skin is starting to shine again! I'm applying moisturizer regularly and eating a balanced diet.,,,,,,
hin_test_track_c_00104,The heavy rains have made the streets muddy and difficult to navigate.,,,,,,
hin_test_track_c_00105,I've never seen a machine that can dry clothes so quickly in a bag.,,,,,,
hin_test_track_c_00106,"We're both here, and when we're all together, the fun of the game just keeps getting better.",,,,,,
hin_test_track_c_00107,The entire country rejoiced at the return of Wing Commander Abhinandan.,,,,,,
hin_test_track_c_00108,There are fears of riots in the city and all the games will be cancelled.,,,,,,
hin_test_track_c_00109,I don't think it's safe to travel alone on the train.,,,,,,
hin_test_track_c_00110,"After playing so well, he could not be selected in the National.",,,,,,
hin_test_track_c_00111,"Let's stop joking, uncle and we are all going to watch a cricket match?!!!",,,,,,
hin_test_track_c_00112,"The restaurant next door is so dirty, I can't even think of eating anything there.",,,,,,
hin_test_track_c_00113,This beautiful evening with you is very special to me.,,,,,,
