id,text,anger,disgust,fear,joy,sadness,surprise
ibo_train_track_a_00001,You will starve to death ##URL##,1,0,0,0,0,0
ibo_train_track_a_00002,Peace to you from God through Christ our Lord. Amen. Praise be to God.,0,0,0,1,0,0
ibo_train_track_a_00003,leave a fool,0,1,0,0,0,0
ibo_train_track_a_00004,"Baby okay, Baby sharp, coconut shell... Ooh Bolanle... I ♥ u @<username> jare ##URL## I'm going to take a shower and I'm going to take a shower.",0,0,0,1,0,0
ibo_train_track_a_00005,"@<username> It's also awesome. God lomance, I'm in your hands.",0,0,1,0,1,0
ibo_train_track_a_00006,God give you wealth and I will give you a zillion folds. ❤️ ##URL##,0,0,0,1,0,0
ibo_train_track_a_00007,our god is a tyrant ehh a tyrant ehh,0,0,0,1,0,0
ibo_train_track_a_00008,"@<username> Hurry up, I'm tired. Fix your shot.",0,0,0,0,1,0
ibo_train_track_a_00009,Hey... bananas... this is also alcohol.. as in liquor  ##URL##,0,0,0,0,0,1
ibo_train_track_a_00010,@<username> It's a piece of fastener.,0,1,0,0,0,0
ibo_train_track_a_00011,@<username> They have changed everything with their protocol.,0,0,0,0,1,0
ibo_train_track_a_00012,Francis is a good son of Owerri ##URL##,0,0,0,0,0,0
ibo_train_track_a_00013,"@<username> Gbam! The one we are angry with please take him away, his calf's tail please kill him!!!",1,0,0,0,0,0
ibo_train_track_a_00014,@<username> Ha! Thank God your fine. Didn't anyone die?,0,0,1,0,0,0
ibo_train_track_a_00015,<unk>A piece of morals for the people of the country<unk> ~ @<username> ##URL##,0,1,0,0,0,0
ibo_train_track_a_00016,"@<username> Dem be like ""the two crazy ones""",0,1,0,0,0,0
ibo_train_track_a_00017,@<username> Sorry about that,1,0,0,0,0,0
ibo_train_track_a_00018,itff do naaa tricky tired,0,0,0,0,1,0
ibo_train_track_a_00019,"@<username> @<username> @<username> Lauretta Onochie, your head is fine!!!",0,1,0,0,0,0
ibo_train_track_a_00020,@<username> God bless the girls with beauty! Come carry your feet and bless them with strength,0,0,0,0,0,0
ibo_train_track_a_00021,@<username> @<username> @<username> The problem is also here...,0,0,1,0,0,0
ibo_train_track_a_00022,@<username> Happy birthday mama J&amp;J... Long life and good health ,0,0,0,1,0,0
ibo_train_track_a_00023,"@<username> Odogwu, God has done what he has to be King. We have gone, come in and have any problems.",0,0,0,1,0,0
ibo_train_track_a_00024,@<username> #BussItChallenge killed you right there ##URL##,1,0,0,0,0,0
ibo_train_track_a_00025,<unk> Onyedikagi Ekene is for you Onyene mema <unk>,0,0,0,0,0,0
ibo_train_track_a_00026,"Thank you Arsene #Wenger. He is crying, but he is crying. #OnceUponATime #TheLegendaryOfArseneWenger ##URL##",0,0,0,0,1,0
