id,text,anger,disgust,fear,joy,sadness,surprise
rus_train_track_a_00001,"Every individual is a product not only of existing relationships, but also of the history of those relationships.",0,0,0,0,0,0
rus_train_track_a_00002,It's disgusting.,0,1,0,0,0,0
rus_train_track_a_00003,I'm in a fucking shock. I'm going to get a drink.,0,0,0,0,0,1
rus_train_track_a_00004,My back hurts so much.,0,0,0,0,1,0
rus_train_track_a_00005,"Leah, I'm scared",0,0,1,0,0,0
rus_train_track_a_00006,This soothing tea smells like crap.,0,1,0,0,0,0
rus_train_track_a_00007,"Tomorrow is the Algebra class, and I'm on the subject of the ball.",0,0,1,0,0,0
rus_train_track_a_00008,"""In our lives there are always people we avoid, and there are others we change our route to meet.""",0,0,0,0,0,0
rus_train_track_a_00009,"""I've got two people asking me what books I should read to learn C++ and Java, and I have something to say.",0,0,0,0,0,0
rus_train_track_a_00010,"I woke up before the alarm clock, slept in and was ready for the working day. #goodmorning",0,0,0,1,0,0
rus_train_track_a_00011,Stop torturing me!!!!!!!,1,0,0,0,0,0
rus_train_track_a_00012,What am I?,0,0,0,0,0,1
rus_train_track_a_00013,"I dream that I'm afraid of heights and I'm standing on a high roof, and the most terrible sensations in a dream are never so scary.",0,0,1,0,0,0
rus_train_track_a_00014,Now I'm terrified to imagine myself like this at 40.,0,0,1,0,0,0
rus_train_track_a_00015,We liked it. Give it to us again.,0,0,0,1,0,0
rus_train_track_a_00016,"I've just woken up, my health is terrible, my temperature is so high, my head weighs a ton, I can barely walk.",0,0,0,0,1,0
rus_train_track_a_00017,"I can guess what show it is from the tweets, it was not difficult.",0,0,0,0,0,0
rus_train_track_a_00018,The TP in the chewing gum is disgusting.,0,1,0,0,0,0
rus_train_track_a_00019,"Oh, it's Sunday. And on Monday, three Russians...",0,0,0,0,1,0
rus_train_track_a_00020,"I'm used to this man every day, and thoughts, thoughts...",0,0,0,1,0,0
rus_train_track_a_00021,I've been doing my homework for a long time. I'm sitting here looking at the pages of the magazine.,0,0,0,0,0,0
rus_train_track_a_00022,"""It's a pity that all patience comes to an end, I broke up with my best friend today and lost her... so painful... emptiness... """,0,0,0,0,1,0
rus_train_track_a_00023,I'm ready to explode with anger!,1,0,0,0,0,0
rus_train_track_a_00024,"Wow, you dyed your hair purple, too?",0,0,0,0,0,1
rus_train_track_a_00025,"I'm surprised at how well the voice search works, it even recognizes my ""tubular interstitial nephrite"" right away.",0,0,0,0,0,1
rus_train_track_a_00026,"I have collected 77,465 gold coins! Who among you can do more?",0,0,0,1,0,0
rus_train_track_a_00027,College is just a million times better than school.,0,0,0,1,0,0
rus_train_track_a_00028,I hate it when my hair smells like food.,1,1,0,0,0,0
rus_train_track_a_00029,Just type in the search engine and they'll give you everything.,0,0,0,0,0,0
rus_train_track_a_00030,I'm scared to death.,0,0,1,0,0,0
rus_train_track_a_00031,"""Why is it so bad, get away from me, please?""",1,0,0,0,1,0
rus_train_track_a_00032,- 32 and you can't go to school!,0,0,0,1,0,0
rus_train_track_a_00033,"Yes, I'm afraid to go to algebra class.",0,0,1,0,0,0
rus_train_track_a_00034,I sat and watched the whole race for a reason.,0,0,0,1,0,0
rus_train_track_a_00035,#Mila #10_01 #Thank you for your #emotions #love,0,0,0,1,0,0
rus_train_track_a_00036,"Hate is so simple: here you are, here I am, and I hate you.",1,0,0,0,0,0
rus_train_track_a_00037,I can't stand this bald and naked woman. Where's the snow? Where's the frost? I can't tell December from March.,1,1,0,0,0,0
rus_train_track_a_00038,"""I'm human, and you hate people, but you communicate with me, where's the logic?""",1,0,0,0,0,0
rus_train_track_a_00039,"In fact, autonomous regions and regions have more opportunities, according to the Constitution.",0,0,0,0,0,0
rus_train_track_a_00040,"I'm so afraid to donate blood from a vein, I've been telling the nurse not to do it for so long.",0,0,1,0,0,0
rus_train_track_a_00041,What is it? What is it?,0,0,0,0,0,1
rus_train_track_a_00042,I hate fucking physics!,1,1,0,0,0,0
rus_train_track_a_00043,Perhaps the best way to know if you can trust someone is to just trust them.,0,0,0,0,0,0
rus_train_track_a_00044,When we were supposed to feed this shit.,0,0,0,0,1,0
rus_train_track_a_00045,I want beautiful nails again tomorrow.,0,0,0,1,0,0
rus_train_track_a_00046,"I was soaked in black oil from watching the movie ""Nymphomaniac,"" a filthy movie, like the heroine herself.",0,1,0,0,0,0
rus_train_track_a_00047,"""In the year 2013, I was sucked in by a single cat, a pimp, and I was in a hurry to kiss him.",0,1,0,0,0,0
rus_train_track_a_00048,The story was given orally to five.,0,0,0,1,0,0
rus_train_track_a_00049,You can die. You can die.,1,0,0,0,0,0
rus_train_track_a_00050,It's good not to study on Saturdays.,0,0,0,1,0,0
rus_train_track_a_00051,They talk about an English philosopher. His name is John Locke.,0,0,0,0,0,0
rus_train_track_a_00052,Why the fuck are you in my house acting like you're in your own?,1,0,0,0,0,0
rus_train_track_a_00053,Why do I know that?,0,0,0,0,1,0
rus_train_track_a_00054,"Well, it's almost New Year's Eve, and it's coming soon!",0,0,0,1,0,0
rus_train_track_a_00055,"I haven't seen Kirill in ten years, and then we met.",0,0,0,1,0,1
rus_train_track_a_00056,"After that, I want to knock, but there's an exam ahead!",1,0,0,0,0,0
rus_train_track_a_00057,I have to try to sleep. I feel really bad.,0,0,0,0,1,0
rus_train_track_a_00058,The thought of death is scarier than death.,0,0,1,0,0,0
rus_train_track_a_00059,"Good morning, good day, good evening, and then what's wrong?",0,0,0,1,0,0
rus_train_track_a_00060,"The same dream repeats itself every day. The last day, the last touch.",0,0,1,0,0,0
rus_train_track_a_00061,"I'm going, I'll be back in a couple of hours.",0,0,0,0,0,0
rus_train_track_a_00062,"Mommy came home from work, brought candy.",0,0,0,1,0,0
rus_train_track_a_00063,"I'm putting my trust in your promises and your words, because don't waste it all.",1,0,0,0,0,0
rus_train_track_a_00064,Did you hear that my class and I are going to St. Peter's?,0,0,0,1,0,0
rus_train_track_a_00065,I am also impressed by the behavior of the Church in the current situation.,0,0,0,0,0,1
rus_train_track_a_00066,I guess I 'll go read.,0,0,0,0,0,0
rus_train_track_a_00067,You can always lean on the floor.,0,0,0,0,0,0
rus_train_track_a_00068,I'm finally home. I've got a headache. I'm going to work early.,0,0,0,0,1,0
rus_train_track_a_00069,Each of us will have someone who will take all our cockroaches and make them friends with his own.,0,0,0,0,0,0
rus_train_track_a_00070,It's a boring day.,0,0,0,0,1,0
rus_train_track_a_00071,"Well, I just love my family!!!!",0,0,0,1,0,0
rus_train_track_a_00072,"Oh, my God! Come on, baby, you have to light it up.",0,0,0,1,0,0
rus_train_track_a_00073,I'm really scared of him.,0,0,1,0,0,0
rus_train_track_a_00074,Read more,0,0,0,0,0,0
rus_train_track_a_00075,Microsoft has released a simple constructor for Windows,0,0,0,0,0,0
rus_train_track_a_00076,"I'm in shock myself, how many heads I've found from Bryansk, I'm already losing faith that I live in the bottom.",0,0,0,0,0,1
rus_train_track_a_00077,It was nice to see you.,0,0,0,1,0,0
rus_train_track_a_00078,Maybe at least make a new year's tweet.,0,0,0,0,0,0
rus_train_track_a_00079,I miss you.,0,0,0,0,1,0
rus_train_track_a_00080,"He gives us some papers, and in class we write 10 pages.",1,0,0,0,0,0
rus_train_track_a_00081,They didn 't give me a fucking phone.,1,0,0,0,1,0
rus_train_track_a_00082,"I'm very scared, I'm scared, how scared",0,0,1,0,0,0
rus_train_track_a_00083,"Every child will do it clearly and unmistakably, if only you really watch and listen.",0,0,0,0,0,0
rus_train_track_a_00084,"""What the fuck, why do those who never work on Saturdays rest for three days, and those who study on Saturdays for a lifetime rest for two?""",1,0,0,0,0,0
rus_train_track_a_00085,Mendeleev is the one who made millions in Alaska with his daydream!,1,0,0,0,0,0
rus_train_track_a_00086,We still have to go to V.V. to pass the history.,0,0,0,0,0,0
rus_train_track_a_00087,"Yuna, you're always surprising me with your achievements.",0,0,0,1,0,1
rus_train_track_a_00088,"People, great news, schools have been closed for quarantine.",0,0,0,1,0,0
rus_train_track_a_00089,Not at all unexpected.,0,0,0,0,0,1
rus_train_track_a_00090,I'm tired of being a little sunshine.,1,0,0,0,0,0
rus_train_track_a_00091,I need to download it.,0,0,0,0,0,0
rus_train_track_a_00092,Ura: We've got the old Twitter design back.,0,0,0,1,0,0
rus_train_track_a_00093,"If you have a valid subscription, please go to your personal account.",0,0,0,0,0,0
rus_train_track_a_00094,"Answer me, you idiot",1,0,0,0,0,0
rus_train_track_a_00095,Stupid computer scientist,1,0,0,0,0,0
