id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
rus_dev_track_c_00001,"As always, the hookers will set",,,,,,
rus_dev_track_c_00002,No one knows the power of his abilities until he has experienced them.,,,,,,
rus_dev_track_c_00003,Oh!!) 62 from the first time,,,,,,
rus_dev_track_c_00004,"Great! I can only sit on Twitter, and so I want to talk to you (( or that you write to me!!!",,,,,,
rus_dev_track_c_00005,Yes! I did it!! Mom is leaving!)))))),,,,,,
rus_dev_track_c_00006,Pisdos!!!,,,,,,
rus_dev_track_c_00007,hers waited,,,,,,
rus_dev_track_c_00008,I and punctuality are not exactly synonymous.,,,,,,
rus_dev_track_c_00009,Wants to tear and throw. It's unfair. Why did I become guilty? Why do they believe his lies?.. #injustice #bitch,,,,,,
rus_dev_track_c_00010,Crazy Laziness!!,,,,,,
rus_dev_track_c_00011,go naked with your presents,,,,,,
rus_dev_track_c_00012,Airlines to stimulate passengers for mobile payments,,,,,,
rus_dev_track_c_00013,Attempt to install VLC was unsuccessful(((,,,,,,
rus_dev_track_c_00014,"I can't even look at you both, that's how disgusting it is to me",,,,,,
rus_dev_track_c_00015,"The way she acted tonight is a girl .. it is generally disgusting, although it is not my business but portable became so that bleeding pulled",,,,,,
rus_dev_track_c_00016,It's been a long time since I've been here.,,,,,,
rus_dev_track_c_00017,I play GTA online on the server samp.rp My nickname Slava_Ramires,,,,,,
rus_dev_track_c_00018,Crazy scary that all this will soon end,,,,,,
rus_dev_track_c_00019,#chanel #5 #chanel5 #challenging,,,,,,
rus_dev_track_c_00020,"They have some jobs, uh-huh-huh(((( very bad, hope that tomorrow will solve everything",,,,,,
rus_dev_track_c_00021,"I have no pen, no leaf and a lot of debts #lazy #session #bitch",,,,,,
rus_dev_track_c_00022,"Remember, sometimes silence is the best answer to questions.",,,,,,
rus_dev_track_c_00023,"This section will interest both specialists in this sphere, and those who simply want to solve the apartment issue.",,,,,,
rus_dev_track_c_00024,"On this your fuckin' mac you can memory put not carries it to moscow on the service, eh?",,,,,,
rus_dev_track_c_00025,I am thirsty for the 2nd day already.,,,,,,
rus_dev_track_c_00026,"If you have already connected the tariff plan “home-minimum” and the package of services “optimal”, please go through the authorization procedure.",,,,,,
rus_dev_track_c_00027,really?,,,,,,
rus_dev_track_c_00028,"Interestingly, Guf will one day disappear and stop reading, and then his tracks became too disgusting, full of shit...",,,,,,
rus_dev_track_c_00029,"I can't believe that I finally go to the movies after a break of almost a month... On ""Captain Phillips""!",,,,,,
rus_dev_track_c_00030,"How did these ""Clean Lemon,"" ""Clean Sea,"" ""Clean Shrimp"" get laid?",,,,,,
rus_dev_track_c_00031,"On the right sits a cow, kicked me, bitch yawns and talks in broken English and sucks with her boyfriend, sounds dreadful",,,,,,
rus_dev_track_c_00032,Weather for the week: December 31 - +4-5 °C #PIZZEC,,,,,,
rus_dev_track_c_00033,# # # # # # # # # # #,,,,,,
rus_dev_track_c_00034,About PR Writing in Ls,,,,,,
rus_dev_track_c_00035,"Wow we have silver in biathlon!!! Girls young, I did not expect!",,,,,,
rus_dev_track_c_00036,you look at your best friend and with him there is some whore and flirts with him.,,,,,,
rus_dev_track_c_00037,I'm afraid even to leave the house now,,,,,,
rus_dev_track_c_00038,I'm such a nervous fucker,,,,,,
rus_dev_track_c_00039,I am very afraid that I will be released from Gli.,,,,,,
rus_dev_track_c_00040,"For the dream to come true, it is necessary to be able to wait, to think, to be patient.",,,,,,
rus_dev_track_c_00041,"The guitar stinks because it falls all the time, beats everything and the lacquer melts together with the paint, stinks",,,,,,
rus_dev_track_c_00042,"I will go to court anyway. Terribly, honestly speaking, but otherwise, I feel, I will be much less respected. #painful",,,,,,
rus_dev_track_c_00043,The saddest moment is when Kate is killed ((((((,,,,,,
rus_dev_track_c_00044,"She was always afraid that if any part of my body went outside the bed, someone would grab her. She led a cat, the dream materialized",,,,,,
rus_dev_track_c_00045,"Institute of marriage, family traditions, priority of virginity, love to the grave and other values are characteristic of people of type A.",,,,,,
rus_dev_track_c_00046,"The Kremlin is characterized by a low culture, a lack of logic, ignorance and hypocrisy.",,,,,,
rus_dev_track_c_00047,"I begin to fear my thoughts, for in them I want to stay with you forever",,,,,,
rus_dev_track_c_00048,"How boring we walk, I have a headache:(((",,,,,,
rus_dev_track_c_00049,And I'm just terrified,,,,,,
rus_dev_track_c_00050,"It is necessary to move forward, changing the trajectory according to the events taking place along the way.",,,,,,
rus_dev_track_c_00051,"бл*ть, tomorrow to the Military Staff(((",,,,,,
rus_dev_track_c_00052,to me vk guy sent a gift for 10 votes. I am shocked. We communicated with him 2 times in 2012,,,,,,
rus_dev_track_c_00053,"bitch, well why have not yet come up with a way to edit tweets, but",,,,,,
rus_dev_track_c_00054,From Monday I sit behind the controls.,,,,,,
rus_dev_track_c_00055,in general chic!! I love the evening of Friday and all Saturday and on Sunday there is no such feeling :S,,,,,,
rus_dev_track_c_00056,"And my nephew was born!! Yegor, 2700g!! Born November 30, 2013!!)))))))",,,,,,
rus_dev_track_c_00057,Such a state is disgusting,,,,,,
rus_dev_track_c_00058,"This bitch answered me. at each dumb stubborn only one excuse ""it's my opinion"" go fuck with your opinion",,,,,,
rus_dev_track_c_00059,"I am so tired to forgive everyone, you are so all lies, in every word deceit, ugly and disgusting ...",,,,,,
rus_dev_track_c_00060,"I don't hate people who bleed out because they don't swell, they don't smoke, they don't frown. You just lose everything.",,,,,,
rus_dev_track_c_00061,"This morning the snow was rolling under my feet, I always liked it, but today it upset me.",,,,,,
rus_dev_track_c_00062,"This is the mind, understanding, the ability to accept the truth of others without contempt",,,,,,
rus_dev_track_c_00063,"These pieces of wood are so ugly that it is expressed in pink. Dark, disgusting people.",,,,,,
rus_dev_track_c_00064,Timur goes to the Hui with his jokes,,,,,,
rus_dev_track_c_00065,"Small, but nice :)",,,,,,
rus_dev_track_c_00066,I'm scared to leave my house :s,,,,,,
rus_dev_track_c_00067,Gifts from Kazan:))) #cannotshow,,,,,,
rus_dev_track_c_00068,terrorist attacks,,,,,,
rus_dev_track_c_00069,WHAT DID YOU DO IN THE ISLAND OF JA??!!,,,,,,
rus_dev_track_c_00070,Uebu with feet in trace. times,,,,,,
rus_dev_track_c_00071,Excellent walk . The mood tickles,,,,,,
rus_dev_track_c_00072,">I couldn't take money off my card because of you guys. I can't pay the premiums in tanks, I'm fucked with my revolutions. #euromaidan",,,,,,
rus_dev_track_c_00073,"#sledui Aa congratulate me, on social sciences for score 5 )",,,,,,
rus_dev_track_c_00074,at 3:13 a.m. - time to go for a walk with the dog,,,,,,
rus_dev_track_c_00075,It scares me a little bit... what it can lead to...,,,,,,
rus_dev_track_c_00076,I'm violently freaked out when a skinny girl says she's fat Shut up and enjoy your figure,,,,,,
rus_dev_track_c_00077,There are so many negative emotions in me that I can hear my ass coming from them one day. I will blow up to the mother of hell,,,,,,
