id,text,anger,disgust,fear,joy,sadness,surprise
ron_train_track_a_00001,"What a surprise, what a wonderful day, what a wonderful invitation, you've started off on the right foot, you've had a fabulous year.",0,0,0,1,0,1
ron_train_track_a_00002,The MPs want jail for those who don't seem patriotic enough,0,0,0,0,0,0
ron_train_track_a_00003,The press conference was held at 10:30 a.m. and the first public statement of the minister was made after the minister asked for the agreement of the MAIBOR.,0,0,0,0,0,1
ron_train_track_a_00004,"I've been following him for a while now on youtube, instagram and FB. he's a man with a spine.",0,0,0,1,0,0
ron_train_track_a_00005,I've had some strange dreams that I can't really describe and that don't seem serious at all but that scare me and now I'm afraid to go back to sleep I only slept for about 15 minutes,0,0,1,0,0,1
ron_train_track_a_00006,"Thank you for this wonderful article, I have a lot to learn from you and you are a wonderful person.",0,0,0,1,0,1
ron_train_track_a_00007,The war between the priests and the representatives of the state of Comoara stirs up conflicts,0,1,0,0,0,1
ron_train_track_a_00008,The effects of global warming in 2020 Romania the biggest drought in the last 60 years <unk>URL>...,0,0,1,0,1,0
ron_train_track_a_00009,"""I'm not going to do business with the oil terminal.",0,0,0,0,0,0
ron_train_track_a_00010,The Felicity Recorder is the best of the best.,0,0,0,1,0,0
ron_train_track_a_00011,"Greetings from Germany, we are happy and thank you for posting this kind of show on youtube.",0,0,0,1,0,0
ron_train_track_a_00012,It was brilliant <>PERSON<> you are woaw maximum gratitude for this Podcast <unk>,0,0,0,1,0,1
ron_train_track_a_00013,"I have a neighbor who lives alone, 94 years old, with a heart condition, and he wears pants, and he's three-quarters of his height, and he's got a sore throat, and he's afraid of the coronavirus, and he's got a wicked smile, and he's embarrassed to watch TV, and he still doesn't understand what the cure is for his CV.",0,0,0,1,0,1
ron_train_track_a_00014,The biggest surprise in Bucharest is the PSD's victory.,0,0,0,0,0,1
ron_train_track_a_00015,A man who deserves all the respect ,0,0,0,1,0,1
ron_train_track_a_00016,The nuclear threat is hidden from the eyes of all.,0,0,1,0,0,0
ron_train_track_a_00017,"It's a great show, I don't watch much TV, but I love this show and the kids love it. Congratulations on all the work you've done.",0,0,0,1,0,1
ron_train_track_a_00018,China has quarantined a city after an alarming rise in cases.,0,0,1,0,0,0
ron_train_track_a_00019,"Words cannot express what I felt, it is the feeling that you have planted in my heart, I am in front of you, thank you, there is hope.",0,0,0,1,0,1
ron_train_track_a_00020,"I'm not sure if this is the best place to visit in Dubai, but I've been here for 8 years and I've always been fascinated by the beauty of the city.",0,1,0,0,1,0
ron_train_track_a_00021,"She is a true role model, and one that I have seen very rarely in my life, so I respect her as a mother.",0,0,0,1,0,1
ron_train_track_a_00022,The anarchist taxi driver Bucuresti,0,0,0,0,0,0
ron_train_track_a_00023,A walk through the places you recommended I go.,0,0,0,0,0,0
ron_train_track_a_00024,The maximum despair in the PSD.,0,1,0,0,0,0
ron_train_track_a_00025,It dehumanizes you as a man I didn't even agree with the quarantine in Romania I was pushed to the extreme Sunam in Romania and I heard on the phone those horrible screams at the spokesman with <unk> Stati in case Stati in case <unk> Mi,1,1,1,0,1,1
ron_train_track_a_00026,<<PERSON> You are very beloved You are the pride of the country <unk>,0,0,0,1,0,0
ron_train_track_a_00027,I don't trust the independent justice department at all. I'm talking about the criminal justice department.,1,1,0,0,0,0
ron_train_track_a_00028,"""Eugene is a professional with classmates.""",0,0,0,1,0,0
ron_train_track_a_00029,"If they don't have a union of their own, they've written what's on their minds. Tara's Papura.",1,1,0,0,1,0
ron_train_track_a_00030,The DNA report that puts the cross on the business of the century,0,0,0,0,0,0
ron_train_track_a_00031,A captivating dialogue relaxed with easy ironic attempts that give me charm Thank you,0,0,0,1,0,0
ron_train_track_a_00032,"I'm a big fan of the Super Bowl, and I've been listening to a lot of the talk shows on the big screen.",0,0,0,1,0,1
