id,text,anger,disgust,fear,joy,sadness,surprise
ary_dev_track_c_00001,The Public Prosecutor's Office sent a group of counselors to the prison. They were given hashish and garlic for my parents in the kindergarten.,0,0,0,0,0,1
ary_dev_track_c_00002,The corrupt state hopes that this demonstration will last until COpositive22 exposes the corrupt to the world,1,0,0,0,0,0
ary_dev_track_c_00003,@<username> @<username> hhhhhhhhhhh dahktinii ou makan fya li dhhakzidi chi3er hhhhhhh,0,0,0,1,0,0
ary_dev_track_c_00004,Share this with your beloved father. May Allah have mercy on him.,0,0,0,0,1,0
ary_dev_track_c_00005,@<username> 60% kigolo howa ana l9ito msarab galt nhato lbnat hna This is the first time I've seen this.,0,0,0,0,0,0
ary_dev_track_c_00006,Humiliate the one you live with and you become the laughing stock of the world.,1,1,0,0,0,0
ary_dev_track_c_00007,Leaks of the Cotéris report. The United Nations is afraid of the Polisario's war threats,0,0,1,0,0,0
ary_dev_track_c_00008,"I'm not sure if I'm going to be able to make it, but I'm going to be able to make it.",0,0,0,0,1,0
ary_dev_track_c_00009,@<username> @<username> hhhhh matgolich lia khtha mzwja charf lmdloula galt bli great 3liha ghir b 6 ans also known as,0,1,0,0,0,0
ary_dev_track_c_00010,The court ordered the journalists attending the session to be reconciled on the 20th of March and to continue their work on the session.,0,0,0,0,0,0
ary_dev_track_c_00011,"My boyfriend's in a neighborhood in the suburbs, and he's got a cop on him, and he's breaking into cars, and he's out of jail.",1,0,1,0,0,0
ary_dev_track_c_00012,Millions of exciting deals are passing through the scientific deadline of a parliamentary state's life.,0,0,0,0,0,1
ary_dev_track_c_00013,Authorities in Melilla detained five minors after they protested against a shelter they were not allowed to enter.,1,0,0,0,0,0
ary_dev_track_c_00014,The Italians and the Moroccan mentality. The Italian police have prevented a Moroccan from completing his way to Tangier after his entire salon collapsed on top of the Tonopilto.,0,0,0,0,0,1
ary_dev_track_c_00015,3 and 4ir sawlt 9aloli momkin nsawt bnfs l2imayl fga3 lfi2at sa3a mara kayt9bl mara la glt ila 3andk chi 7al,0,0,0,0,1,0
ary_dev_track_c_00016,Why is Saudi Arabia on our side? Morocco has been on our side for nine years: the man ran away and the player ran away + video,1,1,0,0,1,0
ary_dev_track_c_00017,@<username> hhhhh hadi bayna chi mo3wa9a bent lme3za olm3owa9a messakin weslat fihom le3dem sir alah i3tik chi techtita had nhar is the name of the game,1,0,0,0,0,0
ary_dev_track_c_00018,The Al-Baghdadi pipeline is being built by the Lebanese. He opposed its extension to a third term.,1,0,0,0,0,0
ary_dev_track_c_00019,The Salafists are coming. They are preparing to enter the political arena and establish political parties.,0,0,0,0,0,0
